Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,4,81.56,39.10,,17.19,34.75,,11.85,3.46,,4.58,0.87,,12.46,0.00,,1,1,,7,0,,12,0,,55,0,,C,A
2,4,15.88,107.01,,2.76,104.92,,3.06,1.23,,1.86,0.85,,2.78,0.00,,1,1,,2,0,,2,0,,9,0,,C,A
3,4,62.09,120.52,,9.93,116.42,,9.44,3.06,,3.94,1.03,,10.50,0.00,,1,1,,6,0,,10,0,,43,0,,C,A
4,4,51.28,119.47,,11.83,116.33,,6.43,2.15,,2.80,0.98,,7.99,0.00,,1,1,,4,0,,9,0,,35,0,,C,A
5,4,23.08,36.67,,3.58,34.47,,4.68,1.27,,2.27,0.92,,4.10,0.00,,1,1,,3,0,,4,0,,13,0,,C,A
6,4,55.24,1756.65,,10.41,1752.67,,9.88,3.05,,3.87,0.92,,10.10,0.00,,1,1,,6,0,,11,0,,33,0,,C,A
7,4,41.76,135.61,,6.38,132.05,,8.21,2.60,,3.29,0.95,,8.27,0.00,,1,1,,5,0,,6,0,,25,0,,C,A
8,4,37.48,36.08,,5.47,32.50,,8.06,2.64,,3.66,0.93,,7.82,0.00,,1,1,,5,0,,6,0,,19,0,,C,A
9,4,19.72,76.31,,4.25,73.92,,3.44,1.36,,1.92,1.01,,3.35,0.00,,1,1,,2,0,,2,0,,11,0,,C,A
10,4,53.42,203.67,,10.47,200.03,,8.36,2.68,,3.51,0.94,,9.38,0.00,,1,1,,5,0,,10,0,,33,0,,C,A
11,4,52.19,38.50,,7.98,34.82,,8.67,2.71,,3.49,0.95,,8.32,0.00,,1,1,,5,0,,9,0,,35,0,,C,A
12,4,56.57,38.78,,14.61,35.69,,6.51,2.08,,3.33,0.99,,8.13,0.00,,1,1,,4,0,,9,0,,37,0,,C,A
13,4,66.46,228.89,,8.68,224.13,,11.34,3.65,,4.53,1.09,,12.25,0.00,,1,1,,7,0,,8,0,,43,0,,C,A
14,4,46.78,198.19,,9.95,194.90,,7.15,2.33,,3.07,0.94,,7.15,0.00,,1,1,,4,0,,9,0,,29,0,,C,A
15,4,53.52,38.56,,9.51,34.88,,8.67,2.72,,3.43,0.95,,8.81,0.00,,1,1,,5,0,,8,0,,35,0,,C,A
