Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,5,18.69,,,1.74,,,4.11,,,2.21,,,4.93,,,1,,,2,,,2,,,7,,,C,
2,5,48.01,,,11.35,,,4.79,,,2.55,,,8.99,,,1,,,3,,,11,,,25,,,C,
3,5,33.71,,,5.28,,,4.59,,,2.58,,,7.42,,,1,,,3,,,7,,,17,,,C,
4,5,70.93,,,6.32,,,14.28,,,5.42,,,16.10,,,1,,,8,,,9,,,33,,,C,
5,5,74.65,,,7.39,,,12.59,,,5.29,,,16.94,,,1,,,7,,,9,,,35,,,C,
6,5,32.29,,,3.02,,,6.59,,,3.28,,,8.47,,,1,,,4,,,4,,,13,,,C,
7,5,94.96,,,11.89,,,11.97,,,5.37,,,21.30,,,1,,,6,,,12,,,43,,,C,
8,5,33.79,,,5.85,,,4.49,,,2.36,,,7.22,,,1,,,3,,,7,,,17,,,C,
9,5,56.60,,,9.16,,,6.68,,,2.92,,,10.75,,,1,,,4,,,11,,,31,,,C,
10,5,39.06,,,5.54,,,4.52,,,2.44,,,8.08,,,1,,,3,,,7,,,23,,,C,
11,5,59.23,,,9.27,,,8.10,,,3.52,,,12.19,,,1,,,5,,,11,,,31,,,C,
12,5,62.15,,,12.47,,,8.67,,,3.34,,,12.20,,,1,,,5,,,10,,,31,,,C,
13,5,74.34,,,12.51,,,11.58,,,4.88,,,14.84,,,1,,,7,,,11,,,35,,,C,
14,5,25.38,,,3.59,,,4.37,,,2.43,,,5.86,,,1,,,3,,,4,,,11,,,C,
15,5,42.63,,,4.64,,,8.24,,,3.75,,,10.16,,,1,,,5,,,6,,,19,,,C,
16,5,44.45,,,7.33,,,6.61,,,2.92,,,9.34,,,1,,,4,,,9,,,21,,,C,
17,5,54.90,,,10.13,,,6.76,,,3.00,,,10.09,,,1,,,4,,,10,,,29,,,C,
18,5,81.52,,,9.98,,,12.14,,,4.79,,,16.84,,,1,,,7,,,13,,,43,,,C,
19,5,73.20,,,15.48,,,8.64,,,3.54,,,13.73,,,1,,,5,,,13,,,37,,,C,
20,5,39.29,,,6.52,,,4.59,,,2.44,,,8.19,,,1,,,3,,,8,,,21,,,C,
21,5,14.82,,,1.99,,,3.41,,,2.06,,,3.64,,,1,,,2,,,2,,,4,,,C,
22,5,72.39,,,10.48,,,10.20,,,3.89,,,15.22,,,1,,,6,,,13,,,37,,,C,
23,5,53.12,,,10.05,,,4.47,,,2.43,,,9.43,,,1,,,3,,,8,,,31,,,C,
24,5,68.41,,,14.39,,,8.33,,,3.82,,,13.09,,,1,,,5,,,12,,,33,,,C,
25,5,76.70,,,10.63,,,10.31,,,4.04,,,15.41,,,1,,,6,,,13,,,41,,,C,
26,5,29.43,,,3.66,,,6.67,,,2.91,,,7.38,,,1,,,4,,,5,,,11,,,C,
27,5,35.49,,,4.32,,,6.78,,,2.89,,,8.60,,,1,,,4,,,6,,,15,,,C,
28,5,48.22,,,7.04,,,8.82,,,3.55,,,10.75,,,1,,,5,,,7,,,21,,,C,
29,5,39.29,,,4.74,,,8.45,,,3.47,,,9.63,,,1,,,5,,,7,,,15,,,C,
30,5,75.50,,,11.40,,,10.61,,,4.11,,,15.01,,,1,,,6,,,12,,,39,,,C,
31,5,27.13,,,3.19,,,4.30,,,2.43,,,6.67,,,1,,,3,,,4,,,13,,,C,
32,5,61.60,,,13.82,,,6.97,,,2.90,,,11.08,,,1,,,4,,,11,,,31,,,C,
33,5,40.90,,,8.05,,,4.60,,,2.44,,,8.12,,,1,,,3,,,9,,,21,,,C,
34,5,39.71,,,4.58,,,6.83,,,3.00,,,9.04,,,1,,,4,,,6,,,19,,,C,
35,5,53.82,,,9.02,,,8.89,,,3.75,,,11.60,,,1,,,5,,,11,,,23,,,C,
36,5,99.06,,,14.39,,,14.25,,,5.39,,,20.20,,,1,,,8,,,15,,,51,,,C,
37,5,32.12,,,5.20,,,4.61,,,2.42,,,7.04,,,1,,,3,,,7,,,15,,,C,
38,5,74.92,,,7.95,,,13.94,,,5.36,,,16.98,,,1,,,8,,,9,,,35,,,C,
39,5,73.60,,,14.99,,,8.80,,,3.66,,,13.77,,,1,,,5,,,12,,,37,,,C,
40,5,58.50,,,9.66,,,6.82,,,2.89,,,10.86,,,1,,,4,,,7,,,33,,,C,
41,5,81.91,,,12.21,,,12.48,,,4.81,,,16.32,,,1,,,7,,,11,,,39,,,C,
42,5,91.79,,,12.11,,,16.14,,,6.01,,,19.43,,,1,,,9,,,11,,,43,,,C,
43,5,52.45,,,6.64,,,10.51,,,4.16,,,12.07,,,1,,,6,,,9,,,21,,,C,
44,5,70.23,,,11.72,,,10.13,,,4.01,,,15.35,,,1,,,6,,,13,,,33,,,C,
45,5,34.07,,,6.75,,,3.61,,,1.93,,,6.12,,,1,,,2,,,6,,,19,,,C,
46,5,46.10,,,7.00,,,6.87,,,3.06,,,9.34,,,1,,,4,,,7,,,23,,,C,
47,5,37.09,,,4.13,,,6.90,,,3.14,,,8.64,,,1,,,4,,,5,,,17,,,C,
48,5,20.66,,,3.77,,,3.35,,,1.97,,,4.33,,,1,,,2,,,4,,,9,,,C,
49,5,26.16,,,4.55,,,3.60,,,2.06,,,5.39,,,1,,,2,,,5,,,13,,,C,
50,5,50.96,,,8.84,,,6.76,,,3.12,,,10.14,,,1,,,4,,,10,,,25,,,C,
51,5,70.18,,,10.03,,,10.49,,,3.94,,,14.87,,,1,,,6,,,12,,,35,,,C,
52,5,33.62,,,4.46,,,6.99,,,3.19,,,7.93,,,1,,,4,,,5,,,13,,,C,
53,5,45.50,,,9.65,,,4.72,,,2.48,,,9.11,,,1,,,3,,,11,,,23,,,C,
54,5,64.32,,,5.72,,,11.86,,,4.52,,,15.11,,,1,,,7,,,8,,,31,,,C,
55,5,28.87,,,4.62,,,4.64,,,2.71,,,6.03,,,1,,,3,,,3,,,12,,,C,
56,5,71.72,,,9.27,,,10.28,,,4.15,,,14.75,,,1,,,6,,,12,,,37,,,C,
57,5,40.63,,,8.00,,,4.57,,,2.52,,,8.01,,,1,,,3,,,6,,,21,,,C,
58,5,38.93,,,5.03,,,6.89,,,3.37,,,8.86,,,1,,,4,,,7,,,17,,,C,
59,5,71.33,,,12.61,,,6.90,,,2.98,,,12.95,,,1,,,4,,,12,,,41,,,C,
60,5,50.02,,,6.26,,,8.45,,,3.74,,,11.24,,,1,,,5,,,8,,,23,,,C,
61,5,55.89,,,7.65,,,8.54,,,3.67,,,11.90,,,1,,,5,,,10,,,27,,,C,
62,5,46.96,,,4.50,,,10.18,,,4.61,,,11.29,,,1,,,6,,,6,,,19,,,C,
63,5,95.67,,,15.59,,,16.12,,,5.90,,,19.89,,,1,,,9,,,14,,,43,,,C,
64,5,51.95,,,10.28,,,4.64,,,2.71,,,9.54,,,1,,,3,,,10,,,29,,,C,
65,5,42.53,,,7.44,,,4.49,,,2.66,,,7.92,,,1,,,3,,,5,,,23,,,C,
66,5,51.53,,,9.44,,,6.99,,,2.97,,,10.52,,,1,,,4,,,11,,,25,,,C,
67,5,66.14,,,10.69,,,10.32,,,4.10,,,13.58,,,1,,,6,,,8,,,31,,,C,
68,5,82.17,,,12.10,,,13.99,,,5.60,,,17.68,,,1,,,8,,,11,,,37,,,C,
69,5,59.58,,,12.52,,,6.64,,,3.39,,,11.46,,,1,,,4,,,12,,,29,,,C,
70,5,28.87,,,4.27,,,4.68,,,2.48,,,6.53,,,1,,,3,,,5,,,13,,,C,
71,5,62.52,,,8.78,,,10.52,,,4.03,,,13.37,,,1,,,6,,,6,,,29,,,C,
72,5,14.56,,,1.43,,,3.55,,,1.90,,,3.78,,,1,,,2,,,2,,,5,,,C,
73,5,71.65,,,7.00,,,13.75,,,5.33,,,16.67,,,1,,,8,,,9,,,33,,,C,
74,5,116.47,,,72.19,,,8.40,,,3.43,,,10.74,,,1,,,5,,,6,,,25,,,C,
75,5,95.28,,,15.27,,,11.88,,,5.06,,,18.22,,,1,,,7,,,13,,,51,,,C,
76,5,43.91,,,8.03,,,6.57,,,2.85,,,8.99,,,1,,,4,,,6,,,21,,,C,
77,5,8.17,,,0.91,,,2.34,,,1.50,,,1.54,,,1,,,1,,,1,,,2,,,C,
78,5,75.25,,,12.35,,,12.16,,,4.74,,,15.41,,,1,,,7,,,11,,,35,,,C,
79,5,49.27,,,4.72,,,10.42,,,4.20,,,11.82,,,1,,,6,,,6,,,21,,,C,
80,5,30.42,,,2.98,,,4.66,,,2.38,,,6.59,,,1,,,3,,,3,,,16,,,C,
81,5,79.81,,,14.40,,,10.15,,,4.15,,,15.01,,,1,,,6,,,10,,,41,,,C,
82,5,59.03,,,9.06,,,10.08,,,4.03,,,12.70,,,1,,,6,,,6,,,27,,,C,
83,5,41.16,,,8.16,,,4.64,,,2.49,,,7.82,,,1,,,3,,,9,,,21,,,C,
84,5,78.17,,,14.92,,,12.30,,,4.64,,,15.74,,,1,,,7,,,13,,,35,,,C,
85,5,75.45,,,14.14,,,10.82,,,4.36,,,15.32,,,1,,,6,,,9,,,33,,,C,
86,5,52.03,,,6.87,,,9.12,,,3.81,,,11.15,,,1,,,5,,,6,,,23,,,C,
87,5,57.30,,,9.66,,,8.17,,,3.79,,,12.16,,,1,,,4,,,10,,,25,,,C,
88,5,43.95,,,6.51,,,7.63,,,3.45,,,8.96,,,1,,,4,,,4,,,17,,,C,
89,5,24.62,,,4.30,,,3.05,,,1.81,,,5.13,,,1,,,2,,,6,,,13,,,C,
90,5,50.74,,,10.12,,,4.15,,,2.29,,,8.88,,,1,,,3,,,10,,,31,,,C,
91,5,63.82,,,11.54,,,7.85,,,3.35,,,12.45,,,1,,,5,,,12,,,35,,,C,
92,5,92.20,,,14.03,,,14.68,,,5.77,,,18.89,,,1,,,9,,,12,,,47,,,C,
93,5,78.41,,,11.38,,,12.92,,,5.19,,,16.24,,,1,,,8,,,10,,,39,,,C,
94,5,58.31,,,9.28,,,8.04,,,3.40,,,11.86,,,1,,,5,,,12,,,31,,,C,
95,5,76.61,,,11.03,,,12.90,,,4.96,,,16.69,,,1,,,8,,,13,,,37,,,C,
96,5,24.23,,,3.99,,,3.21,,,1.92,,,4.92,,,1,,,2,,,5,,,13,,,C,
97,5,53.15,,,6.34,,,9.77,,,4.01,,,12.48,,,1,,,6,,,9,,,25,,,C,
98,5,42.15,,,3.61,,,9.54,,,4.03,,,10.98,,,1,,,6,,,6,,,17,,,C,
99,5,56.09,,,8.38,,,7.98,,,3.37,,,11.15,,,1,,,5,,,8,,,31,,,C,
100,5,30.37,,,3.29,,,6.45,,,2.87,,,7.19,,,1,,,4,,,5,,,13,,,C,
101,5,46.61,,,7.71,,,6.31,,,2.86,,,9.06,,,1,,,4,,,6,,,25,,,C,
102,5,30.77,,,3.21,,,6.37,,,2.78,,,7.69,,,1,,,4,,,5,,,13,,,C,
103,5,63.42,,,10.56,,,7.92,,,3.26,,,12.89,,,1,,,5,,,13,,,35,,,C,
104,5,57.38,,,9.17,,,6.36,,,2.79,,,10.77,,,1,,,4,,,9,,,35,,,C,
105,5,53.97,,,10.33,,,6.48,,,2.92,,,10.56,,,1,,,4,,,12,,,29,,,C,
106,5,54.50,,,7.56,,,6.26,,,2.81,,,10.57,,,1,,,4,,,10,,,33,,,C,
107,5,41.81,,,9.50,,,3.12,,,1.87,,,7.29,,,1,,,2,,,9,,,25,,,C,
108,5,69.53,,,9.28,,,9.76,,,3.96,,,14.35,,,1,,,6,,,12,,,39,,,C,
109,5,33.27,,,4.12,,,6.44,,,2.80,,,7.39,,,1,,,4,,,4,,,15,,,C,
110,5,19.68,,,1.84,,,3.20,,,1.89,,,4.25,,,1,,,2,,,2,,,10,,,C,
111,5,39.85,,,6.22,,,6.53,,,2.81,,,8.83,,,1,,,4,,,8,,,19,,,C,
112,5,44.10,,,5.55,,,8.04,,,3.51,,,9.70,,,1,,,5,,,6,,,21,,,C,
113,5,83.19,,,11.05,,,13.34,,,4.96,,,18.24,,,1,,,8,,,15,,,43,,,C,
114,5,40.60,,,3.79,,,8.22,,,3.35,,,9.63,,,1,,,5,,,5,,,19,,,C,
115,5,90.54,,,12.50,,,13.03,,,5.13,,,18.98,,,1,,,8,,,14,,,49,,,C,
116,5,54.55,,,10.58,,,6.37,,,2.98,,,10.78,,,1,,,4,,,12,,,29,,,C,
117,5,74.75,,,14.00,,,9.79,,,3.89,,,14.65,,,1,,,6,,,13,,,39,,,C,
118,5,62.25,,,10.19,,,6.47,,,2.91,,,11.60,,,1,,,4,,,9,,,37,,,C,
119,5,66.03,,,12.58,,,7.95,,,3.30,,,12.73,,,1,,,5,,,11,,,35,,,C,
120,5,44.05,,,3.66,,,7.96,,,3.39,,,9.93,,,1,,,5,,,6,,,23,,,C,
121,5,60.54,,,9.20,,,8.24,,,3.41,,,12.07,,,1,,,5,,,10,,,33,,,C,
122,5,91.30,,,12.67,,,16.93,,,6.48,,,20.02,,,1,,,10,,,12,,,41,,,C,
123,5,76.12,,,11.58,,,11.28,,,4.42,,,15.82,,,1,,,7,,,12,,,39,,,C,
124,5,46.08,,,6.73,,,6.40,,,2.85,,,9.79,,,1,,,4,,,9,,,25,,,C,
125,5,33.16,,,3.93,,,6.40,,,2.92,,,7.83,,,1,,,4,,,5,,,15,,,C,
126,5,50.29,,,8.03,,,8.00,,,3.52,,,10.42,,,1,,,5,,,5,,,25,,,C,
127,5,40.14,,,7.46,,,4.40,,,2.27,,,7.81,,,1,,,3,,,5,,,23,,,C,
128,5,54.80,,,8.41,,,9.84,,,4.02,,,12.15,,,1,,,6,,,6,,,25,,,C,
129,5,49.92,,,9.64,,,6.43,,,2.83,,,9.95,,,1,,,4,,,12,,,25,,,C,
130,5,37.16,,,5.79,,,6.39,,,2.87,,,8.43,,,1,,,4,,,8,,,17,,,C,
131,5,58.48,,,13.05,,,6.40,,,2.95,,,10.82,,,1,,,4,,,11,,,31,,,C,
132,5,19.14,,,2.07,,,4.25,,,2.38,,,5.50,,,1,,,3,,,3,,,7,,,C,
133,5,61.89,,,7.00,,,11.40,,,4.53,,,14.24,,,1,,,7,,,10,,,29,,,C,
134,5,46.81,,,5.71,,,7.94,,,3.45,,,10.56,,,1,,,5,,,8,,,23,,,C,
135,5,48.66,,,7.45,,,8.03,,,3.37,,,10.66,,,1,,,5,,,10,,,23,,,C,
136,5,40.76,,,10.43,,,3.17,,,1.82,,,6.94,,,1,,,2,,,10,,,23,,,C,
137,5,37.48,,,6.03,,,4.39,,,2.41,,,7.51,,,1,,,3,,,8,,,21,,,C,
138,5,32.00,,,4.31,,,4.37,,,2.42,,,7.02,,,1,,,3,,,6,,,17,,,C,
139,5,30.98,,,3.37,,,6.35,,,2.84,,,7.72,,,1,,,4,,,5,,,13,,,C,
140,5,40.69,,,3.89,,,8.22,,,3.34,,,9.41,,,1,,,5,,,6,,,19,,,C,
141,5,53.30,,,7.93,,,8.04,,,3.39,,,11.21,,,1,,,5,,,10,,,27,,,C,
142,5,55.45,,,8.58,,,8.18,,,3.39,,,11.33,,,1,,,5,,,9,,,29,,,C,
143,5,41.42,,,5.90,,,4.38,,,2.42,,,8.10,,,1,,,3,,,7,,,25,,,C,
144,5,38.35,,,5.17,,,6.34,,,2.79,,,8.41,,,1,,,4,,,7,,,19,,,C,
145,5,37.16,,,4.20,,,6.39,,,2.87,,,8.42,,,1,,,4,,,6,,,19,,,C,
146,5,74.22,,,7.78,,,13.30,,,5.19,,,16.45,,,1,,,8,,,9,,,37,,,C,
147,5,72.75,,,12.24,,,9.70,,,4.03,,,14.48,,,1,,,6,,,11,,,39,,,C,
148,5,26.03,,,2.90,,,4.34,,,2.36,,,5.88,,,1,,,3,,,4,,,13,,,C,
149,5,37.73,,,4.66,,,6.35,,,2.83,,,8.54,,,1,,,4,,,5,,,19,,,C,
150,5,34.49,,,3.89,,,8.00,,,3.43,,,8.90,,,1,,,5,,,5,,,13,,,C,
151,5,24.83,,,3.66,,,4.40,,,2.32,,,5.90,,,1,,,3,,,5,,,11,,,C,
152,5,54.63,,,7.76,,,6.43,,,2.86,,,10.50,,,1,,,4,,,10,,,33,,,C,
153,5,45.32,,,7.90,,,6.42,,,2.85,,,9.18,,,1,,,4,,,6,,,23,,,C,
154,5,41.49,,,8.66,,,3.25,,,1.80,,,7.25,,,1,,,2,,,10,,,25,,,C,
155,5,82.11,,,13.52,,,11.48,,,4.52,,,16.16,,,1,,,7,,,13,,,43,,,C,
156,5,80.20,,,10.72,,,11.31,,,4.46,,,15.88,,,1,,,7,,,10,,,45,,,C,
157,5,62.64,,,10.21,,,9.63,,,3.99,,,13.70,,,1,,,6,,,13,,,31,,,C,
158,5,55.00,,,7.51,,,9.73,,,4.06,,,12.59,,,1,,,6,,,10,,,25,,,C,
159,5,59.88,,,9.43,,,9.78,,,3.94,,,12.68,,,1,,,6,,,12,,,29,,,C,
160,5,64.61,,,8.51,,,7.92,,,3.42,,,13.31,,,1,,,5,,,11,,,39,,,C,
161,5,53.79,,,9.56,,,8.11,,,3.47,,,11.52,,,1,,,5,,,12,,,25,,,C,
162,5,55.36,,,6.43,,,9.63,,,3.93,,,12.65,,,1,,,6,,,9,,,27,,,C,
163,5,34.72,,,3.56,,,6.57,,,2.79,,,7.75,,,1,,,4,,,4,,,16,,,C,
164,5,52.76,,,7.71,,,7.96,,,3.41,,,10.81,,,1,,,5,,,8,,,27,,,C,
165,5,72.28,,,7.58,,,13.00,,,5.29,,,15.96,,,1,,,8,,,10,,,37,,,C,
166,5,33.42,,,6.78,,,4.35,,,2.28,,,6.37,,,1,,,3,,,4,,,17,,,C,
167,5,62.05,,,7.74,,,11.41,,,4.45,,,14.14,,,1,,,7,,,10,,,29,,,C,
168,5,40.50,,,5.14,,,8.03,,,3.31,,,9.83,,,1,,,5,,,8,,,17,,,C,
169,5,69.77,,,12.05,,,9.86,,,3.91,,,14.57,,,1,,,6,,,14,,,35,,,C,
170,5,69.59,,,10.52,,,9.66,,,3.96,,,14.82,,,1,,,6,,,14,,,37,,,C,
171,5,78.09,,,11.26,,,9.62,,,4.01,,,15.57,,,1,,,6,,,13,,,45,,,C,
172,5,92.07,,,16.11,,,15.00,,,5.95,,,18.64,,,1,,,9,,,11,,,43,,,C,
173,5,59.11,,,9.28,,,9.85,,,3.91,,,12.13,,,1,,,6,,,7,,,29,,,C,
174,5,65.72,,,12.37,,,8.20,,,3.45,,,12.49,,,1,,,5,,,11,,,35,,,C,
175,5,44.97,,,7.66,,,4.38,,,2.30,,,8.60,,,1,,,3,,,9,,,27,,,C,
176,5,51.25,,,9.62,,,6.46,,,2.87,,,9.71,,,1,,,4,,,10,,,27,,,C,
177,5,71.36,,,7.35,,,11.39,,,4.46,,,15.07,,,1,,,7,,,9,,,39,,,C,
178,5,67.28,,,11.61,,,9.69,,,3.90,,,13.46,,,1,,,6,,,10,,,35,,,C,
179,5,66.65,,,10.87,,,9.74,,,4.11,,,13.50,,,1,,,6,,,10,,,33,,,C,
180,5,47.48,,,8.44,,,6.62,,,2.87,,,9.69,,,1,,,4,,,10,,,25,,,C,
181,5,65.18,,,11.02,,,8.22,,,3.36,,,13.20,,,1,,,5,,,13,,,35,,,C,
182,5,60.51,,,8.98,,,8.04,,,3.39,,,12.38,,,1,,,5,,,11,,,33,,,C,
183,5,35.45,,,4.19,,,8.07,,,3.37,,,9.01,,,1,,,5,,,6,,,13,,,C,
184,5,34.96,,,6.36,,,3.27,,,1.90,,,6.20,,,1,,,2,,,8,,,21,,,C,
185,5,62.83,,,8.52,,,9.78,,,3.98,,,12.79,,,1,,,6,,,9,,,33,,,C,
186,5,19.98,,,2.42,,,4.41,,,2.42,,,5.17,,,1,,,3,,,3,,,7,,,C,
187,5,68.29,,,6.51,,,11.35,,,4.57,,,14.94,,,1,,,7,,,9,,,37,,,C,
188,5,44.08,,,8.03,,,4.41,,,2.44,,,8.15,,,1,,,3,,,5,,,25,,,C,
189,5,79.60,,,9.41,,,13.01,,,5.17,,,17.57,,,1,,,8,,,11,,,41,,,C,
190,5,26.23,,,3.55,,,3.25,,,1.91,,,5.11,,,1,,,2,,,5,,,15,,,C,
191,5,37.88,,,5.91,,,6.66,,,2.94,,,8.43,,,1,,,4,,,7,,,17,,,C,
192,5,65.38,,,13.82,,,8.15,,,3.49,,,12.82,,,1,,,5,,,12,,,33,,,C,
193,5,52.90,,,7.23,,,8.03,,,3.42,,,11.26,,,1,,,5,,,9,,,27,,,C,
194,5,80.64,,,12.64,,,9.73,,,3.93,,,15.60,,,1,,,6,,,10,,,47,,,C,
195,5,32.76,,,5.39,,,4.26,,,2.32,,,6.88,,,1,,,3,,,7,,,17,,,C,
196,5,61.66,,,10.54,,,8.18,,,3.36,,,12.23,,,1,,,5,,,9,,,33,,,C,
197,5,28.23,,,3.17,,,6.53,,,2.78,,,7.28,,,1,,,4,,,4,,,11,,,C,
198,5,57.84,,,8.57,,,8.02,,,3.48,,,11.99,,,1,,,5,,,11,,,31,,,C,
199,5,56.35,,,8.93,,,8.05,,,3.36,,,11.57,,,1,,,5,,,10,,,29,,,C,
200,5,51.20,,,7.87,,,6.47,,,2.83,,,10.10,,,1,,,4,,,10,,,29,,,C,
