Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,3,21.74,411.57,18.94,3.98,394.02,98.90,5.57,5.58,1.00,2.58,2.55,0.99,3.01,3.07,1.02,1,1,1.00,4,4,1.00,7,7,1.00,21,21,1.00,C,C
2,3,12.21,390.61,31.99,2.87,381.60,132.88,2.81,2.71,0.97,1.63,1.66,1.02,1.47,1.51,1.03,1,1,1.00,2,2,1.00,5,5,1.00,11,11,1.00,C,C
3,3,26.13,7.81,,2.84,4.35,,8.47,2.64,,3.38,0.82,,4.09,0.00,,1,1,,6,0,,6,0,,23,0,,C,A
4,3,26.11,422.44,16.18,3.74,400.30,107.05,6.95,7.02,1.01,3.06,2.97,0.97,3.75,3.68,0.98,1,1,1.00,5,5,1.00,7,7,1.00,27,27,1.00,C,C
5,3,15.01,417.71,27.82,2.18,403.60,184.81,3.74,3.84,1.03,2.08,2.08,1.00,2.08,2.34,1.12,1,1,1.00,3,3,1.00,4,6,1.50,15,19,1.27,C,C
6,3,12.59,6.14,,2.04,4.19,,3.71,1.12,,2.06,0.82,,1.98,0.00,,1,1,,3,0,,4,0,,9,0,,C,A
7,3,13.15,37.17,2.83,1.84,26.20,14.26,3.82,3.73,0.98,2.00,2.01,1.00,2.06,2.04,0.99,1,1,1.00,3,3,1.00,3,3,1.00,11,11,1.00,C,C
8,3,15.19,156.69,10.31,3.32,145.86,43.96,3.81,3.85,1.01,2.02,2.01,1.00,2.14,2.35,1.10,1,1,1.00,3,3,1.00,6,4,0.67,13,9,0.69,C,C
9,3,18.87,107.20,5.68,2.56,91.13,35.64,5.73,5.51,0.96,2.53,2.50,0.99,2.78,2.80,1.01,1,1,1.00,4,4,1.00,5,5,1.00,17,17,1.00,C,C
10,3,17.58,31.94,,4.22,25.97,,3.83,2.06,,2.12,1.26,,2.20,0.66,,1,1,,3,1,,6,3,,17,6,,C,A
11,3,9.07,37.35,4.12,1.25,29.49,23.55,2.78,2.85,1.02,1.69,1.55,0.92,1.36,1.58,1.16,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
12,3,9.13,334.16,36.60,1.26,326.57,259.42,2.81,2.78,0.99,1.67,1.62,0.97,1.28,1.32,1.03,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
13,3,16.34,212.26,12.99,2.71,198.95,73.32,3.74,3.85,1.03,1.99,2.05,1.03,2.42,2.38,0.98,1,1,1.00,3,3,1.00,5,5,1.00,17,17,1.00,C,C
14,3,25.72,117.02,4.55,2.78,94.25,33.95,8.56,8.50,0.99,3.41,3.48,1.02,4.24,4.31,1.02,1,1,1.00,6,6,1.00,6,6,1.00,21,21,1.00,C,C
15,3,14.09,67.27,4.78,2.15,55.74,25.87,3.74,3.71,0.99,2.02,2.03,1.01,2.17,2.09,0.96,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
16,3,30.48,426.98,14.01,3.45,400.30,116.13,10.16,10.06,0.99,4.03,3.84,0.95,4.95,4.80,0.97,1,1,1.00,7,7,1.00,7,7,1.00,25,25,1.00,C,C
17,3,10.31,30.34,2.94,1.89,22.01,11.63,2.77,2.76,1.00,1.62,1.61,0.99,1.37,1.44,1.05,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
18,3,12.98,47.68,3.67,3.01,37.73,12.54,2.76,2.86,1.03,1.61,1.66,1.03,1.54,1.67,1.08,1,1,1.00,2,2,1.00,5,5,1.00,13,13,1.00,C,C
19,3,16.36,332.84,20.34,2.91,319.01,109.76,3.82,3.79,0.99,1.98,2.02,1.02,2.32,2.25,0.97,1,1,1.00,3,3,1.00,5,6,1.20,17,19,1.12,C,C
20,3,21.71,79.59,3.67,3.62,61.93,17.11,5.68,5.62,0.99,2.51,2.46,0.98,3.32,3.11,0.94,1,1,1.00,4,4,1.00,7,7,1.00,21,21,1.00,C,C
21,3,19.80,565.26,28.55,3.51,550.67,156.73,5.72,5.62,0.98,2.42,2.43,1.00,2.85,2.73,0.96,1,1,1.00,4,4,1.00,7,5,0.71,17,13,0.76,C,C
22,3,10.09,27.22,2.70,1.66,18.69,11.27,2.79,2.73,0.98,1.65,1.65,0.99,1.41,1.58,1.12,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
23,3,17.00,15.68,,2.09,9.60,,5.62,2.81,,2.52,1.28,,2.76,0.70,,1,1,,4,1,,4,1,,13,4,,C,A
24,3,18.80,508.98,27.08,2.57,491.91,191.05,5.53,5.59,1.01,2.55,2.53,0.99,2.89,3.18,1.10,1,1,1.00,4,4,1.00,5,6,1.20,17,19,1.12,C,C
25,3,26.81,137.17,5.12,3.50,112.51,32.13,8.46,8.37,0.99,3.48,3.44,0.99,4.08,4.31,1.06,1,1,1.00,6,6,1.00,7,9,1.29,23,27,1.17,C,C
26,3,22.03,70.10,3.18,4.23,52.67,12.44,5.54,5.65,1.02,2.55,2.51,0.99,3.11,2.98,0.96,1,1,1.00,4,4,1.00,7,7,1.00,21,21,1.00,C,C
27,3,20.51,120.46,5.87,2.57,102.63,39.99,7.13,7.06,0.99,2.85,2.91,1.02,3.34,3.35,1.00,1,1,1.00,5,5,1.00,5,5,1.00,15,15,1.00,C,C
28,3,13.20,6.13,,2.05,4.20,,3.78,1.07,,2.03,0.84,,2.11,0.00,,1,1,,3,0,,4,0,,11,0,,C,A
29,3,30.01,18.72,,4.71,11.70,,8.66,3.67,,3.37,1.24,,4.42,0.86,,1,1,,6,1,,9,1,,27,4,,C,A
30,3,30.85,444.12,14.39,4.46,418.01,93.63,8.62,8.46,0.98,3.32,3.36,1.01,4.40,4.79,1.09,1,1,1.00,6,6,1.00,8,8,1.00,31,31,1.00,C,C
31,3,20.27,406.49,20.05,3.54,389.54,110.15,5.55,5.65,1.02,2.48,2.52,1.02,2.86,2.84,0.99,1,1,1.00,4,4,1.00,6,6,1.00,19,19,1.00,C,C
32,3,20.33,7.02,,2.62,4.23,,5.70,1.95,,2.57,0.83,,2.87,0.00,,1,1,,4,0,,5,0,,21,0,,C,A
33,3,18.50,47.27,2.56,2.38,31.25,13.11,5.56,5.48,0.99,2.48,2.49,1.01,2.69,2.84,1.06,1,1,1.00,4,4,1.00,4,4,1.00,17,17,1.00,C,C
34,3,14.40,482.36,33.51,2.19,468.94,214.11,3.80,3.78,0.99,2.09,2.15,1.03,2.08,2.24,1.08,1,1,1.00,3,3,1.00,4,6,1.50,13,17,1.31,C,C
35,3,20.96,130.60,6.23,3.91,113.83,29.10,5.52,5.58,1.01,2.52,2.43,0.97,2.94,2.92,0.99,1,1,1.00,4,4,1.00,7,7,1.00,19,19,1.00,C,C
36,3,23.18,428.59,18.49,4.71,412.42,87.63,5.57,5.52,0.99,2.47,2.65,1.07,3.06,2.83,0.92,1,1,1.00,4,4,1.00,7,5,0.71,23,17,0.74,C,C
