Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,6,98.43,,,17.55,,,6.89,,,3.09,,,19.68,,,1,,,4,,,11,,,43,,,C,
2,6,110.21,,,16.02,,,6.77,,,3.11,,,22.67,,,1,,,4,,,15,,,51,,,C,
3,6,125.91,,,18.31,,,8.52,,,3.66,,,26.34,,,1,,,5,,,16,,,57,,,C,
4,6,107.58,,,16.31,,,6.83,,,3.26,,,22.39,,,1,,,4,,,14,,,49,,,C,
5,6,74.73,,,8.43,,,6.87,,,3.02,,,16.87,,,1,,,4,,,9,,,33,,,C,
6,6,73.63,,,10.58,,,8.58,,,3.78,,,16.32,,,1,,,5,,,6,,,29,,,C,
7,6,82.86,,,21.00,,,3.34,,,2.01,,,14.96,,,1,,,2,,,13,,,35,,,C,
8,6,62.45,,,9.87,,,4.46,,,2.35,,,13.45,,,1,,,3,,,8,,,27,,,C,
9,6,53.48,,,8.11,,,4.62,,,2.47,,,11.67,,,1,,,3,,,6,,,23,,,C,
10,6,113.85,,,19.27,,,8.61,,,3.80,,,22.85,,,1,,,5,,,14,,,49,,,C,
11,6,148.82,,,32.71,,,8.77,,,3.77,,,27.72,,,1,,,5,,,16,,,63,,,C,
12,6,86.68,,,9.79,,,10.33,,,4.32,,,20.26,,,1,,,6,,,6,,,35,,,C,
13,6,76.53,,,10.74,,,8.75,,,3.76,,,17.19,,,1,,,5,,,6,,,31,,,C,
14,6,109.09,,,20.50,,,10.46,,,4.22,,,22.29,,,1,,,6,,,8,,,43,,,C,
15,6,89.38,,,13.07,,,8.57,,,3.73,,,18.84,,,1,,,5,,,8,,,37,,,C,
16,6,138.94,,,28.13,,,8.70,,,3.72,,,27.28,,,1,,,5,,,16,,,59,,,C,
17,6,98.69,,,16.85,,,6.83,,,3.12,,,19.92,,,1,,,4,,,13,,,43,,,C,
18,6,64.66,,,11.90,,,4.59,,,2.48,,,13.73,,,1,,,3,,,7,,,27,,,C,
19,6,94.03,,,12.78,,,8.55,,,3.73,,,19.88,,,1,,,5,,,7,,,41,,,C,
20,6,101.07,,,16.21,,,8.66,,,3.66,,,21.33,,,1,,,5,,,9,,,43,,,C,
21,6,71.51,,,12.39,,,4.70,,,2.56,,,15.03,,,1,,,3,,,10,,,31,,,C,
22,6,120.50,,,26.39,,,6.97,,,3.14,,,22.78,,,1,,,4,,,15,,,51,,,C,
23,6,141.20,,,26.79,,,10.31,,,4.34,,,28.96,,,1,,,6,,,17,,,59,,,C,
24,6,94.07,,,13.04,,,8.49,,,3.68,,,20.46,,,1,,,5,,,8,,,41,,,C,
25,6,83.91,,,12.13,,,8.60,,,3.85,,,18.39,,,1,,,5,,,6,,,35,,,C,
26,6,61.11,,,4.47,,,6.91,,,3.09,,,14.80,,,1,,,4,,,6,,,27,,,C,
27,6,133.61,,,30.30,,,6.84,,,3.22,,,24.61,,,1,,,4,,,15,,,57,,,C,
28,6,23.60,,,1.63,,,4.54,,,2.58,,,7.21,,,1,,,3,,,3,,,7,,,C,
29,6,153.56,,,27.73,,,10.48,,,4.35,,,30.15,,,1,,,6,,,17,,,67,,,C,
30,6,58.51,,,6.36,,,4.49,,,2.46,,,13.33,,,1,,,3,,,8,,,27,,,C,
31,6,46.45,,,8.94,,,3.34,,,2.04,,,9.82,,,1,,,2,,,8,,,19,,,C,
32,6,64.65,,,12.35,,,4.61,,,2.49,,,13.54,,,1,,,3,,,7,,,27,,,C,
33,6,104.10,,,15.20,,,8.69,,,3.75,,,22.28,,,1,,,5,,,12,,,45,,,C,
34,6,147.01,,,26.84,,,10.32,,,4.38,,,29.20,,,1,,,6,,,16,,,63,,,C,
35,6,85.22,,,16.91,,,4.65,,,2.48,,,17.45,,,1,,,3,,,13,,,37,,,C,
36,6,61.86,,,8.16,,,6.84,,,3.11,,,13.62,,,1,,,4,,,7,,,25,,,C,
37,6,105.98,,,20.94,,,8.69,,,3.71,,,21.38,,,1,,,5,,,10,,,43,,,C,
38,6,141.36,,,29.21,,,8.68,,,3.68,,,26.85,,,1,,,5,,,15,,,61,,,C,
39,6,80.79,,,11.12,,,6.73,,,3.10,,,17.82,,,1,,,4,,,13,,,35,,,C,
40,6,35.16,,,4.27,,,3.36,,,2.01,,,8.22,,,1,,,2,,,5,,,15,,,C,
41,6,185.39,,,36.86,,,14.34,,,5.63,,,36.80,,,1,,,8,,,19,,,75,,,C,
42,6,112.00,,,12.43,,,12.39,,,4.90,,,25.54,,,1,,,7,,,9,,,47,,,C,
43,6,80.08,,,13.14,,,4.50,,,2.43,,,16.09,,,1,,,3,,,11,,,37,,,C,
44,6,60.67,,,6.64,,,6.77,,,3.09,,,14.28,,,1,,,4,,,5,,,25,,,C,
45,6,80.43,,,6.98,,,8.84,,,3.73,,,18.94,,,1,,,5,,,7,,,35,,,C,
46,6,108.04,,,19.59,,,8.55,,,3.82,,,21.86,,,1,,,5,,,12,,,45,,,C,
47,6,84.28,,,15.59,,,6.84,,,3.23,,,16.11,,,1,,,4,,,7,,,35,,,C,
48,6,81.90,,,12.24,,,6.89,,,3.21,,,17.72,,,1,,,4,,,10,,,35,,,C,
49,6,71.66,,,12.91,,,4.63,,,2.54,,,15.02,,,1,,,3,,,12,,,31,,,C,
50,6,57.69,,,8.38,,,3.34,,,2.02,,,11.78,,,1,,,2,,,11,,,27,,,C,
51,6,91.37,,,15.62,,,6.76,,,3.20,,,18.98,,,1,,,4,,,12,,,39,,,C,
52,6,114.26,,,23.78,,,6.83,,,3.21,,,21.48,,,1,,,4,,,13,,,49,,,C,
53,6,52.11,,,3.97,,,6.99,,,3.08,,,13.44,,,1,,,4,,,6,,,21,,,C,
54,6,197.84,,,30.43,,,18.34,,,7.02,,,40.65,,,1,,,10,,,14,,,83,,,C,
55,6,57.79,,,8.16,,,4.78,,,2.61,,,12.47,,,1,,,3,,,6,,,25,,,C,
56,6,116.19,,,15.83,,,8.57,,,3.62,,,24.12,,,1,,,5,,,12,,,53,,,C,
57,6,58.45,,,7.32,,,6.73,,,3.11,,,13.91,,,1,,,4,,,6,,,23,,,C,
58,6,116.37,,,24.96,,,6.91,,,3.27,,,22.15,,,1,,,4,,,15,,,49,,,C,
59,6,87.78,,,15.69,,,6.92,,,3.11,,,17.81,,,1,,,4,,,12,,,37,,,C,
60,6,117.02,,,18.63,,,10.63,,,4.43,,,23.89,,,1,,,6,,,9,,,49,,,C,
61,6,118.82,,,21.20,,,8.63,,,3.77,,,23.97,,,1,,,5,,,14,,,51,,,C,
62,6,72.26,,,6.69,,,6.78,,,3.19,,,16.90,,,1,,,4,,,9,,,33,,,C,
63,6,115.96,,,15.02,,,10.42,,,4.39,,,25.30,,,1,,,6,,,12,,,51,,,C,
64,6,74.43,,,8.66,,,6.91,,,3.19,,,16.23,,,1,,,4,,,7,,,33,,,C,
65,6,62.83,,,6.30,,,6.71,,,3.04,,,14.80,,,1,,,4,,,7,,,27,,,C,
66,6,91.12,,,20.47,,,4.64,,,2.52,,,17.13,,,1,,,3,,,12,,,39,,,C,
67,6,111.80,,,16.25,,,10.56,,,4.41,,,23.37,,,1,,,6,,,9,,,47,,,C,
68,6,98.59,,,13.03,,,8.67,,,3.74,,,21.76,,,1,,,5,,,10,,,43,,,C,
69,6,101.01,,,12.68,,,8.59,,,3.72,,,21.60,,,1,,,5,,,11,,,45,,,C,
70,6,110.78,,,15.44,,,10.47,,,4.57,,,23.88,,,1,,,6,,,10,,,47,,,C,
71,6,147.95,,,27.02,,,10.64,,,4.52,,,29.36,,,1,,,6,,,17,,,63,,,C,
72,6,67.99,,,8.14,,,6.84,,,3.11,,,14.98,,,1,,,4,,,5,,,29,,,C,
73,6,51.15,,,11.30,,,3.41,,,1.91,,,9.81,,,1,,,2,,,6,,,21,,,C,
74,6,71.26,,,9.60,,,4.51,,,2.55,,,15.19,,,1,,,3,,,10,,,33,,,C,
75,6,103.50,,,14.19,,,7.00,,,3.19,,,22.02,,,1,,,4,,,15,,,47,,,C,
76,6,49.17,,,8.96,,,3.47,,,2.13,,,10.26,,,1,,,2,,,7,,,21,,,C,
77,6,57.68,,,8.22,,,4.62,,,2.49,,,12.86,,,1,,,3,,,7,,,25,,,C,
78,6,36.52,,,2.37,,,4.55,,,2.49,,,9.57,,,1,,,3,,,4,,,15,,,C,
79,6,72.64,,,9.80,,,6.88,,,3.11,,,15.39,,,1,,,4,,,7,,,31,,,C,
80,6,63.48,,,10.71,,,4.53,,,2.56,,,13.69,,,1,,,3,,,9,,,27,,,C,
81,6,31.02,,,2.82,,,4.67,,,2.51,,,8.47,,,1,,,3,,,3,,,11,,,C,
82,6,98.30,,,16.86,,,6.83,,,3.16,,,19.68,,,1,,,4,,,13,,,43,,,C,
83,6,36.46,,,5.79,,,3.30,,,2.04,,,8.00,,,1,,,2,,,4,,,15,,,C,
84,6,142.15,,,29.74,,,8.58,,,3.72,,,26.81,,,1,,,5,,,16,,,61,,,C,
85,6,85.78,,,8.93,,,10.55,,,4.33,,,20.21,,,1,,,6,,,6,,,35,,,C,
86,6,125.81,,,19.89,,,10.66,,,4.52,,,26.02,,,1,,,6,,,14,,,53,,,C,
87,6,15.97,,,1.09,,,2.21,,,1.49,,,3.58,,,1,,,1,,,1,,,6,,,C,
88,6,77.86,,,9.75,,,6.87,,,3.16,,,16.41,,,1,,,4,,,7,,,35,,,C,
89,6,58.74,,,7.32,,,6.83,,,3.09,,,13.98,,,1,,,4,,,6,,,23,,,C,
90,6,99.27,,,14.43,,,8.60,,,3.82,,,20.75,,,1,,,5,,,8,,,43,,,C,
91,6,102.66,,,24.55,,,4.57,,,2.49,,,19.50,,,1,,,3,,,14,,,43,,,C,
92,6,63.78,,,4.93,,,8.85,,,3.73,,,16.01,,,1,,,5,,,6,,,25,,,C,
93,6,88.58,,,15.74,,,6.90,,,3.17,,,18.16,,,1,,,4,,,9,,,37,,,C,
94,6,46.31,,,6.33,,,4.79,,,2.53,,,10.37,,,1,,,3,,,4,,,19,,,C,
95,6,26.72,,,1.89,,,3.35,,,2.12,,,6.89,,,1,,,2,,,3,,,11,,,C,
96,6,99.31,,,16.15,,,6.88,,,3.13,,,21.06,,,1,,,4,,,14,,,43,,,C,
97,6,112.87,,,17.77,,,6.92,,,3.14,,,22.94,,,1,,,4,,,15,,,51,,,C,
98,6,71.68,,,16.21,,,4.58,,,2.50,,,13.70,,,1,,,3,,,8,,,29,,,C,
99,6,112.61,,,16.40,,,10.73,,,4.28,,,24.45,,,1,,,6,,,11,,,47,,,C,
100,6,116.98,,,15.20,,,10.34,,,4.31,,,25.53,,,1,,,6,,,15,,,51,,,C,
101,6,143.15,,,16.89,,,16.15,,,6.44,,,32.22,,,1,,,9,,,9,,,59,,,C,
102,6,95.38,,,14.66,,,10.74,,,4.51,,,20.92,,,1,,,6,,,6,,,37,,,C,
103,6,93.55,,,9.65,,,8.89,,,3.79,,,21.13,,,1,,,5,,,13,,,41,,,C,
