Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,2,16.61,19.28,1.16,1.99,4.57,2.30,6.88,6.83,0.99,2.83,3.03,1.07,2.22,2.21,0.99,1,1,1.00,5,5,1.00,5,5,1.00,13,13,1.00,C,C
2,2,11.38,13.39,1.18,1.60,3.73,2.33,3.72,3.73,1.00,2.04,1.95,0.96,1.38,1.36,0.99,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
3,2,7.45,8.05,1.08,0.91,1.41,1.55,2.70,2.84,1.05,1.60,1.59,0.99,0.94,0.92,0.98,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
4,2,4.21,4.55,1.08,0.42,0.73,1.72,1.74,1.78,1.03,1.17,1.17,1.00,0.43,0.41,0.94,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
5,2,10.89,11.93,1.10,1.65,2.86,1.73,3.71,3.70,1.00,1.98,1.97,0.99,1.44,1.32,0.92,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
6,2,10.87,13.31,1.23,1.60,4.04,2.53,3.62,3.68,1.02,2.00,2.03,1.01,1.39,1.35,0.97,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
7,2,13.15,14.95,1.14,1.62,3.64,2.24,5.54,5.42,0.98,2.32,2.44,1.05,1.80,1.69,0.94,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
8,2,13.41,14.88,1.11,1.53,2.97,1.94,5.41,5.44,1.01,2.39,2.50,1.05,1.77,1.77,1.00,1,1,1.00,4,4,1.00,4,4,1.00,11,11,1.00,C,C
9,2,13.23,18.37,1.39,1.46,7.06,4.83,5.54,5.49,0.99,2.61,2.39,0.91,1.72,1.69,0.99,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
10,2,9.74,10.26,1.05,1.13,2.12,1.88,3.84,3.59,0.94,2.08,1.96,0.95,1.34,1.31,0.98,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
