Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,7,89.25,,,25.44,,,3.37,,,2.04,,,16.65,,,1,,,2,,,9,,,29,,,C,
2,7,246.04,,,50.72,,,14.20,,,5.71,,,49.87,,,1,,,8,,,21,,,85,,,C,
3,7,70.31,,,16.37,,,4.55,,,2.52,,,14.48,,,1,,,3,,,4,,,23,,,C,
4,7,117.12,,,22.32,,,7.02,,,3.25,,,23.81,,,1,,,4,,,7,,,41,,,C,
5,7,120.21,,,18.59,,,10.34,,,4.47,,,26.70,,,1,,,6,,,7,,,41,,,C,
6,7,123.89,,,25.60,,,6.91,,,3.04,,,25.27,,,1,,,4,,,11,,,43,,,C,
7,7,39.34,,,6.90,,,3.36,,,2.06,,,9.17,,,1,,,2,,,3,,,13,,,C,
8,7,100.46,,,18.82,,,4.64,,,2.46,,,21.35,,,1,,,3,,,10,,,37,,,C,
9,7,67.12,,,11.83,,,4.49,,,2.59,,,14.92,,,1,,,3,,,5,,,23,,,C,
10,7,124.54,,,22.24,,,4.75,,,2.41,,,26.87,,,1,,,3,,,16,,,47,,,C,
11,7,110.56,,,23.59,,,3.47,,,2.06,,,22.04,,,1,,,2,,,15,,,41,,,C,
12,7,65.92,,,9.21,,,6.90,,,3.17,,,16.16,,,1,,,4,,,4,,,21,,,C,
13,7,173.74,,,36.39,,,12.41,,,5.16,,,35.30,,,1,,,7,,,10,,,57,,,C,
14,7,196.09,,,43.47,,,12.61,,,5.16,,,38.53,,,1,,,7,,,13,,,65,,,C,
15,7,112.30,,,17.62,,,8.78,,,3.79,,,24.75,,,1,,,5,,,8,,,39,,,C,
16,7,192.98,,,38.89,,,10.69,,,4.34,,,39.81,,,1,,,6,,,20,,,67,,,C,
17,7,158.24,,,49.35,,,4.62,,,2.54,,,27.40,,,1,,,3,,,15,,,51,,,C,
18,7,34.56,,,6.17,,,3.41,,,1.93,,,8.08,,,1,,,2,,,2,,,11,,,C,
19,7,81.90,,,11.09,,,6.77,,,3.09,,,18.85,,,1,,,4,,,4,,,29,,,C,
20,7,188.54,,,27.99,,,14.18,,,5.71,,,41.36,,,1,,,8,,,11,,,67,,,C,
21,7,156.21,,,35.14,,,8.66,,,3.80,,,30.68,,,1,,,5,,,11,,,53,,,C,
22,7,58.03,,,11.98,,,3.48,,,2.00,,,11.17,,,1,,,2,,,2,,,20,,,C,
23,7,71.53,,,19.45,,,4.59,,,2.46,,,14.78,,,1,,,3,,,5,,,21,,,C,
24,7,132.63,,,18.58,,,10.59,,,4.60,,,29.77,,,1,,,6,,,9,,,47,,,C,
25,7,250.39,,,78.70,,,8.76,,,3.71,,,43.26,,,1,,,5,,,20,,,79,,,C,
26,7,99.97,,,20.23,,,6.86,,,3.23,,,20.93,,,1,,,4,,,6,,,33,,,C,
27,7,66.15,,,9.73,,,4.65,,,2.54,,,15.96,,,1,,,3,,,7,,,23,,,C,
28,7,77.88,,,10.26,,,6.83,,,3.15,,,18.16,,,1,,,4,,,5,,,27,,,C,
29,7,46.93,,,5.84,,,3.48,,,1.98,,,11.99,,,1,,,2,,,7,,,17,,,C,
30,7,109.66,,,17.25,,,6.98,,,3.09,,,25.43,,,1,,,4,,,16,,,39,,,C,
31,7,134.59,,,24.66,,,10.61,,,4.28,,,29.02,,,1,,,6,,,9,,,45,,,C,
32,7,57.83,,,9.52,,,3.52,,,2.08,,,13.05,,,1,,,2,,,6,,,21,,,C,
33,7,175.56,,,30.27,,,10.40,,,4.37,,,36.01,,,1,,,6,,,12,,,65,,,C,
34,7,122.84,,,28.21,,,6.70,,,3.16,,,24.98,,,1,,,4,,,12,,,41,,,C,
35,7,73.86,,,10.25,,,6.90,,,3.14,,,17.18,,,1,,,4,,,4,,,25,,,C,
36,7,133.53,,,41.31,,,3.30,,,2.03,,,24.59,,,1,,,2,,,17,,,43,,,C,
37,7,120.51,,,18.94,,,6.92,,,3.16,,,26.36,,,1,,,4,,,11,,,45,,,C,
38,7,127.07,,,16.99,,,12.25,,,5.09,,,29.55,,,1,,,7,,,8,,,43,,,C,
39,7,145.63,,,34.37,,,8.67,,,3.73,,,30.08,,,1,,,5,,,17,,,47,,,C,
40,7,132.00,,,20.25,,,8.57,,,3.85,,,28.49,,,1,,,5,,,10,,,49,,,C,
41,7,135.54,,,18.24,,,12.25,,,5.04,,,31.34,,,1,,,7,,,8,,,47,,,C,
42,7,111.24,,,15.54,,,8.82,,,3.84,,,26.65,,,1,,,5,,,14,,,39,,,C,
43,7,112.86,,,29.60,,,6.72,,,3.15,,,20.71,,,1,,,4,,,4,,,36,,,C,
44,7,153.44,,,41.25,,,6.86,,,3.05,,,28.46,,,1,,,4,,,13,,,51,,,C,
45,7,53.82,,,5.25,,,6.84,,,3.12,,,14.54,,,1,,,4,,,4,,,17,,,C,
46,7,138.51,,,20.78,,,10.42,,,4.22,,,32.22,,,1,,,6,,,9,,,47,,,C,
47,7,274.71,,,77.65,,,12.21,,,4.87,,,49.74,,,1,,,7,,,21,,,89,,,C,
48,7,123.42,,,26.10,,,8.53,,,3.89,,,25.91,,,1,,,5,,,9,,,41,,,C,
49,7,125.15,,,39.79,,,6.85,,,3.11,,,22.21,,,1,,,4,,,7,,,37,,,C,
50,7,226.69,,,48.61,,,13.91,,,5.73,,,45.83,,,1,,,8,,,20,,,77,,,C,
51,7,87.79,,,9.65,,,8.49,,,3.80,,,21.65,,,1,,,5,,,7,,,31,,,C,
52,7,211.16,,,44.77,,,12.20,,,4.98,,,42.34,,,1,,,7,,,17,,,73,,,C,
53,7,216.35,,,42.76,,,14.24,,,5.57,,,45.00,,,1,,,8,,,16,,,75,,,C,
54,7,126.61,,,34.67,,,4.51,,,2.43,,,23.66,,,1,,,3,,,12,,,43,,,C,
55,7,191.82,,,26.25,,,12.11,,,4.99,,,42.84,,,1,,,7,,,19,,,73,,,C,
56,7,60.66,,,6.63,,,4.55,,,2.51,,,14.98,,,1,,,3,,,6,,,23,,,C,
57,7,208.06,,,43.34,,,16.00,,,6.24,,,43.01,,,1,,,9,,,12,,,69,,,C,
58,7,81.97,,,16.64,,,4.48,,,2.35,,,17.36,,,1,,,3,,,7,,,29,,,C,
59,7,138.18,,,41.41,,,4.51,,,2.58,,,24.90,,,1,,,3,,,16,,,45,,,C,
60,7,94.42,,,22.03,,,4.51,,,2.50,,,18.60,,,1,,,3,,,7,,,33,,,C,
61,7,134.42,,,22.71,,,8.33,,,3.76,,,28.99,,,1,,,5,,,11,,,49,,,C,
62,7,114.16,,,26.05,,,4.42,,,2.53,,,22.54,,,1,,,3,,,11,,,41,,,C,
63,7,85.62,,,16.80,,,6.72,,,3.04,,,17.82,,,1,,,4,,,5,,,29,,,C,
64,7,142.01,,,23.50,,,10.23,,,4.28,,,30.88,,,1,,,6,,,10,,,51,,,C,
65,7,61.91,,,10.19,,,6.72,,,3.02,,,15.10,,,1,,,4,,,4,,,19,,,C,
66,7,119.04,,,31.79,,,4.46,,,2.47,,,22.35,,,1,,,3,,,11,,,41,,,C,
67,7,229.70,,,73.04,,,8.36,,,3.66,,,39.61,,,1,,,5,,,19,,,73,,,C,
