Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,8,115.65,,,14.46,,,5.06,,,2.94,,,34.90,,,1,,,3,,,7,,,23,,,C,
2,8,239.62,,,30.08,,,9.78,,,4.58,,,71.79,,,1,,,5,,,16,,,49,,,C,
3,8,200.75,,,14.68,,,11.95,,,5.01,,,61.28,,,1,,,6,,,9,,,43,,,C,
4,8,317.93,,,45.65,,,9.87,,,4.40,,,88.99,,,1,,,5,,,16,,,67,,,C,
5,8,202.44,,,34.09,,,5.07,,,2.88,,,57.27,,,1,,,3,,,13,,,41,,,C,
6,8,387.93,,,62.66,,,11.88,,,5.17,,,107.29,,,1,,,6,,,20,,,79,,,C,
7,8,206.20,,,21.15,,,7.66,,,3.54,,,60.54,,,1,,,4,,,11,,,45,,,C,
8,8,39.30,,,3.34,,,3.83,,,2.39,,,14.14,,,1,,,2,,,3,,,7,,,C,
9,8,161.87,,,24.27,,,5.16,,,2.73,,,47.42,,,1,,,3,,,11,,,33,,,C,
10,8,222.58,,,21.38,,,12.14,,,5.20,,,65.38,,,1,,,6,,,9,,,47,,,C,
11,8,280.88,,,41.32,,,9.72,,,4.39,,,77.19,,,1,,,5,,,13,,,59,,,C,
12,8,240.09,,,20.10,,,9.69,,,4.45,,,71.70,,,1,,,5,,,13,,,53,,,C,
13,8,140.22,,,20.64,,,5.10,,,2.76,,,40.01,,,1,,,3,,,7,,,29,,,C,
14,8,330.24,,,37.75,,,12.14,,,5.30,,,95.23,,,1,,,6,,,17,,,71,,,C,
15,8,173.74,,,16.02,,,5.03,,,2.83,,,52.48,,,1,,,3,,,11,,,39,,,C,
16,8,76.32,,,4.78,,,4.98,,,2.83,,,27.40,,,1,,,3,,,7,,,15,,,C,
17,8,219.78,,,19.50,,,14.26,,,5.98,,,66.55,,,1,,,7,,,10,,,45,,,C,
18,8,177.33,,,27.97,,,7.74,,,3.56,,,45.99,,,1,,,4,,,4,,,36,,,C,
19,8,402.36,,,54.51,,,19.13,,,7.63,,,115.63,,,1,,,9,,,22,,,81,,,C,
20,8,170.96,,,13.82,,,12.22,,,5.28,,,51.96,,,1,,,6,,,6,,,35,,,C,
21,8,296.54,,,29.63,,,9.89,,,4.36,,,88.74,,,1,,,5,,,20,,,65,,,C,
