Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
180,1,8.69,8.57,0.99,1.03,1.09,1.06,3.64,3.58,0.98,1.85,1.85,1.00,1.09,1.02,0.93,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
181,1,3.88,3.97,1.02,0.37,0.36,0.97,1.67,1.77,1.06,1.16,1.15,0.99,0.35,0.35,1.01,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
182,1,8.68,8.73,1.01,1.05,1.08,1.03,3.65,3.58,0.98,1.86,1.93,1.04,1.00,1.09,1.09,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
183,1,3.84,3.78,0.99,0.37,0.39,1.07,1.68,1.60,0.95,1.12,1.10,0.98,0.34,0.33,0.96,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
184,1,6.41,6.32,0.99,0.74,0.72,0.98,2.70,2.61,0.96,1.54,1.57,1.02,0.71,0.71,0.99,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
185,1,6.35,6.24,0.98,0.73,0.78,1.06,2.63,2.55,0.97,1.56,1.51,0.96,0.71,0.69,0.98,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
186,1,3.78,3.81,1.01,0.36,0.36,1.00,1.61,1.62,1.00,1.13,1.14,1.01,0.34,0.31,0.93,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
187,1,8.67,8.73,1.01,1.07,1.12,1.05,3.57,3.65,1.02,1.93,1.91,0.99,1.06,1.01,0.95,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
188,1,6.26,6.24,1.00,0.73,0.74,1.01,2.59,2.60,1.00,1.52,1.50,0.99,0.72,0.71,0.99,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
189,1,3.97,3.88,0.98,0.34,0.39,1.14,1.78,1.64,0.92,1.11,1.12,1.00,0.36,0.36,1.01,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
190,1,6.31,6.33,1.00,0.71,0.76,1.07,2.68,2.62,0.98,1.53,1.55,1.01,0.67,0.69,1.04,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
191,1,6.30,6.28,1.00,0.74,0.77,1.04,2.61,2.64,1.01,1.58,1.45,0.92,0.68,0.67,0.98,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
192,1,3.85,3.80,0.99,0.39,0.34,0.87,1.69,1.63,0.97,1.11,1.12,1.00,0.33,0.35,1.05,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
193,1,8.52,8.68,1.02,1.01,1.13,1.12,3.47,3.57,1.03,1.91,1.93,1.01,0.98,1.01,1.03,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
194,1,8.50,8.53,1.00,1.00,1.12,1.11,3.54,3.43,0.97,1.83,1.88,1.03,1.09,1.05,0.96,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
195,1,6.10,6.29,1.03,0.73,0.80,1.09,2.46,2.57,1.04,1.54,1.54,1.01,0.70,0.71,1.02,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
196,1,6.29,6.25,0.99,0.74,0.73,0.99,2.63,2.58,0.98,1.47,1.53,1.04,0.70,0.69,0.98,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
197,1,8.80,8.55,0.97,1.02,1.07,1.04,3.70,3.52,0.95,1.92,1.86,0.97,1.05,0.99,0.94,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
198,1,8.79,8.76,1.00,1.06,1.15,1.09,3.68,3.61,0.98,1.87,1.88,1.00,1.06,1.08,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
199,1,8.55,8.70,1.02,1.01,1.15,1.14,3.57,3.48,0.97,1.84,1.91,1.04,1.05,1.09,1.04,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
200,1,6.41,6.19,0.97,0.78,0.74,0.95,2.67,2.59,0.97,1.57,1.49,0.95,0.70,0.66,0.94,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
