Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
153,8,138.94,,,18.24,,,10.04,,,4.67,,,2.34,,,1,,,5,,,5,,,39,,,C,
154,8,145.09,,,16.30,,,7.84,,,3.64,,,1.94,,,1,,,4,,,13,,,43,,,C,
155,8,129.40,,,16.92,,,7.66,,,3.77,,,2.11,,,1,,,4,,,11,,,37,,,C,
156,8,179.88,,,23.42,,,7.94,,,3.69,,,1.91,,,1,,,4,,,18,,,53,,,C,
157,8,190.56,,,21.23,,,12.54,,,5.35,,,2.79,,,1,,,6,,,17,,,55,,,C,
158,8,136.51,,,22.28,,,5.03,,,2.93,,,1.65,,,1,,,3,,,12,,,39,,,C,
159,8,171.48,,,21.19,,,7.94,,,3.69,,,1.98,,,1,,,4,,,16,,,51,,,C,
160,8,209.00,,,30.22,,,14.26,,,6.30,,,3.72,,,1,,,7,,,11,,,57,,,C,
161,8,176.20,,,35.03,,,8.13,,,3.75,,,2.18,,,1,,,4,,,14,,,47,,,C,
162,8,189.38,,,30.75,,,12.41,,,5.36,,,3.27,,,1,,,6,,,10,,,51,,,C,
163,8,53.45,,,5.19,,,5.28,,,2.90,,,1.46,,,1,,,3,,,4,,,15,,,C,
164,8,220.72,,,47.98,,,7.90,,,3.63,,,2.32,,,1,,,4,,,16,,,59,,,C,
165,8,188.15,,,31.95,,,10.11,,,4.54,,,2.74,,,1,,,5,,,13,,,51,,,C,
166,8,191.45,,,43.37,,,5.25,,,2.93,,,1.84,,,1,,,3,,,15,,,51,,,C,
167,8,232.14,,,29.77,,,12.31,,,5.36,,,2.81,,,1,,,6,,,21,,,67,,,C,
168,8,288.90,,,64.23,,,12.38,,,5.35,,,3.39,,,1,,,6,,,20,,,75,,,C,
169,8,180.63,,,22.28,,,12.21,,,5.28,,,3.25,,,1,,,6,,,8,,,51,,,C,
170,8,163.04,,,33.55,,,7.89,,,3.71,,,2.25,,,1,,,4,,,9,,,43,,,C,
171,8,68.70,,,6.56,,,3.94,,,2.33,,,0.91,,,1,,,2,,,8,,,21,,,C,
172,8,295.03,,,173.39,,,8.03,,,3.70,,,1.88,,,1,,,4,,,10,,,39,,,C,
173,8,90.20,,,15.13,,,8.27,,,3.73,,,1.96,,,1,,,4,,,7,,,23,,,C,
174,8,177.04,,,25.26,,,8.20,,,3.81,,,1.97,,,1,,,4,,,13,,,51,,,C,
175,8,109.60,,,10.92,,,5.24,,,2.92,,,1.47,,,1,,,3,,,10,,,33,,,C,
176,8,259.13,,,53.48,,,10.35,,,4.50,,,3.17,,,1,,,5,,,20,,,63,,,C,
177,8,282.53,,,62.17,,,10.97,,,4.91,,,3.43,,,1,,,5,,,18,,,69,,,C,
178,8,286.14,,,87.12,,,12.80,,,5.17,,,3.53,,,1,,,6,,,13,,,65,,,C,
179,8,249.19,,,26.62,,,14.60,,,6.26,,,3.27,,,1,,,7,,,19,,,73,,,C,
180,8,152.55,,,28.48,,,7.91,,,3.73,,,2.16,,,1,,,4,,,6,,,41,,,C,
181,8,229.32,,,24.73,,,12.35,,,5.36,,,2.86,,,1,,,6,,,18,,,67,,,C,
182,8,145.81,,,19.76,,,5.27,,,3.03,,,1.51,,,1,,,3,,,16,,,43,,,C,
183,8,174.27,,,35.43,,,10.24,,,4.61,,,2.73,,,1,,,5,,,10,,,45,,,C,
184,8,168.27,,,25.45,,,5.21,,,2.85,,,1.53,,,1,,,3,,,17,,,49,,,C,
185,8,170.77,,,21.29,,,12.31,,,5.43,,,3.21,,,1,,,6,,,7,,,47,,,C,
186,8,141.96,,,13.76,,,12.67,,,5.44,,,3.18,,,1,,,6,,,9,,,39,,,C,
187,8,93.42,,,16.52,,,5.33,,,3.02,,,1.67,,,1,,,3,,,5,,,25,,,C,
188,8,268.16,,,31.82,,,14.99,,,6.21,,,3.52,,,1,,,7,,,20,,,77,,,C,
189,8,225.86,,,31.51,,,12.76,,,5.45,,,3.41,,,1,,,6,,,17,,,63,,,C,
190,8,230.41,,,28.43,,,17.46,,,7.13,,,3.88,,,1,,,8,,,12,,,63,,,C,
191,8,219.47,,,41.36,,,12.49,,,5.49,,,3.41,,,1,,,6,,,13,,,57,,,C,
192,8,154.47,,,22.82,,,8.42,,,3.74,,,2.18,,,1,,,4,,,13,,,43,,,C,
193,8,203.48,,,35.78,,,12.82,,,5.45,,,3.33,,,1,,,6,,,11,,,53,,,C,
194,8,191.95,,,22.09,,,10.34,,,4.54,,,2.55,,,1,,,5,,,16,,,55,,,C,
195,8,138.88,,,18.44,,,8.13,,,3.83,,,2.24,,,1,,,4,,,11,,,39,,,C,
196,8,144.51,,,17.33,,,8.04,,,3.82,,,1.94,,,1,,,4,,,15,,,41,,,C,
197,8,135.81,,,30.50,,,5.31,,,3.01,,,1.71,,,1,,,3,,,13,,,35,,,C,
198,8,133.89,,,22.38,,,5.55,,,2.90,,,1.67,,,1,,,3,,,12,,,37,,,C,
199,8,269.95,,,37.91,,,17.24,,,7.12,,,4.45,,,1,,,8,,,16,,,73,,,C,
200,8,169.25,,,25.02,,,8.16,,,3.77,,,2.23,,,1,,,4,,,11,,,47,,,C,
