Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
135,7,160.53,,,33.05,,,12.34,,,5.13,,,3.54,,,1,,,7,,,21,,,73,,,C,
136,7,84.99,,,16.75,,,8.62,,,3.66,,,2.38,,,1,,,5,,,9,,,37,,,C,
137,7,100.11,,,37.58,,,3.43,,,1.97,,,1.22,,,1,,,2,,,13,,,39,,,C,
138,7,102.29,,,15.68,,,10.39,,,4.48,,,3.40,,,1,,,6,,,9,,,47,,,C,
139,7,182.06,,,60.70,,,8.49,,,3.56,,,2.98,,,1,,,5,,,20,,,73,,,C,
140,7,116.31,,,45.48,,,8.76,,,3.68,,,2.72,,,1,,,5,,,9,,,39,,,C,
141,7,152.28,,,36.82,,,12.67,,,4.99,,,3.81,,,1,,,7,,,14,,,65,,,C,
142,7,64.01,,,7.92,,,6.64,,,3.08,,,1.87,,,1,,,4,,,6,,,31,,,C,
143,7,226.46,,,78.41,,,12.41,,,4.95,,,4.03,,,1,,,7,,,22,,,87,,,C,
144,7,96.37,,,25.23,,,8.79,,,3.69,,,2.64,,,1,,,5,,,9,,,39,,,C,
145,7,131.71,,,28.52,,,8.67,,,3.87,,,2.54,,,1,,,5,,,17,,,61,,,C,
146,7,144.80,,,40.91,,,8.36,,,3.89,,,3.01,,,1,,,5,,,16,,,61,,,C,
147,7,156.79,,,46.53,,,8.68,,,3.70,,,2.87,,,1,,,5,,,16,,,65,,,C,
148,7,124.60,,,39.35,,,6.90,,,3.11,,,2.35,,,1,,,4,,,14,,,51,,,C,
