Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,8,78.31,,,10.25,,,5.08,,,2.84,,,1.48,,,1,,,3,,,6,,,23,,,C,
2,8,215.31,,,46.51,,,7.54,,,3.58,,,2.20,,,1,,,4,,,18,,,59,,,C,
3,8,156.25,,,20.10,,,7.49,,,3.60,,,1.88,,,1,,,4,,,18,,,47,,,C,
4,8,134.56,,,24.75,,,7.65,,,3.54,,,2.05,,,1,,,4,,,8,,,37,,,C,
5,8,155.02,,,15.56,,,9.70,,,4.37,,,2.23,,,1,,,5,,,11,,,47,,,C,
6,8,219.89,,,40.99,,,9.91,,,4.39,,,2.79,,,1,,,5,,,20,,,61,,,C,
7,8,55.51,,,15.88,,,3.65,,,2.27,,,0.93,,,1,,,2,,,5,,,13,,,C,
8,8,83.84,,,15.01,,,5.03,,,2.92,,,1.49,,,1,,,3,,,4,,,23,,,C,
9,8,143.68,,,26.29,,,5.15,,,2.96,,,1.59,,,1,,,3,,,10,,,41,,,C,
10,8,75.91,,,7.96,,,7.61,,,3.70,,,1.86,,,1,,,4,,,6,,,21,,,C,
11,8,184.12,,,19.45,,,9.83,,,4.56,,,2.37,,,1,,,5,,,13,,,55,,,C,
12,8,170.34,,,31.49,,,7.67,,,3.62,,,2.17,,,1,,,4,,,10,,,47,,,C,
13,8,148.19,,,23.24,,,12.09,,,5.28,,,3.09,,,1,,,6,,,6,,,39,,,C,
14,8,104.79,,,18.60,,,5.14,,,2.84,,,1.50,,,1,,,3,,,7,,,29,,,C,
15,8,181.18,,,28.60,,,9.70,,,4.47,,,2.66,,,1,,,5,,,12,,,51,,,C,
16,8,159.30,,,17.37,,,9.81,,,4.55,,,2.34,,,1,,,5,,,13,,,47,,,C,
17,8,88.53,,,14.47,,,7.75,,,3.74,,,1.99,,,1,,,4,,,7,,,23,,,C,
18,8,210.16,,,40.62,,,9.99,,,4.48,,,2.79,,,1,,,5,,,17,,,57,,,C,
19,8,186.33,,,29.66,,,12.15,,,5.27,,,3.15,,,1,,,6,,,10,,,51,,,C,
20,8,140.48,,,13.53,,,9.84,,,4.49,,,2.33,,,1,,,5,,,11,,,41,,,C,
21,8,98.91,,,13.03,,,5.15,,,2.97,,,1.51,,,1,,,3,,,8,,,29,,,C,
22,8,133.36,,,17.76,,,9.83,,,4.49,,,2.64,,,1,,,5,,,6,,,37,,,C,
23,8,125.44,,,20.09,,,3.82,,,2.31,,,1.01,,,1,,,2,,,13,,,37,,,C,
24,8,171.32,,,19.97,,,12.00,,,5.15,,,3.08,,,1,,,6,,,10,,,49,,,C,
25,8,83.57,,,10.82,,,3.78,,,2.29,,,0.91,,,1,,,2,,,8,,,25,,,C,
26,8,162.94,,,19.29,,,7.60,,,3.66,,,1.91,,,1,,,4,,,13,,,49,,,C,
27,8,157.22,,,29.59,,,7.76,,,3.71,,,2.13,,,1,,,4,,,11,,,43,,,C,
28,8,220.12,,,48.43,,,7.58,,,3.81,,,2.26,,,1,,,4,,,14,,,59,,,C,
29,8,211.82,,,36.29,,,9.78,,,4.38,,,2.76,,,1,,,5,,,14,,,59,,,C,
30,8,110.64,,,11.68,,,9.84,,,4.48,,,2.59,,,1,,,5,,,5,,,31,,,C,
31,8,269.59,,,40.03,,,16.66,,,6.93,,,4.39,,,1,,,8,,,15,,,75,,,C,
32,8,335.03,,,48.98,,,18.95,,,7.85,,,4.97,,,1,,,9,,,21,,,91,,,C,
33,8,51.84,,,6.27,,,3.87,,,2.27,,,1.11,,,1,,,2,,,2,,,14,,,C,
34,8,220.12,,,35.15,,,12.06,,,5.32,,,3.18,,,1,,,6,,,12,,,61,,,C,
35,8,198.61,,,42.47,,,5.14,,,2.77,,,1.80,,,1,,,3,,,17,,,55,,,C,
36,8,63.02,,,9.37,,,5.08,,,2.90,,,1.42,,,1,,,3,,,3,,,17,,,C,
37,8,153.16,,,12.47,,,12.01,,,5.16,,,2.73,,,1,,,6,,,9,,,45,,,C,
38,8,133.22,,,16.99,,,9.81,,,4.47,,,2.55,,,1,,,5,,,8,,,37,,,C,
39,8,84.39,,,9.05,,,5.14,,,2.71,,,1.37,,,1,,,3,,,11,,,25,,,C,
40,8,126.24,,,9.55,,,9.97,,,4.45,,,2.35,,,1,,,5,,,7,,,37,,,C,
41,8,159.35,,,33.60,,,5.33,,,2.91,,,1.77,,,1,,,3,,,16,,,43,,,C,
42,8,233.67,,,50.19,,,10.19,,,4.63,,,2.75,,,1,,,5,,,19,,,61,,,C,
43,8,258.56,,,48.16,,,12.50,,,5.21,,,3.34,,,1,,,6,,,19,,,69,,,C,
44,8,237.24,,,34.83,,,17.10,,,7.03,,,4.30,,,1,,,8,,,13,,,63,,,C,
45,8,289.23,,,52.93,,,14.47,,,6.15,,,3.97,,,1,,,7,,,20,,,77,,,C,
46,8,113.68,,,10.72,,,7.89,,,3.68,,,2.13,,,1,,,4,,,6,,,33,,,C,
47,8,42.57,,,4.40,,,5.12,,,2.78,,,1.37,,,1,,,3,,,4,,,11,,,C,
48,8,177.67,,,29.33,,,7.94,,,3.65,,,2.25,,,1,,,4,,,11,,,49,,,C,
49,8,151.33,,,19.18,,,5.27,,,2.95,,,1.49,,,1,,,3,,,16,,,45,,,C,
50,8,110.92,,,14.75,,,3.92,,,2.32,,,1.02,,,1,,,2,,,13,,,33,,,C,
51,8,178.15,,,26.22,,,10.02,,,4.59,,,2.81,,,1,,,5,,,9,,,49,,,C,
52,8,120.61,,,13.45,,,9.93,,,4.55,,,2.77,,,1,,,5,,,5,,,33,,,C,
53,8,249.71,,,53.89,,,10.08,,,4.56,,,2.89,,,1,,,5,,,17,,,65,,,C,
54,8,72.84,,,7.44,,,5.22,,,2.91,,,1.48,,,1,,,3,,,7,,,21,,,C,
55,8,119.97,,,10.90,,,8.00,,,3.74,,,1.84,,,1,,,4,,,10,,,35,,,C,
56,8,182.47,,,25.00,,,10.22,,,4.57,,,2.74,,,1,,,5,,,15,,,51,,,C,
57,8,236.36,,,51.10,,,10.35,,,4.62,,,2.70,,,1,,,5,,,19,,,61,,,C,
58,8,130.62,,,16.69,,,7.92,,,3.83,,,1.96,,,1,,,4,,,9,,,37,,,C,
59,8,226.92,,,41.04,,,10.15,,,4.57,,,2.84,,,1,,,5,,,15,,,61,,,C,
60,8,235.74,,,55.00,,,7.77,,,3.71,,,2.34,,,1,,,4,,,17,,,61,,,C,
61,8,268.20,,,60.77,,,10.22,,,4.46,,,2.93,,,1,,,5,,,20,,,69,,,C,
62,8,177.07,,,19.65,,,10.27,,,4.56,,,2.45,,,1,,,5,,,16,,,51,,,C,
63,8,240.25,,,38.76,,,12.35,,,5.30,,,3.41,,,1,,,6,,,17,,,65,,,C,
64,8,201.83,,,29.65,,,10.02,,,4.50,,,2.77,,,1,,,5,,,16,,,57,,,C,
65,8,45.07,,,4.49,,,3.89,,,2.26,,,0.90,,,1,,,2,,,6,,,13,,,C,
66,8,239.07,,,31.52,,,12.30,,,5.30,,,2.91,,,1,,,6,,,20,,,69,,,C,
67,8,96.24,,,6.76,,,10.16,,,4.46,,,2.18,,,1,,,5,,,7,,,27,,,C,
68,8,193.56,,,36.82,,,7.80,,,3.73,,,2.29,,,1,,,4,,,17,,,53,,,C,
69,8,257.35,,,42.54,,,12.35,,,5.27,,,3.43,,,1,,,6,,,20,,,71,,,C,
70,8,275.48,,,27.32,,,16.87,,,6.99,,,3.82,,,1,,,8,,,20,,,81,,,C,
71,8,192.55,,,35.16,,,7.83,,,3.62,,,2.25,,,1,,,4,,,16,,,53,,,C,
72,8,105.32,,,18.57,,,5.15,,,2.85,,,1.62,,,1,,,3,,,9,,,29,,,C,
73,8,181.10,,,31.93,,,10.08,,,4.54,,,2.71,,,1,,,5,,,10,,,49,,,C,
74,8,145.78,,,20.18,,,12.36,,,5.32,,,3.09,,,1,,,6,,,6,,,39,,,C,
75,8,130.89,,,20.94,,,5.24,,,2.95,,,1.60,,,1,,,3,,,12,,,37,,,C,
76,8,266.47,,,54.07,,,14.80,,,6.05,,,3.86,,,1,,,7,,,19,,,69,,,C,
77,8,66.80,,,10.44,,,3.76,,,2.25,,,0.93,,,1,,,2,,,4,,,19,,,C,
78,8,127.81,,,24.22,,,5.07,,,2.79,,,1.61,,,1,,,3,,,9,,,35,,,C,
79,8,222.36,,,30.90,,,14.65,,,6.21,,,3.88,,,1,,,7,,,11,,,61,,,C,
80,8,172.23,,,24.36,,,5.31,,,2.93,,,1.49,,,1,,,3,,,18,,,51,,,C,
81,8,78.69,,,9.41,,,7.90,,,3.68,,,1.97,,,1,,,4,,,4,,,21,,,C,
82,8,158.68,,,22.17,,,5.11,,,2.91,,,1.47,,,1,,,3,,,18,,,47,,,C,
83,8,120.40,,,24.54,,,3.91,,,2.24,,,1.14,,,1,,,2,,,12,,,33,,,C,
