Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Ratio Run Time,Planning Time - zooming,Planning Time non_zooming,Ratio Planning time,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
47,2,9.7,13.03,1.3432989691,4.98,7.57,1.5200803213,0.34,1,3,3,13,C,0.5,1,3,3,13,C
48,2,18.29,22.06,1.2061235648,8.19,12.87,1.5714285714,0.73,1,5,3,26,C,0.84,1,5,3,26,C
49,2,13.15,19.29,1.4669201521,6.84,11,1.6081871345,0.66,1,4,3,17,C,0.88,1,4,3,17,C
50,2,22.5,23.1,1.0266666667,11.85,13.9,1.1729957806,0.75,1,5,4,23,C,0.75,1,5,4,23,C
51,2,9.21,15.2,1.6503800217,5.58,9.93,1.7795698925,0.48,1,3,3,7,C,1.16,1,3,3,7,C
52,2,19.15,25.1,1.3107049608,9.46,14.33,1.5147991543,0.5,1,5,4,23,C,0.77,1,5,4,23,C
53,2,8.12,10.57,1.3017241379,4.43,6.76,1.5259593679,0.4,1,2,2,9,C,0.52,1,2,2,9,C
54,2,13.34,17.52,1.3133433283,7.28,10.46,1.4368131868,0.45,1,4,4,15,C,0.58,1,4,4,15,C
55,2,14.63,20.25,1.3841421736,7.53,11.95,1.5869853918,0.47,1,5,4,21,C,0.67,1,5,4,21,C
56,2,9.16,11.86,1.2947598253,5.51,7.81,1.4174228675,0.49,1,3,3,7,C,0.54,1,3,3,7,C
57,2,25.04,34.17,1.3646166134,12.42,19.95,1.6062801932,0.57,1,6,5,25,C,0.83,1,6,5,25,C
58,2,14.69,20.76,1.4132062628,7.66,12.87,1.680156658,0.48,1,5,3,24,C,0.91,1,5,3,24,C
59,2,16.1,17.49,1.0863354037,8.98,10.76,1.1982182628,0.56,1,4,4,15,C,0.71,1,4,4,15,C
60,2,7.95,9.43,1.186163522,4.42,5.82,1.3167420814,0.53,1,2,2,9,C,0.53,1,2,2,9,C
61,2,16.38,22.33,1.3632478632,8.78,13.76,1.5671981777,0.53,1,6,4,28,C,0.56,1,6,4,28,C
62,2,9.52,11.22,1.1785714286,5.79,7.2,1.2435233161,0.43,1,3,3,7,C,0.53,1,3,3,7,C
63,2,10.38,14.44,1.3911368015,5.62,8.92,1.5871886121,0.48,1,4,3,15,C,0.62,1,4,3,15,C
64,2,13.06,16.67,1.2764165391,7.37,10.21,1.3853459973,0.5,1,4,4,13,C,0.61,1,4,4,13,C
