Trial Number,Complexity Level,Run-time zooming,Planning Time - zooming,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Run-time non_zooming,Planning Time non_zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
66,1,6.16,3.76,0.35,1,2,2,7,C,6.40,3.97,0.34,1,2,2,7,C
67,1,9.30,5.19,0.40,1,4,3,15,C,9.60,5.54,0.37,1,4,3,15,C
68,1,7.99,4.70,0.35,1,3,3,9,C,8.41,5.06,0.37,1,3,3,9,C
69,1,8.89,5.17,0.38,1,4,3,13,C,9.11,5.41,0.33,1,4,3,13,C
70,1,6.35,4.01,0.36,1,3,2,9,C,6.74,4.31,0.39,1,3,2,9,C
71,1,9.29,5.15,0.40,1,4,3,15,C,9.51,5.46,0.36,1,4,3,15,C
72,1,6.59,4.18,0.38,1,3,2,9,C,6.68,4.24,0.37,1,3,2,9,C
73,1,6.88,4.11,0.38,1,3,2,11,C,6.98,4.19,0.37,1,3,2,11,C
74,1,9.29,5.17,0.40,1,4,3,15,C,9.62,5.49,0.37,1,4,3,15,C
75,1,8.18,4.83,0.36,1,3,3,9,C,8.34,5.07,0.35,1,3,3,9,C
76,1,8.95,5.21,0.38,1,4,3,13,C,9.22,5.50,0.38,1,4,3,13,C
77,1,5.88,3.81,0.35,1,2,2,5,C,5.83,3.87,0.34,1,2,2,5,C
78,1,8.21,4.83,0.38,1,3,3,9,C,8.50,5.15,0.37,1,3,3,9,C
79,1,6.85,4.11,0.34,1,3,2,11,C,7.09,4.32,0.37,1,3,2,11,C
80,1,6.40,4.07,0.34,1,3,2,9,C,6.63,4.22,0.38,1,3,2,9,C
81,1,6.88,4.17,0.37,1,3,2,11,C,6.95,4.19,0.35,1,3,2,11,C
82,1,6.89,4.13,0.35,1,3,2,11,C,6.92,4.18,0.37,1,3,2,11,C
83,1,8.92,5.19,0.37,1,4,3,13,C,9.12,5.40,0.37,1,4,3,13,C
84,1,9.05,5.24,0.39,1,4,3,13,C,9.26,5.50,0.37,1,4,3,13,C
85,1,9.01,5.28,0.39,1,4,3,13,C,9.19,5.50,0.37,1,4,3,13,C
86,1,6.84,4.07,0.33,1,3,2,11,C,6.96,4.24,0.36,1,3,2,11,C
87,1,5.86,3.83,0.36,1,2,2,5,C,5.99,3.98,0.35,1,2,2,5,C
88,1,5.71,3.67,0.36,1,2,2,5,C,5.91,3.91,0.35,1,2,2,5,C
89,1,7.90,4.88,0.37,1,3,3,7,C,7.94,4.99,0.33,1,3,3,7,C
90,1,7.97,4.66,0.35,1,3,3,9,C,8.39,5.08,0.35,1,3,3,9,C
91,1,8.30,4.91,0.38,1,3,3,9,C,8.34,5.00,0.35,1,3,3,9,C
92,1,8.14,4.80,0.36,1,3,3,9,C,8.34,5.01,0.36,1,3,3,9,C
93,1,9.32,5.16,0.41,1,4,3,15,C,9.54,5.36,0.38,1,4,3,15,C
94,1,6.46,4.06,0.34,1,3,2,9,C,6.73,4.35,0.37,1,3,2,9,C
95,1,8.09,4.72,0.37,1,3,3,9,C,8.45,5.14,0.34,1,3,3,9,C
96,1,7.67,4.73,0.36,1,3,3,7,C,7.97,5.00,0.35,1,3,3,7,C
97,1,7.85,4.90,0.36,1,3,3,7,C,8.01,5.00,0.36,1,3,3,7,C
98,1,6.14,3.75,0.32,1,2,2,7,C,6.30,3.91,0.34,1,2,2,7,C
99,1,8.79,5.06,0.36,1,4,3,13,C,9.10,5.40,0.35,1,4,3,13,C
100,1,9.17,5.13,0.39,1,4,3,15,C,9.48,5.42,0.36,1,4,3,15,C
101,1,6.56,4.18,0.38,1,3,2,9,C,6.69,4.29,0.36,1,3,2,9,C
102,1,6.41,4.07,0.33,1,3,2,9,C,6.68,4.31,0.36,1,3,2,9,C
103,1,6.48,4.08,0.37,1,3,2,9,C,6.61,4.23,0.38,1,3,2,9,C
104,1,7.83,4.84,0.36,1,3,3,7,C,8.06,5.06,0.33,1,3,3,7,C
105,1,9.16,5.08,0.39,1,4,3,15,C,9.73,5.58,0.40,1,4,3,15,C
106,1,8.18,4.83,0.35,1,3,3,9,C,8.44,5.07,0.35,1,3,3,9,C
107,1,5.65,3.69,0.35,1,2,2,5,C,5.93,3.86,0.39,1,2,2,5,C
108,1,6.57,4.20,0.34,1,3,2,9,C,6.65,4.26,0.37,1,3,2,9,C
109,1,8.16,4.82,0.35,1,3,3,9,C,8.49,5.07,0.35,1,3,3,9,C
110,1,8.26,4.85,0.35,1,3,3,9,C,8.42,5.07,0.36,1,3,3,9,C
111,1,8.03,4.95,0.36,1,3,3,7,C,8.19,5.18,0.38,1,3,3,7,C
112,1,6.91,4.13,0.33,1,3,2,11,C,7.05,4.32,0.36,1,3,2,11,C
113,1,8.97,5.23,0.40,1,4,3,13,C,9.05,5.45,0.34,1,4,3,13,C
114,1,9.22,5.07,0.40,1,4,3,15,C,9.54,5.46,0.37,1,4,3,15,C
115,1,5.81,3.79,0.34,1,2,2,5,C,5.86,3.81,0.35,1,2,2,5,C
116,1,8.08,4.69,0.37,1,3,3,9,C,8.49,5.16,0.39,1,3,3,9,C
117,1,9.12,5.29,0.38,1,4,3,13,C,9.20,5.47,0.35,1,4,3,13,C
118,1,7.92,4.86,0.39,1,3,3,7,C,7.98,4.99,0.36,1,3,3,7,C
119,1,9.29,5.17,0.42,1,4,3,15,C,9.61,5.50,0.37,1,4,3,15,C
120,1,7.93,4.97,0.37,1,3,3,7,C,8.25,5.17,0.36,1,3,3,7,C
121,1,9.45,5.23,0.42,1,4,3,15,C,9.46,5.35,0.40,1,4,3,15,C
122,1,6.59,4.19,0.36,1,3,2,9,C,6.74,4.32,0.36,1,3,2,9,C
123,1,6.91,4.17,0.34,1,3,2,11,C,7.01,4.19,0.37,1,3,2,11,C
124,1,6.21,3.81,0.30,1,2,2,7,C,6.25,3.87,0.35,1,2,2,7,C
125,1,7.92,4.82,0.40,1,3,3,7,C,8.24,5.25,0.36,1,3,3,7,C
126,1,7.73,4.81,0.35,1,3,3,7,C,8.02,5.06,0.35,1,3,3,7,C
127,1,6.46,4.04,0.37,1,3,2,9,C,6.64,4.25,0.38,1,3,2,9,C
128,1,6.45,4.12,0.33,1,3,2,9,C,6.70,4.33,0.36,1,3,2,9,C
129,1,7.85,4.87,0.37,1,3,3,7,C,8.07,5.06,0.33,1,3,3,7,C
130,1,8.13,4.83,0.35,1,3,3,9,C,8.39,5.01,0.39,1,3,3,9,C
131,1,6.15,3.82,0.33,1,2,2,7,C,6.32,3.98,0.35,1,2,2,7,C
132,1,8.95,5.21,0.37,1,4,3,13,C,9.20,5.49,0.35,1,4,3,13,C
133,1,9.00,5.21,0.38,1,4,3,13,C,9.31,5.43,0.37,1,4,3,13,C
134,1,6.50,4.03,0.36,1,3,2,9,C,6.75,4.36,0.36,1,3,2,9,C
135,1,8.89,5.19,0.37,1,4,3,13,C,9.20,5.47,0.36,1,4,3,13,C
136,1,5.73,3.76,0.34,1,2,2,5,C,5.92,3.96,0.36,1,2,2,5,C
137,1,9.24,5.09,0.39,1,4,3,15,C,9.60,5.47,0.38,1,4,3,15,C
138,1,9.43,5.27,0.40,1,4,3,15,C,9.66,5.56,0.38,1,4,3,15,C
139,1,8.19,4.88,0.35,1,3,3,9,C,8.33,4.98,0.36,1,3,3,9,C
140,1,5.65,3.69,0.33,1,2,2,5,C,5.78,3.79,0.35,1,2,2,5,C
141,1,6.06,3.71,0.33,1,2,2,7,C,6.36,3.98,0.32,1,2,2,7,C
142,1,6.11,3.67,0.38,1,2,2,7,C,6.20,3.86,0.33,1,2,2,7,C
143,1,8.84,5.12,0.37,1,4,3,13,C,9.19,5.40,0.37,1,4,3,13,C
144,1,7.86,4.84,0.36,1,3,3,7,C,7.99,4.99,0.37,1,3,3,7,C
145,1,5.79,3.81,0.34,1,2,2,5,C,5.85,3.87,0.36,1,2,2,5,C
146,1,5.79,3.76,0.35,1,2,2,5,C,5.92,3.93,0.35,1,2,2,5,C
147,1,7.85,4.91,0.37,1,3,3,7,C,8.22,5.20,0.34,1,3,3,7,C
148,1,7.67,4.74,0.35,1,3,3,7,C,8.11,5.10,0.35,1,3,3,7,C
149,1,7.88,4.84,0.37,1,3,3,7,C,8.01,5.04,0.34,1,3,3,7,C
150,1,9.04,5.22,0.41,1,4,3,13,C,9.22,5.43,0.35,1,4,3,13,C
151,1,8.90,5.20,0.37,1,4,3,13,C,9.03,5.36,0.35,1,4,3,13,C
152,1,8.12,4.81,0.36,1,3,3,9,C,8.40,4.99,0.39,1,3,3,9,C
153,1,7.91,4.87,0.34,1,3,3,7,C,8.07,5.04,0.35,1,3,3,7,C
154,1,7.72,4.75,0.36,1,3,3,7,C,8.02,5.02,0.34,1,3,3,7,C
155,1,9.34,5.17,0.41,1,4,3,15,C,9.58,5.48,0.36,1,4,3,15,C
156,1,9.03,5.31,0.37,1,4,3,13,C,9.16,5.43,0.35,1,4,3,13,C
157,1,6.52,4.12,0.32,1,3,2,9,C,6.62,4.20,0.37,1,3,2,9,C
158,1,6.09,3.76,0.34,1,2,2,7,C,6.26,3.87,0.38,1,2,2,7,C
159,1,9.26,5.17,0.38,1,4,3,15,C,9.59,5.42,0.37,1,4,3,15,C
160,1,6.04,3.67,0.33,1,2,2,7,C,6.49,3.97,0.39,1,2,2,7,C
161,1,6.56,4.21,0.35,1,3,2,9,C,6.68,4.33,0.36,1,3,2,9,C
162,1,6.77,4.08,0.35,1,3,2,11,C,6.98,4.16,0.39,1,3,2,11,C
163,1,6.34,4.02,0.33,1,3,2,9,C,6.66,4.30,0.37,1,3,2,9,C
164,1,7.87,4.88,0.39,1,3,3,7,C,8.10,5.10,0.37,1,3,3,7,C
165,1,9.28,5.13,0.38,1,4,3,15,C,9.52,5.42,0.37,1,4,3,15,C
166,1,9.17,5.08,0.38,1,4,3,15,C,9.43,5.36,0.36,1,4,3,15,C
167,1,6.58,4.17,0.35,1,3,2,9,C,6.63,4.30,0.34,1,3,2,9,C
168,1,6.24,3.79,0.33,1,2,2,7,C,6.17,3.80,0.35,1,2,2,7,C
169,1,5.61,3.67,0.33,1,2,2,5,C,5.86,3.86,0.33,1,2,2,5,C
170,1,7.94,4.68,0.35,1,3,3,9,C,8.44,5.11,0.36,1,3,3,9,C
171,1,6.40,4.02,0.34,1,3,2,9,C,6.81,4.35,0.39,1,3,2,9,C
172,1,7.87,4.85,0.40,1,3,3,7,C,7.94,4.96,0.34,1,3,3,7,C
173,1,6.45,4.12,0.33,1,3,2,9,C,6.63,4.30,0.36,1,3,2,9,C
174,1,7.75,4.81,0.36,1,3,3,7,C,7.96,4.97,0.34,1,3,3,7,C
175,1,5.66,3.68,0.33,1,2,2,5,C,5.99,3.96,0.33,1,2,2,5,C
176,1,6.46,4.08,0.36,1,3,2,9,C,6.80,4.40,0.34,1,3,2,9,C
177,1,6.79,4.08,0.36,1,3,2,11,C,7.05,4.28,0.34,1,3,2,11,C
178,1,9.01,5.19,0.41,1,4,3,13,C,9.21,5.51,0.36,1,4,3,13,C
179,1,6.40,4.02,0.33,1,3,2,9,C,6.67,4.33,0.35,1,3,2,9,C
180,1,9.47,5.23,0.41,1,4,3,15,C,9.52,5.42,0.37,1,4,3,15,C
181,1,7.74,4.79,0.36,1,3,3,7,C,8.10,5.13,0.35,1,3,3,7,C
182,1,6.01,3.62,0.33,1,2,2,7,C,6.25,3.92,0.34,1,2,2,7,C
183,1,6.15,3.80,0.35,1,2,2,7,C,6.32,3.90,0.37,1,2,2,7,C
184,1,9.12,5.04,0.38,1,4,3,15,C,9.51,5.44,0.37,1,4,3,15,C
185,1,5.71,3.71,0.33,1,2,2,5,C,6.00,4.00,0.35,1,2,2,5,C
186,1,6.11,3.73,0.31,1,2,2,7,C,6.17,3.83,0.35,1,2,2,7,C
187,1,6.86,4.07,0.33,1,3,2,11,C,7.15,4.39,0.37,1,3,2,11,C
188,1,8.13,4.81,0.35,1,3,3,9,C,8.37,5.06,0.34,1,3,3,9,C
189,1,8.16,4.88,0.33,1,3,3,9,C,8.51,5.14,0.38,1,3,3,9,C
190,1,6.43,4.04,0.36,1,3,2,9,C,6.64,4.28,0.35,1,3,2,9,C
191,1,8.24,4.88,0.39,1,3,3,9,C,8.41,5.09,0.34,1,3,3,9,C
192,1,9.21,5.17,0.39,1,4,3,15,C,9.55,5.46,0.36,1,4,3,15,C
193,1,5.80,3.80,0.33,1,2,2,5,C,5.91,3.95,0.35,1,2,2,5,C
194,1,7.86,4.89,0.37,1,3,3,7,C,7.98,5.08,0.37,1,3,3,7,C
195,1,8.25,4.91,0.35,1,3,3,9,C,8.48,5.09,0.36,1,3,3,9,C
196,1,6.77,4.10,0.34,1,3,2,11,C,7.01,4.31,0.37,1,3,2,11,C
197,1,7.77,4.77,0.40,1,3,3,7,C,8.11,5.16,0.35,1,3,3,7,C
198,1,6.04,3.59,0.37,1,2,2,7,C,6.37,3.91,0.38,1,2,2,7,C
199,1,6.83,4.16,0.34,1,3,2,11,C,7.04,4.33,0.39,1,3,2,11,C
200,1,8.91,5.19,0.36,1,4,3,13,C,9.37,5.66,0.35,1,4,3,13,C
