Trial Number,Complexity Level,Run-time zooming,Planning Time - zooming,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Run-time non_zooming,Planning Time non_zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
1,1,7.80,4.77,0.38,1,3,3,7,C,8.11,5.14,0.39,1,3,3,7,C
2,1,9.35,5.23,0.39,1,4,3,15,C,9.60,5.51,0.35,1,4,3,15,C
3,1,6.12,3.76,0.33,1,2,2,7,C,6.37,4.00,0.34,1,2,2,7,C
4,1,6.55,4.16,0.36,1,3,2,9,C,6.61,4.25,0.34,1,3,2,9,C
5,1,8.83,5.15,0.38,1,4,3,13,C,9.25,5.49,0.37,1,4,3,13,C
6,1,9.03,5.25,0.37,1,4,3,13,C,9.05,5.33,0.34,1,4,3,13,C
7,1,6.91,4.10,0.38,1,3,2,11,C,6.95,4.22,0.37,1,3,2,11,C
8,1,6.07,3.72,0.35,1,2,2,7,C,6.28,3.92,0.36,1,2,2,7,C
9,1,6.52,4.10,0.36,1,3,2,9,C,6.70,4.36,0.38,1,3,2,9,C
10,1,6.56,4.13,0.38,1,3,2,9,C,6.67,4.30,0.37,1,3,2,9,C
11,1,5.69,3.74,0.33,1,2,2,5,C,5.96,3.94,0.36,1,2,2,5,C
12,1,8.19,4.89,0.34,1,3,3,9,C,8.30,4.99,0.37,1,3,3,9,C
13,1,5.69,3.71,0.34,1,2,2,5,C,5.89,3.87,0.35,1,2,2,5,C
14,1,5.73,3.72,0.34,1,2,2,5,C,5.88,3.86,0.38,1,2,2,5,C
15,1,8.11,4.81,0.35,1,3,3,9,C,8.35,5.02,0.35,1,3,3,9,C
16,1,9.31,5.28,0.38,1,4,3,15,C,9.66,5.58,0.37,1,4,3,15,C
17,1,6.82,4.07,0.36,1,3,2,11,C,7.00,4.26,0.38,1,3,2,11,C
18,1,9.55,5.39,0.43,1,4,3,15,C,9.61,5.43,0.40,1,4,3,15,C
19,1,6.16,3.76,0.35,1,2,2,7,C,6.43,4.06,0.35,1,2,2,7,C
20,1,8.21,4.86,0.35,1,3,3,9,C,8.42,5.11,0.33,1,3,3,9,C
21,1,6.90,4.11,0.37,1,3,2,11,C,6.95,4.22,0.36,1,3,2,11,C
22,1,9.03,5.22,0.38,1,4,3,13,C,9.23,5.51,0.37,1,4,3,13,C
23,1,6.86,4.14,0.37,1,3,2,11,C,7.14,4.40,0.37,1,3,2,11,C
24,1,6.18,3.83,0.32,1,2,2,7,C,6.37,4.00,0.36,1,2,2,7,C
25,1,9.29,5.16,0.42,1,4,3,15,C,9.50,5.45,0.36,1,4,3,15,C
26,1,7.88,4.85,0.36,1,3,3,7,C,8.05,5.06,0.34,1,3,3,7,C
27,1,9.33,5.23,0.38,1,4,3,15,C,9.50,5.48,0.38,1,4,3,15,C
28,1,7.90,4.94,0.37,1,3,3,7,C,8.08,5.11,0.33,1,3,3,7,C
29,1,8.85,5.11,0.38,1,4,3,13,C,9.31,5.58,0.36,1,4,3,13,C
30,1,6.87,4.14,0.37,1,3,2,11,C,6.94,4.25,0.36,1,3,2,11,C
31,1,8.12,4.83,0.34,1,3,3,9,C,8.34,4.99,0.36,1,3,3,9,C
32,1,9.07,5.30,0.39,1,4,3,13,C,9.18,5.53,0.35,1,4,3,13,C
33,1,8.95,5.21,0.37,1,4,3,13,C,9.11,5.41,0.36,1,4,3,13,C
34,1,6.43,4.12,0.35,1,3,2,9,C,6.80,4.42,0.36,1,3,2,9,C
35,1,6.13,3.75,0.37,1,2,2,7,C,6.32,3.93,0.35,1,2,2,7,C
36,1,9.48,5.31,0.40,1,4,3,15,C,9.58,5.50,0.41,1,4,3,15,C
37,1,9.34,5.18,0.38,1,4,3,15,C,9.54,5.37,0.37,1,4,3,15,C
38,1,9.36,5.18,0.39,1,4,3,15,C,9.38,5.32,0.40,1,4,3,15,C
39,1,9.36,5.29,0.40,1,4,3,15,C,9.51,5.47,0.38,1,4,3,15,C
40,1,9.08,5.29,0.42,1,4,3,13,C,9.25,5.45,0.38,1,4,3,13,C
41,1,7.76,4.75,0.38,1,3,3,7,C,7.88,4.92,0.34,1,3,3,7,C
42,1,8.99,5.29,0.36,1,4,3,13,C,9.20,5.48,0.35,1,4,3,13,C
43,1,8.93,5.12,0.41,1,4,3,13,C,9.24,5.46,0.35,1,4,3,13,C
44,1,9.53,5.36,0.41,1,4,3,15,C,9.62,5.45,0.40,1,4,3,15,C
45,1,6.54,4.16,0.36,1,3,2,9,C,6.69,4.36,0.35,1,3,2,9,C
46,1,5.76,3.75,0.34,1,2,2,5,C,5.93,3.95,0.36,1,2,2,5,C
47,1,8.15,4.80,0.37,1,3,3,9,C,8.41,5.07,0.37,1,3,3,9,C
48,1,9.28,5.15,0.39,1,4,3,15,C,9.52,5.39,0.42,1,4,3,15,C
49,1,6.30,3.95,0.34,1,3,2,9,C,6.72,4.31,0.37,1,3,2,9,C
50,1,6.06,3.68,0.32,1,2,2,7,C,6.18,3.82,0.36,1,2,2,7,C
51,1,9.02,5.21,0.39,1,4,3,13,C,9.19,5.49,0.36,1,4,3,13,C
52,1,6.51,4.04,0.37,1,3,2,9,C,6.54,4.16,0.39,1,3,2,9,C
53,1,5.64,3.63,0.33,1,2,2,5,C,5.94,3.94,0.34,1,2,2,5,C
54,1,9.01,5.30,0.39,1,4,3,13,C,9.35,5.58,0.37,1,4,3,13,C
55,1,7.88,4.85,0.35,1,3,3,7,C,8.01,5.05,0.32,1,3,3,7,C
56,1,5.68,3.71,0.33,1,2,2,5,C,5.77,3.75,0.34,1,2,2,5,C
57,1,9.47,5.37,0.39,1,4,3,15,C,9.59,5.52,0.35,1,4,3,15,C
58,1,8.90,5.15,0.37,1,4,3,13,C,9.15,5.45,0.36,1,4,3,13,C
59,1,5.77,3.77,0.35,1,2,2,5,C,5.89,3.85,0.37,1,2,2,5,C
60,1,6.93,4.09,0.34,1,3,2,11,C,6.95,4.30,0.34,1,3,2,11,C
61,1,7.79,4.80,0.37,1,3,3,7,C,7.99,5.02,0.36,1,3,3,7,C
62,1,5.74,3.77,0.33,1,2,2,5,C,5.92,3.92,0.35,1,2,2,5,C
63,1,9.09,5.32,0.40,1,4,3,13,C,9.34,5.55,0.37,1,4,3,13,C
64,1,5.77,3.77,0.33,1,2,2,5,C,6.04,3.97,0.34,1,2,2,5,C
65,1,7.84,4.94,0.35,1,3,3,7,C,7.92,5.05,0.34,1,3,3,7,C
