Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,[Planing-Time/Num Refined Plans]-zooming,[Planing-Time/Num Refined Plans]- non _zooming
190,2,10.01,13.85,1.38,9.18,13.12,1.43,1,1,1,3,3,1,4,4,1,15,15,1,C,C,2.295,3.28
191,2,11.65,16.64,1.43,9.95,14.96,1.5,1,1,1,3,3,1,5,5,1,19,19,1,C,C,1.99,2.992
192,2,13.58,17.88,1.32,12.2,16.67,1.37,1,1,1,4,4,1,5,5,1,19,19,1,C,C,2.44,3.334
193,2,9.06,12.49,1.38,8.97,12.6,1.4,1,1,1,3,3,1,3,3,1,11,11,1,C,C,2.99,4.2
194,2,14.24,18.46,1.3,12.53,16.77,1.34,1,1,1,4,4,1,5,5,1,21,21,1,C,C,2.506,3.354
195,2,6.8,9.06,1.33,6.8,9.13,1.34,1,1,1,2,2,1,2,2,1,9,9,1,C,C,3.4,4.565
196,2,8.16,10.96,1.34,8.95,11.77,1.32,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.9833333333,3.9233333333
197,2,13.58,18.48,1.36,12.29,17.19,1.4,1,1,1,4,4,1,5,5,1,19,19,1,C,C,2.458,3.438
198,2,11.44,15.03,1.31,9.84,13.36,1.36,1,1,1,3,3,1,5,5,1,19,19,1,C,C,1.968,2.672
199,2,14.17,18.42,1.3,12.53,16.77,1.34,1,1,1,4,4,1,5,5,1,21,21,1,C,C,2.506,3.354
200,2,13.19,16.72,1.27,12.42,15.85,1.28,1,1,1,4,4,1,5,5,1,17,17,1,C,C,2.484,3.17
