Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,[Planning-time/num refined plans] – zooming,[Planning-time/num refined plans] – non zooming
148,1,7.83,8.05,1.03,8.54,8.83,1.03,1,1,1,3,3,1,3,3,1,9,9,1,C,C,2.8466666667,2.9433333333
149,1,9.05,9.09,1,9.02,9.08,1.01,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.255,2.27
150,1,8.61,8.74,1.01,8.93,9.11,1.02,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.2325,2.2775
151,1,5.54,5.66,1.02,6.56,6.69,1.02,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.28,3.345
152,1,6.2,6.42,1.04,6.87,7.15,1.04,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.29,2.3833333333
153,1,7.37,7.66,1.04,8.34,8.7,1.04,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.78,2.9
154,1,5.97,6.05,1.01,6.61,6.8,1.03,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.305,3.4
155,1,6.15,6.31,1.03,6.81,6.93,1.02,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.27,2.31
156,1,6.09,6.37,1.05,6.7,6.98,1.04,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.2333333333,2.3266666667
157,1,7.47,7.67,1.03,8.47,8.68,1.02,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.8233333333,2.8933333333
158,1,5.43,5.52,1.02,6.41,6.51,1.01,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.205,3.255
159,1,6.29,6.39,1.02,7.03,7.09,1.01,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.3433333333,2.3633333333
160,1,5.58,5.6,1,6.57,6.6,1,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.285,3.3
161,1,6.52,6.63,1.02,6.93,6.95,1,1,1,1,2,2,1,3,3,1,9,9,1,C,C,2.31,2.3166666667
162,1,8.88,9.14,1.03,8.94,9.13,1.02,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.235,2.2825
163,1,5.91,6.01,1.02,6.55,6.59,1.01,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.275,3.295
