Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,,
188,4,17.42,17.93,1.03,12.56,19.01,1.51,1,1,1,3,0,0,3,1,0.33,17,0,0,C,A,4.1866666667,19.01
189,4,28.28,35.72,1.26,19.06,36.85,1.93,1,1,1,4,0,0,8,1,0.12,27,0,0,C,A,2.3825,36.85
190,4,46.21,99.26,2.15,28.21,100.35,3.56,1,1,1,6,0,0,9,1,0.11,49,0,0,C,A,3.1344444444,100.35
191,4,12.81,19.9,1.55,10.53,20.99,1.99,1,1,1,3,0,0,3,1,0.33,11,0,0,C,A,3.51,20.99
192,4,38.29,21.27,0.56,23.54,22.4,0.95,1,1,1,6,0,0,6,1,0.17,41,0,0,C,A,3.9233333333,22.4
193,4,38.4,31.99,0.83,23.19,33.11,1.43,1,1,1,5,0,0,8,1,0.12,41,0,0,C,A,2.89875,33.11
194,4,41.84,20.98,0.5,24.49,22.1,0.9,1,1,1,5,0,0,9,1,0.11,47,0,0,C,A,2.7211111111,22.1
195,4,18.23,49.7,2.73,12.49,50.79,4.07,1,1,1,3,0,0,3,1,0.33,19,0,0,C,A,4.1633333333,50.79
196,4,52.68,22.02,0.42,30.42,23.15,0.76,1,1,1,7,0,0,9,1,0.11,59,0,0,C,A,3.38,23.15
197,4,39.71,91.76,2.31,25.01,92.86,3.71,1,1,1,6,0,0,7,1,0.14,41,0,0,C,A,3.5728571429,92.86
198,4,39.06,40.55,1.04,23,41.72,1.81,1,1,1,5,0,0,7,1,0.14,43,0,0,C,A,3.2857142857,41.72
199,4,10.74,67.25,6.26,10.43,68.31,6.55,1,1,1,3,0,0,3,1,0.33,7,0,0,C,A,3.4766666667,68.31
200,4,56.57,36.81,0.65,32.72,37.95,1.16,1,1,1,7,0,0,10,1,0.1,61,0,0,C,A,3.272,37.95
