Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,,
36,3,15.24,43.67,2.86,11.99,42.58,3.55,1,1,1,3,1,0.33,6,5,0.83,19,9,0.47,C,A,1.9983333333,8.516
37,3,11,51.59,4.69,10.22,51.67,5.06,1,1,1,3,2,0.67,4,4,1,11,7,0.64,C,A,2.555,12.9175
38,3,34.11,83.56,2.45,24.43,78.66,3.22,1,1,1,7,4,0.57,8,6,0.75,47,27,0.57,C,A,3.05375,13.11
39,3,19.19,137.2,7.15,14.59,136.18,9.33,1,1,1,4,2,0.5,6,5,0.83,25,11,0.44,C,A,2.4316666667,27.236
40,3,35.1,109.01,3.11,25.09,104.05,4.15,1,1,1,7,4,0.57,9,7,0.78,49,27,0.55,C,A,2.7877777778,14.8642857143
41,3,12.09,36.57,3.02,10.02,35.48,3.54,1,1,1,3,2,0.67,4,4,1,15,11,0.73,C,A,2.505,8.87
42,3,9.62,24.39,2.53,9.42,24.37,2.59,1,1,1,3,2,0.67,3,3,1,9,7,0.78,C,A,3.14,8.1233333333
43,3,18.86,27.12,1.44,14.96,28.2,1.88,1,1,1,4,0,0,5,2,0.4,23,0,0,C,A,2.992,14.1
44,3,19.06,64.99,3.41,14.57,63.19,4.34,1,1,1,4,2,0.5,5,4,0.8,25,13,0.52,C,A,2.914,15.7975
45,3,8.29,71.38,8.61,7.57,72.37,9.56,1,1,1,2,0,0,3,2,0.67,9,0,0,C,A,2.5233333333,36.185
46,3,26.78,168.96,6.31,19.42,167.65,8.63,1,1,1,5,2,0.4,8,6,0.75,35,11,0.31,C,A,2.4275,27.9416666667
47,3,33.53,172.41,5.14,24.47,168.07,6.87,1,1,1,7,4,0.57,8,6,0.75,45,25,0.56,C,A,3.05875,28.0116666667
48,3,18.73,114.68,6.12,13.32,115.64,8.68,1,1,1,3,0,0,6,2,0.33,27,0,0,C,A,2.22,57.82
49,3,22.26,12.26,0.55,16.06,13.29,0.83,1,1,1,3,0,0,6,2,0.33,29,0,0,C,A,2.6766666667,6.645
50,3,11.47,31.56,2.75,10.08,30.44,3.02,1,1,1,3,2,0.67,3,3,1,13,11,0.85,C,A,3.36,10.1466666667
51,3,20.02,131.77,6.58,14.81,130.67,8.82,1,1,1,4,2,0.5,4,3,0.75,27,11,0.41,C,A,3.7025,43.5566666667
52,3,19,81.22,4.27,14.52,77.43,5.33,1,1,1,4,3,0.75,6,6,1,25,21,0.84,C,A,2.42,12.905
53,3,15.9,149,9.37,13.12,146.58,11.17,1,1,1,4,3,0.75,4,4,1,19,17,0.89,C,A,3.28,36.645
54,3,13.62,82.27,6.04,10.61,80.27,7.57,1,1,1,3,2,0.67,5,5,1,19,13,0.68,C,A,2.122,16.054
55,3,13.32,33.57,2.52,13.35,33.87,2.54,1,1,1,3,2,0.67,4,4,1,11,7,0.64,C,A,3.3375,8.4675
56,3,17.81,54.54,3.06,13.95,53.53,3.84,1,1,1,4,2,0.5,5,4,0.8,23,11,0.48,C,A,2.79,13.3825
57,3,17.08,156.93,9.19,13.93,156.52,11.23,1,1,1,4,2,0.5,5,4,0.8,21,9,0.43,C,A,2.786,39.13
58,3,22.53,151.34,6.72,17.38,148.2,8.52,1,1,1,5,3,0.6,5,4,0.8,29,19,0.66,C,A,3.476,37.05
59,3,27.41,56.52,2.06,20.66,53.44,2.59,1,1,1,6,3,0.5,6,4,0.67,37,19,0.51,C,A,3.4433333333,13.36
60,3,28.99,93.3,3.22,20.27,88.59,4.37,1,1,1,5,3,0.6,8,7,0.88,41,25,0.61,C,A,2.53375,12.6557142857
61,3,18.2,61.83,3.4,14.45,60.8,4.21,1,1,1,4,2,0.5,6,5,0.83,23,11,0.48,C,A,2.4083333333,12.16
62,3,18.03,169.91,9.42,14.21,167.57,11.79,1,1,1,4,3,0.75,6,6,1,23,17,0.74,C,A,2.3683333333,27.9283333333
63,3,14.14,51.81,3.66,11.18,49.57,4.43,1,1,1,3,2,0.67,5,5,1,19,15,0.79,C,A,2.236,9.914
64,3,13.2,14.58,1.1,10.74,15.57,1.45,1,1,1,3,0,0,4,2,0.5,17,0,0,C,A,2.685,7.785
65,3,25.8,99.93,3.87,19.15,96.97,5.06,1,1,1,5,3,0.6,8,7,0.88,35,19,0.54,C,A,2.39375,13.8528571429
66,3,19.05,47.83,2.51,14.26,46.18,3.24,1,1,1,4,2,0.5,6,5,0.83,25,13,0.52,C,A,2.3766666667,9.236
67,3,33.71,190.08,5.64,24.29,185.21,7.62,1,1,1,7,4,0.57,8,6,0.75,47,27,0.57,C,A,3.03625,30.8683333333
68,3,23.49,151.94,6.47,16.39,148.86,9.08,1,1,1,4,2,0.5,7,6,0.86,33,17,0.52,C,A,2.3414285714,24.81
69,3,21.88,13.22,0.6,15.88,14.2,0.89,1,1,1,3,0,0,6,2,0.33,29,0,0,C,A,2.6466666667,7.1
70,3,13.98,63.4,4.54,10.63,61.78,5.81,1,1,1,3,2,0.67,4,4,1,19,13,0.68,C,A,2.6575,15.445
71,3,26.53,112.02,4.22,19.26,108.42,5.63,1,1,1,5,3,0.6,8,7,0.88,37,21,0.57,C,A,2.4075,15.4885714286
72,3,33.65,95.06,2.83,23.36,90.61,3.88,1,1,1,6,3,0.5,9,7,0.78,49,25,0.51,C,A,2.5955555556,12.9442857143
73,3,24.12,70.28,2.91,18.05,66.89,3.71,1,1,1,5,3,0.6,6,5,0.83,33,21,0.64,C,A,3.0083333333,13.378
74,3,14.78,114.72,7.76,13.19,115.38,8.75,1,1,1,4,2,0.5,4,3,0.75,15,5,0.33,C,A,3.2975,38.46
75,3,11.36,32.66,2.88,9.97,33.45,3.36,1,1,1,3,1,0.33,3,2,0.67,13,3,0.23,C,A,3.3233333333,16.725
76,3,22.48,55.52,2.47,17.43,52.76,3.03,1,1,1,5,3,0.6,5,4,0.8,29,19,0.66,C,A,3.486,13.19
77,3,14.86,124.52,8.38,11.23,122.29,10.89,1,1,1,3,2,0.67,5,5,1,21,15,0.71,C,A,2.246,24.458
78,3,20.79,131.26,6.31,15.95,130.36,8.17,1,1,1,4,1,0.25,7,5,0.71,27,9,0.33,C,A,2.2785714286,26.072
79,3,24.78,91.68,3.7,17.6,86.17,4.9,1,1,1,5,4,0.8,7,7,1,35,29,0.83,C,A,2.5142857143,12.31
80,3,29.58,71.62,2.42,21.47,68.71,3.2,1,1,1,6,3,0.5,8,6,0.75,41,19,0.46,C,A,2.68375,11.4516666667
81,3,20.98,62.26,2.97,16.04,59.64,3.72,1,1,1,4,2,0.5,7,6,0.86,27,17,0.63,C,A,2.2914285714,9.94
82,3,23.47,41.15,1.75,17.63,40.53,2.3,1,1,1,5,2,0.4,7,5,0.71,31,9,0.29,C,A,2.5185714286,8.106
83,3,21.88,63.8,2.92,15.68,61.5,3.92,1,1,1,4,2,0.5,7,6,0.86,31,15,0.48,C,A,2.24,10.25
84,3,14.27,34.67,2.43,11.32,34.31,3.03,1,1,1,3,1,0.33,5,4,0.8,19,7,0.37,C,A,2.264,8.5775
85,3,22.52,35.98,1.6,17.15,34.95,2.04,1,1,1,5,2,0.4,5,3,0.6,29,11,0.38,C,A,3.43,11.65
86,3,31.28,77.73,2.48,21.97,73.73,3.36,1,1,1,6,3,0.5,8,6,0.75,45,23,0.51,C,A,2.74625,12.2883333333
87,3,13.67,11.48,0.84,11.16,12.44,1.11,1,1,1,3,0,0,5,2,0.4,17,0,0,C,A,2.232,6.22
88,3,18.82,65.31,3.47,14.46,62.31,4.31,1,1,1,4,3,0.75,6,6,1,25,19,0.76,C,A,2.41,10.385
89,3,18.7,83.54,4.47,14.48,79.92,5.52,1,1,1,4,3,0.75,5,5,1,25,21,0.84,C,A,2.896,15.984
90,3,21.31,85.68,4.02,16.08,84.67,5.27,1,1,1,4,2,0.5,7,6,0.86,27,11,0.41,C,A,2.2971428571,14.1116666667
91,3,17.43,46.46,2.67,12.48,45.6,3.65,1,1,1,3,1,0.33,6,5,0.83,25,9,0.36,C,A,2.08,9.12
92,3,34.15,200.01,5.86,23.71,193.49,8.16,1,1,1,6,4,0.67,9,8,0.89,49,33,0.67,C,A,2.6344444444,24.18625
93,3,24.26,142.54,5.88,18.02,140.85,7.82,1,1,1,5,2,0.4,6,4,0.67,33,13,0.39,C,A,3.0033333333,35.2125
94,3,22.44,35.87,1.6,17.33,35.47,2.05,1,1,1,5,2,0.4,6,4,0.67,29,9,0.31,C,A,2.8883333333,8.8675
95,3,12.63,50.04,3.96,9.6,49.01,5.11,1,1,1,2,1,0.5,5,5,1,17,9,0.53,C,A,1.92,9.802
96,3,22.67,145.26,6.41,17.32,142.11,8.2,1,1,1,5,3,0.6,5,4,0.8,29,19,0.66,C,A,3.464,35.5275
97,3,7.9,13.38,1.69,7.29,14.19,1.95,1,1,1,2,1,0.5,2,2,1,9,3,0.33,C,A,3.645,7.095
98,3,12.65,13.61,1.08,10.68,14.59,1.37,1,1,1,3,0,0,4,2,0.5,15,0,0,C,A,2.67,7.295
99,3,10.17,132.19,12.99,8.92,131.3,14.72,1,1,1,2,1,0.5,5,5,1,11,9,0.82,C,A,1.784,26.26
100,3,24.01,99.44,4.14,17.78,94.64,5.32,1,1,1,5,4,0.8,7,7,1,33,27,0.82,C,A,2.54,13.52
101,3,10.86,11.52,1.06,8.56,12.49,1.46,1,1,1,2,0,0,4,2,0.5,15,0,0,C,A,2.14,6.245
102,3,14.78,56.46,3.82,11.84,55.42,4.68,1,1,1,3,1,0.33,6,5,0.83,19,9,0.47,C,A,1.9733333333,11.084
103,3,19.93,73.33,3.68,15.09,69.2,4.59,1,1,1,4,3,0.75,6,6,1,27,23,0.85,C,A,2.515,11.5333333333
104,3,9.16,115.31,12.59,7.89,116.33,14.74,1,1,1,2,0,0,3,2,0.67,11,0,0,C,A,2.63,58.165
105,3,17.06,34.7,2.03,13.68,33.59,2.46,1,1,1,4,2,0.5,4,3,0.75,21,11,0.52,C,A,3.42,11.1966666667
106,3,21.32,128.88,6.04,15.73,125.36,7.97,1,1,1,4,3,0.75,7,7,1,29,21,0.72,C,A,2.2471428571,17.9085714286
107,3,19.63,131.26,6.69,14.52,130.17,8.97,1,1,1,4,2,0.5,4,3,0.75,27,11,0.41,C,A,3.63,43.39
108,3,36.49,102.4,2.81,25.78,97.36,3.78,1,1,1,7,4,0.57,10,8,0.8,51,27,0.53,C,A,2.578,12.17
109,3,17.17,35.95,2.09,13.8,35.53,2.57,1,1,1,4,2,0.5,5,4,0.8,21,9,0.43,C,A,2.76,8.8825
110,3,10.8,102.46,9.49,8.53,103.43,12.13,1,1,1,2,0,0,4,2,0.5,15,0,0,C,A,2.1325,51.715
111,3,15.17,139.2,9.17,11.44,136.99,11.97,1,1,1,3,2,0.67,5,5,1,21,15,0.71,C,A,2.288,27.398
112,3,13.26,75.59,5.7,9.8,76.54,7.81,1,1,1,2,0,0,5,2,0.4,19,0,0,C,A,1.96,38.27
113,3,31.7,78.58,2.48,22.72,75.81,3.34,1,1,1,6,3,0.5,9,7,0.78,43,19,0.44,C,A,2.5244444444,10.83
114,3,19.91,85.13,4.28,15.01,80.92,5.39,1,1,1,4,3,0.75,6,6,1,27,23,0.85,C,A,2.5016666667,13.4866666667
115,3,33.65,102.11,3.03,23.77,97.3,4.09,1,1,1,7,4,0.57,8,6,0.75,47,27,0.57,C,A,2.97125,16.2166666667
116,3,19.89,124.51,6.26,16.61,123.28,7.42,1,1,1,5,3,0.6,5,4,0.8,23,13,0.57,C,A,3.322,30.82
117,3,20.49,29.07,1.42,16.61,29.06,1.75,1,1,1,5,2,0.4,5,3,0.6,25,7,0.28,C,A,3.322,9.6866666667
118,3,22.7,60.32,2.66,16.94,57.43,3.39,1,1,1,5,3,0.6,6,5,0.83,31,19,0.61,C,A,2.8233333333,11.486
119,3,24.29,42.8,1.76,18,41.76,2.32,1,1,1,5,2,0.4,7,5,0.71,33,11,0.33,C,A,2.5714285714,8.352
120,3,13.34,84,6.3,11.29,82.24,7.28,1,1,1,3,2,0.67,6,6,1,15,13,0.87,C,A,1.8816666667,13.7066666667
121,3,32.21,106.42,3.3,22.44,100.49,4.48,1,1,1,6,4,0.67,9,8,0.89,47,31,0.66,C,A,2.4933333333,12.56125
122,3,8.09,21.45,2.65,7.63,21.75,2.85,1,1,1,2,1,0.5,3,3,1,9,5,0.56,C,A,2.5433333333,7.25
123,3,14.38,45.32,3.15,13,43.89,3.38,1,1,1,4,3,0.75,4,4,1,15,13,0.87,C,A,3.25,10.9725
124,3,8.82,30.14,3.42,9.04,30.79,3.41,1,1,1,3,2,0.67,3,3,1,7,5,0.71,C,A,3.0133333333,10.2633333333
125,3,17.53,146.83,8.38,14.4,146.32,10.16,1,1,1,4,2,0.5,6,5,0.83,21,9,0.43,C,A,2.4,29.264
126,3,30.08,712.93,23.7,21.15,707.49,33.45,1,1,1,6,4,0.67,8,7,0.88,43,29,0.67,C,A,2.64375,101.07
127,3,25.11,66.33,2.64,20,63.22,3.16,1,1,1,6,4,0.67,6,5,0.83,31,21,0.68,C,A,3.3333333333,12.644
128,3,14.93,58.31,3.9,13.56,58.98,4.35,1,1,1,4,2,0.5,4,3,0.75,15,5,0.33,C,A,3.39,19.66
129,3,18.9,66.8,3.53,14.44,63.02,4.37,1,1,1,4,3,0.75,6,6,1,25,21,0.84,C,A,2.4066666667,10.5033333333
130,3,8.71,106.89,12.27,7.59,107.86,14.2,1,1,1,2,0,0,3,2,0.67,11,0,0,C,A,2.53,53.93
131,3,26.18,105.41,4.03,19.23,100.42,5.22,1,1,1,5,4,0.8,8,8,1,35,27,0.77,C,A,2.40375,12.5525
132,3,23.83,65.64,2.76,17.74,62.58,3.53,1,1,1,5,3,0.6,7,6,0.86,33,19,0.58,C,A,2.5342857143,10.43
133,3,11.86,51,4.3,9.96,50.45,5.06,1,1,1,3,2,0.67,4,4,1,15,9,0.6,C,A,2.49,12.6125
134,3,13.15,101.18,7.69,10.69,101.4,9.49,1,1,1,3,1,0.33,4,3,0.75,17,5,0.29,C,A,2.6725,33.8
135,3,21.01,93.55,4.45,16.53,90.88,5.5,1,1,1,5,3,0.6,5,4,0.8,27,17,0.63,C,A,3.306,22.72
136,3,23.26,85.7,3.68,17.37,80.77,4.65,1,1,1,5,4,0.8,6,6,1,31,27,0.87,C,A,2.895,13.4616666667
137,3,9.37,25.24,2.69,9.19,25.22,2.74,1,1,1,3,2,0.67,3,3,1,9,7,0.78,C,A,3.0633333333,8.4066666667
138,3,15.33,108.73,7.09,12.99,108.81,8.38,1,1,1,4,2,0.5,4,3,0.75,17,7,0.41,C,A,3.2475,36.27
139,3,35.1,98.18,2.8,24.57,92.66,3.77,1,1,1,7,4,0.57,9,7,0.78,51,29,0.57,C,A,2.73,13.2371428571
140,3,15.1,161.49,10.7,13.14,159.43,12.13,1,1,1,4,3,0.75,4,4,1,17,15,0.88,C,A,3.285,39.8575
141,3,11.3,32.56,2.88,9.95,31.39,3.16,1,1,1,3,2,0.67,3,3,1,13,11,0.85,C,A,3.3166666667,10.4633333333
142,3,19.66,44.88,2.28,14.54,45.04,3.1,1,1,1,4,1,0.25,5,3,0.6,27,5,0.19,C,A,2.908,15.0133333333
143,3,13.59,114.76,8.44,10.65,113.41,10.65,1,1,1,3,2,0.67,3,3,1,19,11,0.58,C,A,3.55,37.8033333333
144,3,21,89.15,4.24,15.45,84.97,5.5,1,1,1,4,3,0.75,6,6,1,29,23,0.79,C,A,2.575,14.1616666667
145,3,12.64,133.12,10.53,10.66,132.48,12.43,1,1,1,3,2,0.67,5,5,1,15,9,0.6,C,A,2.132,26.496
146,3,8.28,81.94,9.89,7.65,82.21,10.75,1,1,1,2,1,0.5,3,3,1,9,5,0.56,C,A,2.55,27.4033333333
147,3,21.17,147.47,6.97,15.54,145.72,9.38,1,1,1,4,2,0.5,7,6,0.86,29,13,0.45,C,A,2.22,24.2866666667
148,3,24.17,83.37,3.45,18.08,79.56,4.4,1,1,1,5,3,0.6,6,5,0.83,33,21,0.64,C,A,3.0133333333,15.912
149,3,32.44,94.63,2.92,24.04,91.01,3.79,1,1,1,7,4,0.57,8,6,0.75,43,23,0.53,C,A,3.005,15.1683333333
150,3,21.83,16.53,0.76,15.82,17.48,1.11,1,1,1,3,0,0,6,2,0.33,29,0,0,C,A,2.6366666667,8.74
151,3,13.14,44.45,3.38,10.55,42.63,4.04,1,1,1,3,2,0.67,5,5,1,17,13,0.76,C,A,2.11,8.526
152,3,20.47,50.92,2.49,15.39,48.53,3.15,1,1,1,4,2,0.5,6,5,0.83,27,15,0.56,C,A,2.565,9.706
153,3,19.19,69.2,3.61,14.28,66.06,4.63,1,1,1,4,3,0.75,4,4,1,27,19,0.7,C,A,3.57,16.515
154,3,16.26,80.2,4.93,12.05,78.04,6.48,1,1,1,3,2,0.67,6,6,1,23,15,0.65,C,A,2.0083333333,13.0066666667
155,3,13.67,545.69,39.93,11.27,543.36,48.22,1,1,1,3,2,0.67,6,6,1,17,15,0.88,C,A,1.8783333333,90.56
156,3,23.9,40.33,1.69,17.99,39.88,2.22,1,1,1,5,2,0.4,7,5,0.71,31,9,0.29,C,A,2.57,7.976
157,3,17.1,104.26,6.1,13.82,101.83,7.37,1,1,1,4,3,0.75,5,5,1,21,17,0.81,C,A,2.764,20.366
158,3,14.83,41.99,2.83,11.86,41.05,3.46,1,1,1,3,1,0.33,6,5,0.83,19,9,0.47,C,A,1.9766666667,8.21
159,3,11.97,36.07,3.01,10.06,34.99,3.48,1,1,1,3,2,0.67,4,4,1,15,11,0.73,C,A,2.515,8.7475
160,3,23.89,65.19,2.73,17.71,61.72,3.48,1,1,1,5,3,0.6,6,5,0.83,33,21,0.64,C,A,2.9516666667,12.344
161,3,21.32,81.93,3.84,15.39,79.62,5.18,1,1,1,4,2,0.5,7,6,0.86,31,15,0.48,C,A,2.1985714286,13.27
162,3,18.91,68.28,3.61,14.51,64.49,4.44,1,1,1,4,3,0.75,5,5,1,25,21,0.84,C,A,2.902,12.898
163,3,12.5,46.57,3.73,10.57,45.21,4.28,1,1,1,3,2,0.67,5,5,1,15,11,0.73,C,A,2.114,9.042
164,3,37.23,125.96,3.38,25.79,120.06,4.66,1,1,1,7,4,0.57,10,8,0.8,55,31,0.56,C,A,2.579,15.0075
165,3,21,193.9,9.23,16.05,191.03,11.9,1,1,1,4,2,0.5,7,6,0.86,27,17,0.63,C,A,2.2928571429,31.8383333333
166,3,18.31,57.89,3.16,14.46,57.41,3.97,1,1,1,4,2,0.5,6,5,0.83,23,9,0.39,C,A,2.41,11.482
167,3,18.71,153.37,8.2,14.44,151.72,10.51,1,1,1,4,2,0.5,6,5,0.83,25,13,0.52,C,A,2.4066666667,30.344
168,3,25.67,97.01,3.78,18.87,93.8,4.97,1,1,1,5,3,0.6,8,7,0.88,35,19,0.54,C,A,2.35875,13.4
169,3,21.69,84.97,3.92,15.67,80.52,5.14,1,1,1,4,3,0.75,7,7,1,31,23,0.74,C,A,2.2385714286,11.5028571429
170,3,18.08,57.79,3.2,14.28,57.17,4,1,1,1,4,2,0.5,6,5,0.83,23,9,0.39,C,A,2.38,11.434
171,3,20.67,30.23,1.46,15.1,31.23,2.07,1,1,1,4,0,0,5,2,0.4,29,0,0,C,A,3.02,15.615
172,3,14.6,52.21,3.58,13.11,52.89,4.03,1,1,1,4,2,0.5,4,3,0.75,15,5,0.33,C,A,3.2775,17.63
173,3,31.04,98.98,3.19,22.41,95.95,4.28,1,1,1,6,3,0.5,9,7,0.78,43,19,0.44,C,A,2.49,13.7071428571
174,3,34.82,183.52,5.27,24.8,178.68,7.2,1,1,1,7,4,0.57,9,7,0.78,49,27,0.55,C,A,2.7555555556,25.5257142857
175,3,12.46,38.86,3.12,10.65,38.28,3.59,1,1,1,3,2,0.67,5,5,1,15,9,0.6,C,A,2.13,7.656
176,3,14.4,41.8,2.9,12.76,40.47,3.17,1,1,1,4,3,0.75,4,4,1,15,13,0.87,C,A,3.19,10.1175
177,3,12.95,61.64,4.76,10.38,60.04,5.79,1,1,1,3,2,0.67,5,5,1,17,13,0.76,C,A,2.076,12.008
178,3,37.68,202.62,5.38,25.95,196.74,7.58,1,1,1,7,4,0.57,10,8,0.8,55,31,0.56,C,A,2.595,24.5925
179,3,20.88,26.9,1.29,16.43,26.37,1.6,1,1,1,5,2,0.4,5,3,0.6,27,9,0.33,C,A,3.286,8.79
180,3,14.64,50.89,3.48,11.21,48.61,4.34,1,1,1,3,2,0.67,5,5,1,21,15,0.71,C,A,2.242,9.722
181,3,28.03,117.21,4.18,19.62,112.43,5.73,1,1,1,5,3,0.6,8,7,0.88,41,25,0.61,C,A,2.4525,16.0614285714
182,3,15.36,24.27,1.58,13.15,24.28,1.85,1,1,1,4,2,0.5,4,3,0.75,17,7,0.41,C,A,3.2875,8.0933333333
183,3,12.45,55.63,4.47,9.83,55.17,5.61,1,1,1,3,2,0.67,3,3,1,17,9,0.53,C,A,3.2766666667,18.39
184,3,10.74,114.6,10.67,8.47,115.56,13.65,1,1,1,2,0,0,4,2,0.5,15,0,0,C,A,2.1175,57.78
185,3,13.85,94.48,6.82,10.65,95.45,8.96,1,1,1,3,0,0,4,2,0.5,19,0,0,C,A,2.6625,47.725
186,3,16.79,118.41,7.05,13.79,117.77,8.54,1,1,1,4,2,0.5,5,4,0.8,21,9,0.43,C,A,2.758,29.4425
187,3,22.09,83.23,3.77,16.43,79.74,4.85,1,1,1,4,3,0.75,7,7,1,29,21,0.72,C,A,2.3471428571,11.3914285714
188,3,26.65,184.15,6.91,19.21,178.47,9.29,1,1,1,5,4,0.8,8,8,1,37,29,0.78,C,A,2.40125,22.30875
189,3,32.67,80.79,2.47,23.93,76.45,3.19,1,1,1,7,4,0.57,8,6,0.75,45,25,0.56,C,A,2.99125,12.7416666667
