Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,,
,,19.3682,93.46355,5.39065,14.86615,91.6653,6.5936,1,1,1,4.075,2.2,0.5197,5.63,4.67,0.833,25.39,13.57,0.52275,,,2.6805786508,21.2078689881
1,3,12.39,64.29,5.19,9.57,63.44,6.63,1,1,1,2,1,0.5,5,5,1,17,9,0.53,C,A,1.914,12.688
2,3,30.95,152.99,4.94,23.25,149.11,6.41,1,1,1,7,4,0.57,7,5,0.71,41,23,0.56,C,A,3.3214285714,29.822
3,3,28.75,81.94,2.85,21.12,79.46,3.76,1,1,1,6,3,0.5,8,6,0.75,39,17,0.44,C,A,2.64,13.2433333333
4,3,8.87,44.17,4.98,8.13,45.12,5.55,1,1,1,2,0,0,4,2,0.5,9,0,0,C,A,2.0325,22.56
5,3,22.8,166.37,7.3,17.15,163.43,9.53,1,1,1,5,3,0.6,6,5,0.83,31,19,0.61,C,A,2.8583333333,32.686
6,3,26.87,86.7,3.23,19.05,82.32,4.32,1,1,1,5,3,0.6,8,7,0.88,39,23,0.59,C,A,2.38125,11.76
7,3,20.73,81.24,3.92,15.9,78.27,4.92,1,1,1,4,2,0.5,7,6,0.86,27,17,0.63,C,A,2.2714285714,13.045
8,3,11.33,158.59,14,9.95,158.08,15.89,1,1,1,3,2,0.67,4,4,1,13,9,0.69,C,A,2.4875,39.52
9,3,16.27,149.98,9.22,13.46,148.22,11.01,1,1,1,4,3,0.75,5,5,1,19,15,0.79,C,A,2.692,29.644
10,3,12.96,128.14,9.89,10.3,127.03,12.33,1,1,1,3,2,0.67,5,5,1,17,11,0.65,C,A,2.06,25.406
11,3,20.44,44.97,2.2,16.16,45.08,2.79,1,1,1,5,2,0.4,5,3,0.6,25,7,0.28,C,A,3.232,15.0266666667
12,3,29.41,110.19,3.75,21.48,105.5,4.91,1,1,1,6,4,0.67,8,7,0.88,41,27,0.66,C,A,2.685,15.0714285714
13,3,15.06,101.79,6.76,12.87,100.12,7.78,1,1,1,4,3,0.75,4,4,1,17,15,0.88,C,A,3.2175,25.03
14,3,22.38,143.17,6.4,17.3,140.81,8.14,1,1,1,5,3,0.6,6,5,0.83,29,17,0.59,C,A,2.8833333333,28.162
15,3,9.68,34.59,3.57,8.45,34.32,4.06,1,1,1,2,1,0.5,4,4,1,11,7,0.64,C,A,2.1125,8.58
16,3,24.52,69.09,2.82,17.87,65.53,3.67,1,1,1,5,3,0.6,7,6,0.86,35,21,0.6,C,A,2.5528571429,10.9216666667
17,3,7.7,30.58,3.97,7.68,31.56,4.11,1,1,1,2,0,0,3,2,0.67,7,0,0,C,A,2.56,15.78
18,3,12.44,53.43,4.3,9.91,52.31,5.28,1,1,1,3,2,0.67,4,4,1,17,11,0.65,C,A,2.4775,13.0775
19,3,11.78,53.44,4.54,9.91,52.36,5.29,1,1,1,3,2,0.67,4,4,1,15,11,0.73,C,A,2.4775,13.09
20,3,12.57,153.12,12.18,10.65,152.09,14.28,1,1,1,3,2,0.67,5,5,1,15,11,0.73,C,A,2.13,30.418
21,3,20.97,65.46,3.12,16.1,62.74,3.9,1,1,1,4,2,0.5,7,6,0.86,27,17,0.63,C,A,2.3,10.4566666667
22,3,31.55,185.98,5.9,23.51,182.37,7.76,1,1,1,7,4,0.57,7,5,0.71,41,23,0.56,C,A,3.3585714286,36.474
23,3,15.09,43.09,2.86,11.97,42.13,3.52,1,1,1,3,1,0.33,6,5,0.83,19,9,0.47,C,A,1.995,8.426
24,3,21.1,165.21,7.83,15.8,161.54,10.22,1,1,1,4,3,0.75,7,7,1,29,21,0.72,C,A,2.2571428571,23.0771428571
25,3,10.97,37.87,3.45,10.26,37.98,3.7,1,1,1,3,2,0.67,4,4,1,11,7,0.64,C,A,2.565,9.495
26,3,12.6,131.52,10.44,10.62,130.42,12.28,1,1,1,3,2,0.67,5,5,1,15,11,0.73,C,A,2.124,26.084
27,3,26.46,189.9,7.18,19.12,185.76,9.72,1,1,1,5,3,0.6,8,6,0.75,37,21,0.57,C,A,2.39,30.96
28,3,35.47,166.56,4.7,26.14,164.26,6.28,1,1,1,5,3,0.6,7,6,0.86,31,17,0.55,C,A,3.7342857143,27.3766666667
29,3,14.52,137.36,9.46,11.35,137.02,12.07,1,1,1,3,1,0.33,5,4,0.8,19,7,0.37,C,A,2.27,34.255
30,3,14.21,47.61,3.35,11,45.77,4.16,1,1,1,3,2,0.67,4,4,1,19,13,0.68,C,A,2.75,11.4425
31,3,14.65,23.05,1.57,13.24,23.67,1.79,1,1,1,4,2,0.5,4,3,0.75,15,5,0.33,C,A,3.31,7.89
32,3,17.65,119.3,6.76,13.82,119.31,8.63,1,1,1,4,2,0.5,4,3,0.75,23,7,0.3,C,A,3.455,39.77
33,3,14.69,120.03,8.17,12.96,120.71,9.31,1,1,1,4,2,0.5,4,3,0.75,15,5,0.33,C,A,3.24,40.2366666667
34,3,15.99,26.22,1.64,13.1,25.8,1.97,1,1,1,4,2,0.5,4,3,0.75,19,9,0.47,C,A,3.275,8.6
35,3,19.23,46.74,2.43,14.22,45.1,3.17,1,1,1,4,2,0.5,6,5,0.83,27,13,0.48,C,A,2.37,9.02
