Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,2,13.54,15.84,1.17,11.29,13.78,1.22,1,1,1.00,4,4,1.00,4,4,1.00,11,11,1.00,C,C
2,2,9.93,10.14,1.02,8.39,8.95,1.07,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
3,2,11.64,13.19,1.13,8.84,10.63,1.20,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
4,2,13.39,14.32,1.07,11.65,12.52,1.07,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
5,2,4.70,5.49,1.17,3.86,4.47,1.16,1,1,1.00,1,1,1.00,1,1,1.00,4,4,1.00,C,C
6,2,10.14,11.90,1.17,8.48,10.22,1.20,1,1,1.00,3,3,1.00,3,3,1.00,9,9,1.00,C,C
7,2,9.51,11.12,1.17,7.77,9.44,1.21,1,1,1.00,3,3,1.00,3,3,1.00,9,9,1.00,C,C
8,2,17.76,21.57,1.21,14.13,17.49,1.24,1,1,1.00,5,5,1.00,6,6,1.00,17,17,1.00,C,C
9,2,10.72,12.52,1.17,8.60,10.34,1.20,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
10,2,10.72,12.82,1.20,8.56,10.75,1.26,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
11,2,7.70,9.47,1.23,6.41,8.16,1.27,1,1,1.00,2,2,1.00,3,3,1.00,7,7,1.00,C,C
12,2,7.84,8.97,1.14,6.14,7.23,1.18,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
13,2,12.61,14.02,1.11,10.90,12.42,1.14,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
14,2,13.65,14.77,1.08,11.53,12.72,1.10,1,1,1.00,4,4,1.00,4,4,1.00,11,11,1.00,C,C
15,2,7.87,9.16,1.16,6.42,7.89,1.23,1,1,1.00,2,2,1.00,3,3,1.00,7,7,1.00,C,C
16,2,11.30,12.71,1.13,8.77,10.17,1.16,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
17,2,9.41,10.37,1.10,8.06,9.11,1.13,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
18,2,9.68,10.32,1.07,8.22,9.07,1.10,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
19,2,9.58,10.38,1.08,7.92,8.74,1.10,1,1,1.00,3,3,1.00,3,3,1.00,9,9,1.00,C,C
20,2,9.51,11.25,1.18,8.21,9.86,1.20,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
21,2,7.35,8.39,1.14,6.07,6.99,1.15,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
22,2,11.15,12.75,1.14,8.55,10.33,1.21,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
23,2,17.39,24.98,1.44,14.33,21.85,1.52,1,1,1.00,5,5,1.00,6,6,1.00,15,15,1.00,C,C
24,2,7.68,8.43,1.10,6.34,7.16,1.13,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
25,2,8.56,9.05,1.06,6.85,7.32,1.07,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
26,2,16.56,18.54,1.12,14.26,16.22,1.14,1,1,1.00,5,5,1.00,5,5,1.00,11,11,1.00,C,C
27,2,11.15,12.78,1.15,9.29,11.00,1.18,1,1,1.00,3,3,1.00,4,4,1.00,9,9,1.00,C,C
28,2,10.20,12.20,1.20,8.52,10.52,1.24,1,1,1.00,3,3,1.00,4,4,1.00,9,9,1.00,C,C
29,2,8.16,9.69,1.19,6.38,8.04,1.26,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
30,2,12.90,14.62,1.13,10.84,12.49,1.15,1,1,1.00,4,4,1.00,4,4,1.00,11,11,1.00,C,C
31,2,12.26,14.03,1.14,10.51,12.42,1.18,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
32,2,10.67,11.09,1.04,8.71,9.37,1.08,1,1,1.00,3,3,1.00,3,3,1.00,9,9,1.00,C,C
33,2,14.39,16.97,1.18,11.41,13.99,1.23,1,1,1.00,4,4,1.00,5,5,1.00,15,15,1.00,C,C
34,2,14.14,15.51,1.10,11.53,13.17,1.14,1,1,1.00,4,4,1.00,5,5,1.00,13,13,1.00,C,C
35,2,10.72,12.16,1.13,8.49,10.06,1.18,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
36,2,14.89,16.43,1.10,11.76,13.44,1.14,1,1,1.00,4,4,1.00,5,5,1.00,15,15,1.00,C,C
37,2,9.78,11.82,1.21,8.35,10.35,1.24,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
38,2,7.89,8.39,1.06,6.43,7.10,1.10,1,1,1.00,2,2,1.00,3,3,1.00,7,7,1.00,C,C
39,2,14.51,16.94,1.17,11.78,14.39,1.22,1,1,1.00,4,4,1.00,5,5,1.00,13,13,1.00,C,C
40,2,14.04,16.38,1.17,11.52,13.86,1.20,1,1,1.00,4,4,1.00,5,5,1.00,13,13,1.00,C,C
41,2,4.04,4.41,1.09,3.64,3.99,1.10,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
42,2,9.18,10.10,1.10,7.89,8.89,1.13,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
43,2,13.36,15.15,1.13,11.16,12.97,1.16,1,1,1.00,4,4,1.00,4,4,1.00,11,11,1.00,C,C
44,2,7.89,9.13,1.16,6.20,7.37,1.19,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
45,2,14.24,17.89,1.26,11.57,15.16,1.31,1,1,1.00,4,4,1.00,5,5,1.00,13,13,1.00,C,C
46,2,8.33,9.19,1.10,6.60,7.46,1.13,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
47,2,11.09,12.29,1.11,8.47,9.77,1.15,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
48,2,10.57,12.32,1.17,8.42,10.21,1.21,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
49,2,14.91,20.15,1.35,11.93,16.98,1.42,1,1,1.00,4,4,1.00,5,5,1.00,15,15,1.00,C,C
50,2,14.07,16.88,1.20,11.49,14.25,1.24,1,1,1.00,4,4,1.00,5,5,1.00,13,13,1.00,C,C
51,2,14.22,17.23,1.21,11.27,14.45,1.28,1,1,1.00,4,4,1.00,5,5,1.00,15,15,1.00,C,C
52,2,9.60,10.25,1.07,8.09,9.04,1.12,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
53,2,11.00,12.63,1.15,8.44,10.22,1.21,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
54,2,11.01,13.13,1.19,8.72,10.95,1.26,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
55,2,8.39,9.13,1.09,6.57,7.32,1.11,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
56,2,13.19,17.88,1.36,11.51,16.13,1.40,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
57,2,13.88,15.15,1.09,11.51,13.05,1.13,1,1,1.00,4,4,1.00,4,4,1.00,11,11,1.00,C,C
58,2,12.85,14.75,1.15,11.06,12.94,1.17,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
59,2,15.69,17.88,1.14,13.40,15.59,1.16,1,1,1.00,5,5,1.00,5,5,1.00,11,11,1.00,C,C
60,2,11.11,11.84,1.07,8.84,9.79,1.11,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
61,2,17.64,23.84,1.35,14.49,20.91,1.44,1,1,1.00,5,5,1.00,6,6,1.00,15,15,1.00,C,C
62,2,12.71,14.31,1.13,10.97,12.56,1.14,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
63,2,9.41,10.99,1.17,8.13,9.77,1.20,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
64,2,17.73,23.31,1.31,14.35,19.90,1.39,1,1,1.00,5,5,1.00,6,6,1.00,17,17,1.00,C,C
65,2,10.76,13.10,1.22,8.63,10.95,1.27,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
66,2,11.25,12.54,1.11,8.94,10.28,1.15,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
67,2,9.95,12.00,1.21,8.31,10.36,1.25,1,1,1.00,3,3,1.00,4,4,1.00,9,9,1.00,C,C
68,2,7.38,8.74,1.18,6.02,7.41,1.23,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
69,2,8.55,9.65,1.13,6.85,7.92,1.16,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
70,2,9.25,10.15,1.10,8.02,8.85,1.10,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
71,2,10.64,11.38,1.07,8.49,9.37,1.10,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
72,2,9.45,11.79,1.25,8.11,10.32,1.27,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
73,2,14.04,16.78,1.19,11.17,14.15,1.27,1,1,1.00,4,4,1.00,5,5,1.00,13,13,1.00,C,C
74,2,10.71,12.22,1.14,8.53,10.24,1.20,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
75,2,9.74,11.05,1.13,8.03,9.33,1.16,1,1,1.00,3,3,1.00,3,3,1.00,9,9,1.00,C,C
76,2,9.74,11.56,1.19,7.86,9.89,1.26,1,1,1.00,3,3,1.00,3,3,1.00,9,9,1.00,C,C
77,2,10.68,12.20,1.14,8.46,10.13,1.20,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
78,2,6.90,7.62,1.10,5.66,6.36,1.12,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
79,2,7.91,9.56,1.21,6.23,7.92,1.27,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
80,2,9.58,10.30,1.08,7.88,8.66,1.10,1,1,1.00,3,3,1.00,3,3,1.00,9,9,1.00,C,C
81,2,15.30,16.88,1.10,13.15,14.72,1.12,1,1,1.00,5,5,1.00,5,5,1.00,11,11,1.00,C,C
82,2,11.24,13.68,1.22,8.62,11.01,1.28,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
83,2,7.13,7.53,1.06,5.91,6.30,1.06,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
84,2,10.76,12.27,1.14,8.44,10.03,1.19,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
85,2,14.56,19.43,1.33,11.63,16.56,1.42,1,1,1.00,4,4,1.00,5,5,1.00,15,15,1.00,C,C
86,2,13.01,14.25,1.10,11.29,12.51,1.11,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
87,2,7.31,7.54,1.03,5.99,6.31,1.05,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
88,2,4.60,4.94,1.07,3.77,4.15,1.10,1,1,1.00,1,1,1.00,1,1,1.00,4,4,1.00,C,C
89,2,10.36,15.27,1.47,8.58,13.47,1.57,1,1,1.00,3,3,1.00,4,4,1.00,9,9,1.00,C,C
90,2,16.28,17.82,1.09,13.71,15.19,1.11,1,1,1.00,5,5,1.00,5,5,1.00,13,13,1.00,C,C
91,2,12.36,18.44,1.49,10.64,16.69,1.57,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
92,2,17.00,18.51,1.09,14.08,15.57,1.11,1,1,1.00,5,5,1.00,6,6,1.00,15,15,1.00,C,C
93,2,6.56,7.47,1.14,5.71,6.68,1.17,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
94,2,12.78,15.66,1.23,11.04,13.74,1.25,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
95,2,8.04,9.76,1.21,6.67,8.31,1.25,1,1,1.00,2,2,1.00,3,3,1.00,7,7,1.00,C,C
96,2,11.21,12.50,1.11,8.80,10.09,1.15,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
97,2,7.64,8.77,1.15,6.13,7.53,1.23,1,1,1.00,2,2,1.00,2,2,1.00,7,7,1.00,C,C
98,2,14.02,16.29,1.16,11.41,13.71,1.20,1,1,1.00,4,4,1.00,5,5,1.00,13,13,1.00,C,C
99,2,11.10,12.32,1.11,8.41,9.86,1.17,1,1,1.00,3,3,1.00,4,4,1.00,13,13,1.00,C,C
100,2,8.79,9.25,1.05,6.90,7.67,1.11,1,1,1.00,2,2,1.00,3,3,1.00,9,9,1.00,C,C
101,2,7.28,7.77,1.07,6.30,6.98,1.11,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
102,2,9.94,10.94,1.10,8.24,9.25,1.12,1,1,1.00,3,3,1.00,4,4,1.00,9,9,1.00,C,C
103,2,9.19,10.87,1.18,7.97,9.56,1.20,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
104,2,12.27,15.18,1.24,10.52,13.52,1.29,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
105,2,4.48,4.67,1.04,3.58,3.83,1.07,1,1,1.00,1,1,1.00,1,1,1.00,4,4,1.00,C,C
