Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,6,84.76,301.01,3.55,42.09,210.98,5.01,1,1,1.00,4,0,0.00,8,0,0.00,39,0,0.00,C,T
2,6,163.42,301.01,1.84,75.74,235.44,3.11,1,1,1.00,7,0,0.00,13,0,0.00,69,0,0.00,C,T
3,6,49.84,212.17,4.26,25.05,212.15,8.47,1,1,1.00,2,0,0.00,7,1,0.14,21,0,0.00,C,A
4,6,48.13,301.01,6.25,27.69,3.46,0.12,1,1,1.00,4,0,0.00,6,0,0.00,17,0,0.00,C,T
5,6,154.44,301.01,1.95,74.38,229.88,3.09,1,1,1.00,7,0,0.00,13,0,0.00,65,0,0.00,C,T
6,6,93.93,181.52,1.93,44.94,181.51,4.04,1,1,1.00,5,0,0.00,8,1,0.12,45,0,0.00,C,A
7,6,64.07,301.01,4.70,30.19,229.59,7.61,1,1,1.00,4,0,0.00,6,0,0.00,29,0,0.00,C,T
8,6,66.78,194.44,2.91,32.41,194.42,6.00,1,1,1.00,4,0,0.00,6,1,0.17,29,0,0.00,C,A
9,6,66.31,301.01,4.54,35.31,3.27,0.09,1,1,1.00,4,0,0.00,6,0,0.00,27,0,0.00,C,T
10,6,64.44,301.01,4.67,31.64,234.82,7.42,1,1,1.00,3,0,0.00,6,0,0.00,25,0,0.00,C,T
11,6,110.38,301.01,2.73,50.51,245.83,4.87,1,1,1.00,4,0,0.00,9,0,0.00,43,0,0.00,C,T
12,6,92.11,301.01,3.27,41.63,230.06,5.53,1,1,1.00,4,0,0.00,10,0,0.00,41,0,0.00,C,T
13,6,150.96,232.58,1.54,71.09,232.55,3.27,1,1,1.00,8,0,0.00,12,1,0.08,67,0,0.00,C,A
14,6,209.71,301.01,1.44,100.80,248.63,2.47,1,1,1.00,9,0,0.00,15,0,0.00,81,0,0.00,C,T
15,6,97.48,223.85,2.30,48.66,223.83,4.60,1,1,1.00,6,0,0.00,7,1,0.14,39,0,0.00,C,A
16,6,180.39,213.65,1.18,94.71,213.64,2.26,1,1,1.00,6,0,0.00,16,1,0.06,67,0,0.00,C,A
17,6,24.74,301.01,12.17,15.40,2.13,0.14,1,1,1.00,3,0,0.00,3,0,0.00,9,0,0.00,C,T
18,6,40.09,194.06,4.84,22.41,194.05,8.66,1,1,1.00,2,0,0.00,7,1,0.14,15,0,0.00,C,A
19,6,185.75,301.01,1.62,88.64,235.44,2.66,1,1,1.00,9,0,0.00,18,0,0.00,83,0,0.00,C,T
20,6,172.49,245.39,1.42,80.15,245.36,3.06,1,1,1.00,7,0,0.00,12,1,0.08,63,0,0.00,C,A
21,6,84.65,301.01,3.56,42.29,223.31,5.28,1,1,1.00,4,0,0.00,10,0,0.00,35,0,0.00,C,T
22,6,81.35,301.01,3.70,42.39,2.38,0.06,1,1,1.00,2,0,0.00,11,0,0.00,33,0,0.00,C,T
23,6,51.49,301.01,5.85,25.24,2.22,0.09,1,1,1.00,2,0,0.00,8,0,0.00,21,0,0.00,C,T
24,6,32.03,231.90,7.24,19.13,231.87,12.12,1,1,1.00,3,0,0.00,3,1,0.33,11,0,0.00,C,A
25,6,113.93,301.01,2.64,54.63,222.25,4.07,1,1,1.00,5,0,0.00,14,0,0.00,49,0,0.00,C,T
26,6,106.26,301.01,2.83,55.52,5.75,0.10,1,1,1.00,8,0,0.00,9,0,0.00,45,0,0.00,C,T
27,6,150.66,301.01,2.00,73.88,210.14,2.84,1,1,1.00,7,0,0.00,14,0,0.00,67,0,0.00,C,T
28,6,128.63,301.01,2.34,60.93,231.04,3.79,1,1,1.00,6,0,0.00,15,0,0.00,61,0,0.00,C,T
29,6,36.07,301.01,8.34,19.50,211.09,10.82,1,1,1.00,3,0,0.00,3,0,0.00,15,0,0.00,C,T
30,6,105.78,301.01,2.85,50.42,237.31,4.71,1,1,1.00,5,0,0.00,9,0,0.00,45,0,0.00,C,T
31,6,118.58,194.21,1.64,61.15,194.19,3.18,1,1,1.00,6,0,0.00,12,1,0.08,49,0,0.00,C,A
32,6,83.24,301.01,3.62,39.20,226.71,5.78,1,1,1.00,5,0,0.00,7,0,0.00,39,0,0.00,C,T
33,6,82.39,198.76,2.41,43.16,198.75,4.60,1,1,1.00,6,0,0.00,7,1,0.14,35,0,0.00,C,A
34,6,104.95,301.01,2.87,51.23,207.49,4.05,1,1,1.00,5,0,0.00,14,0,0.00,49,0,0.00,C,T
35,6,80.76,301.01,3.73,41.86,6.63,0.16,1,1,1.00,5,0,0.00,8,0,0.00,35,0,0.00,C,T
