Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,7,101.09,301.03,2.98,49.61,2.20,0.04,1,1,1.00,3,0,0.00,12,0,0.00,39,0,0.00,C,T
2,7,169.30,301.03,1.78,87.79,3.48,0.04,1,1,1.00,5,0,0.00,16,0,0.00,61,0,0.00,C,T
3,7,162.40,301.03,1.85,79.58,5.09,0.06,1,1,1.00,8,0,0.00,9,0,0.00,61,0,0.00,C,T
4,7,190.82,301.01,1.58,97.32,4.59,0.05,1,1,1.00,7,0,0.00,18,0,0.00,69,0,0.00,C,T
5,7,54.42,301.01,5.53,26.47,2.20,0.08,1,1,1.00,3,0,0.00,6,0,0.00,21,0,0.00,C,T
6,7,113.96,301.01,2.64,59.21,4.07,0.07,1,1,1.00,6,0,0.00,9,0,0.00,41,0,0.00,C,T
7,7,182.64,301.01,1.65,95.34,5.20,0.05,1,1,1.00,8,0,0.00,19,0,0.00,65,0,0.00,C,T
8,7,138.46,301.01,2.17,72.64,3.85,0.05,1,1,1.00,5,0,0.00,14,0,0.00,49,0,0.00,C,T
9,7,68.16,301.01,4.42,32.49,3.08,0.09,1,1,1.00,4,0,0.00,5,0,0.00,27,0,0.00,C,T
10,7,166.24,301.03,1.81,76.91,3.58,0.05,1,1,1.00,5,0,0.00,19,0,0.00,67,0,0.00,C,T
11,7,112.50,301.03,2.68,55.86,3.41,0.06,1,1,1.00,4,0,0.00,7,0,0.00,33,0,0.00,C,T
12,7,74.11,301.01,4.06,32.70,2.81,0.09,1,1,1.00,3,0,0.00,5,0,0.00,25,0,0.00,C,T
13,7,89.44,301.01,3.37,42.35,2.99,0.07,1,1,1.00,3,0,0.00,9,0,0.00,27,0,0.00,C,T
14,7,75.16,301.01,4.00,44.97,4.78,0.11,1,1,1.00,4,0,0.00,5,0,0.00,19,0,0.00,C,T
15,7,161.71,301.01,1.86,84.28,3.86,0.05,1,1,1.00,6,0,0.00,17,0,0.00,59,0,0.00,C,T
16,7,196.23,301.01,1.53,106.66,3.55,0.03,1,1,1.00,4,0,0.00,19,0,0.00,61,0,0.00,C,T
17,7,149.20,301.01,2.02,69.60,4.74,0.07,1,1,1.00,7,0,0.00,9,0,0.00,55,0,0.00,C,T
18,7,40.03,301.01,7.52,20.21,2.18,0.11,1,1,1.00,2,0,0.00,4,0,0.00,15,0,0.00,C,T
19,7,93.84,301.01,3.21,44.80,4.06,0.09,1,1,1.00,5,0,0.00,6,0,0.00,33,0,0.00,C,T
20,7,255.98,301.01,1.18,127.95,5.77,0.05,1,1,1.00,9,0,0.00,22,0,0.00,91,0,0.00,C,T
21,7,176.88,301.01,1.70,89.83,4.06,0.05,1,1,1.00,6,0,0.00,18,0,0.00,63,0,0.00,C,T
22,7,185.48,301.01,1.62,85.23,4.95,0.06,1,1,1.00,8,0,0.00,19,0,0.00,75,0,0.00,C,T
