Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,3,18.18,6.72,0.37,13.70,6.71,0.49,1,1,1.00,4,0,0.00,5,1,0.20,13,0,0.00,C,A
2,3,22.75,56.07,2.46,15.75,51.03,3.24,1,1,1.00,4,4,1.00,7,5,0.71,21,17,0.81,C,C
3,3,23.94,301.01,12.57,16.67,31.08,1.86,1,1,1.00,5,2,0.40,8,2,0.25,23,6,0.26,C,T
4,3,20.69,119.79,5.79,15.47,114.53,7.40,1,1,1.00,5,5,1.00,5,5,1.00,17,17,1.00,C,C
5,3,15.53,140.31,9.03,10.59,135.34,12.78,1,1,1.00,3,3,1.00,6,6,1.00,17,17,1.00,C,C
6,3,18.29,6.84,0.37,12.85,6.83,0.53,1,1,1.00,4,0,0.00,5,1,0.20,19,0,0.00,C,A
7,3,14.87,51.39,3.46,10.48,47.20,4.50,1,1,1.00,3,3,1.00,5,5,1.00,15,15,1.00,C,C
8,3,15.37,301.01,19.58,10.23,12.44,1.22,1,1,1.00,3,1,0.33,5,1,0.20,17,4,0.24,C,T
9,3,15.64,301.01,19.25,10.67,293.64,27.53,1,1,1.00,3,2,0.67,5,4,0.80,17,13,0.76,C,T
10,3,20.25,301.01,14.87,15.27,52.85,3.46,1,1,1.00,5,2,0.40,5,2,0.40,17,8,0.47,C,T
11,3,23.90,234.34,9.80,17.60,227.97,12.95,1,1,1.00,6,6,1.00,6,6,1.00,21,21,1.00,C,C
12,3,21.53,301.01,13.98,15.22,22.96,1.51,1,1,1.00,4,1,0.25,7,1,0.14,21,2,0.10,C,T
13,3,31.85,41.61,1.31,23.20,41.03,1.77,1,1,1.00,7,1,0.14,10,2,0.20,29,2,0.07,C,A
14,3,32.40,27.37,0.84,22.47,24.33,1.08,1,1,1.00,7,2,0.29,9,3,0.33,33,10,0.30,C,A
15,3,20.12,301.01,14.96,13.90,22.45,1.61,1,1,1.00,4,2,0.50,7,2,0.29,21,8,0.38,C,T
16,3,20.89,212.63,10.18,14.74,207.69,14.09,1,1,1.00,4,4,1.00,7,5,0.71,21,17,0.81,C,C
17,3,19.85,301.01,15.16,14.30,36.73,2.57,1,1,1.00,4,2,0.50,7,2,0.29,19,6,0.32,C,T
18,3,20.16,301.01,14.93,14.95,31.28,2.09,1,1,1.00,5,3,0.60,5,3,0.60,17,12,0.71,C,T
19,3,16.33,52.46,3.21,12.42,48.95,3.94,1,1,1.00,4,4,1.00,4,4,1.00,13,13,1.00,C,C
20,3,33.07,88.19,2.67,22.75,79.54,3.50,1,1,1.00,7,7,1.00,10,8,0.80,33,29,0.88,C,C
21,3,21.34,7.16,0.34,15.19,7.15,0.47,1,1,1.00,5,0,0.00,5,1,0.20,19,0,0.00,C,A
22,3,33.17,26.89,0.81,22.75,23.87,1.05,1,1,1.00,7,2,0.29,9,3,0.33,33,10,0.30,C,A
23,3,10.00,20.70,2.07,6.73,17.69,2.63,1,1,1.00,2,2,1.00,2,2,1.00,10,10,1.00,C,C
24,3,17.43,6.82,0.39,12.23,6.81,0.56,1,1,1.00,4,0,0.00,4,1,0.25,17,0,0.00,C,A
25,3,5.33,9.85,1.85,4.05,8.69,2.15,1,1,1.00,1,1,1.00,1,1,1.00,4,4,1.00,C,C
26,3,19.44,16.23,0.83,14.95,15.64,1.05,1,1,1.00,5,1,0.20,5,2,0.40,15,2,0.13,C,A
27,3,23.52,287.69,12.23,17.80,281.95,15.84,1,1,1.00,6,6,1.00,6,6,1.00,19,19,1.00,C,C
28,3,16.19,301.01,18.59,11.07,12.32,1.11,1,1,1.00,3,1,0.33,6,1,0.17,17,4,0.24,C,T
29,3,20.88,7.14,0.34,15.83,7.13,0.45,1,1,1.00,5,0,0.00,5,1,0.20,17,0,0.00,C,A
30,3,18.79,42.34,2.25,13.47,41.73,3.10,1,1,1.00,4,1,0.25,6,2,0.33,17,2,0.12,C,A
31,3,21.69,301.01,13.88,15.72,90.23,5.74,1,1,1.00,5,2,0.40,6,2,0.33,19,6,0.32,C,T
32,3,18.74,6.76,0.36,13.14,6.75,0.51,1,1,1.00,4,0,0.00,5,1,0.20,19,0,0.00,C,A
33,3,15.38,301.01,19.57,11.03,11.20,1.01,1,1,1.00,3,1,0.33,6,1,0.17,15,4,0.27,C,T
