Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
49,4,62.53,31.76,0.51,36.01,31.75,0.88,1,1,1.00,6,0,0.00,11,1,0.09,47,0,0.00,C,A
50,4,16.41,30.20,1.84,11.76,30.19,2.57,1,1,1.00,3,0,0.00,3,1,0.33,9,0,0.00,C,A
51,4,24.19,223.73,9.25,16.06,223.72,13.93,1,1,1.00,4,0,0.00,4,1,0.25,15,0,0.00,C,A
52,4,36.48,32.75,0.90,22.92,32.74,1.43,1,1,1.00,4,0,0.00,9,1,0.11,25,0,0.00,C,A
53,4,29.46,249.06,8.46,17.97,249.05,13.86,1,1,1.00,3,0,0.00,8,1,0.12,21,0,0.00,C,A
54,4,23.28,301.01,12.93,14.30,1.96,0.14,1,1,1.00,2,0,0.00,5,0,0.00,17,0,0.00,C,T
55,4,25.55,29.16,1.14,15.56,29.15,1.87,1,1,1.00,3,0,0.00,4,1,0.25,19,0,0.00,C,A
56,4,23.01,29.81,1.30,15.03,29.80,1.98,1,1,1.00,3,0,0.00,6,1,0.17,15,0,0.00,C,A
57,4,65.38,34.45,0.53,36.31,34.44,0.95,1,1,1.00,8,0,0.00,12,1,0.08,53,0,0.00,C,A
58,4,8.50,31.97,3.76,5.20,31.96,6.14,1,1,1.00,1,0,0.00,1,1,1.00,6,0,0.00,C,A
59,4,39.78,104.36,2.62,23.04,104.35,4.53,1,1,1.00,4,0,0.00,9,0,0.00,31,0,0.00,C,A
60,4,59.68,105.55,1.77,32.78,105.54,3.22,1,1,1.00,7,0,0.00,11,1,0.09,49,0,0.00,C,A
61,4,38.90,105.37,2.71,22.10,105.36,4.77,1,1,1.00,4,0,0.00,7,0,0.00,31,0,0.00,C,A
62,4,21.10,202.14,9.58,12.40,202.13,16.30,1,1,1.00,3,0,0.00,3,1,0.33,16,0,0.00,C,A
63,4,32.11,175.81,5.48,20.17,175.80,8.72,1,1,1.00,4,0,0.00,8,1,0.12,23,0,0.00,C,A
64,4,51.88,301.01,5.80,30.52,3.77,0.12,1,1,1.00,7,0,0.00,9,0,0.00,39,0,0.00,C,T
65,4,33.70,76.19,2.26,19.21,76.18,3.97,1,1,1.00,4,0,0.00,8,1,0.12,27,0,0.00,C,A
66,4,19.98,29.01,1.45,12.97,29.00,2.24,1,1,1.00,2,0,0.00,6,1,0.17,13,0,0.00,C,A
67,4,31.27,40.03,1.28,18.99,40.01,2.11,1,1,1.00,4,0,0.00,6,1,0.17,23,0,0.00,C,A
68,4,46.94,33.94,0.72,27.43,33.93,1.24,1,1,1.00,7,0,0.00,7,1,0.14,35,0,0.00,C,A
69,4,32.84,37.39,1.14,20.14,37.38,1.86,1,1,1.00,4,0,0.00,8,1,0.12,23,0,0.00,C,A
70,4,37.87,301.01,7.95,21.41,246.61,11.52,1,1,1.00,4,0,0.00,5,0,0.00,31,0,0.00,C,T
71,4,30.47,30.47,1.00,19.44,30.46,1.57,1,1,1.00,4,0,0.00,7,1,0.14,21,0,0.00,C,A
72,4,40.60,278.74,6.87,24.05,278.73,11.59,1,1,1.00,3,0,0.00,7,1,0.14,31,0,0.00,C,A
73,4,32.20,135.22,4.20,19.56,135.21,6.91,1,1,1.00,4,0,0.00,5,1,0.20,23,0,0.00,C,A
74,4,37.40,216.62,5.79,22.86,216.60,9.48,1,1,1.00,6,0,0.00,6,1,0.17,27,0,0.00,C,A
75,4,32.78,301.01,9.18,20.49,2.98,0.15,1,1,1.00,5,0,0.00,6,0,0.00,23,0,0.00,C,T
76,4,51.33,116.77,2.27,29.49,116.76,3.96,1,1,1.00,7,0,0.00,9,1,0.11,41,0,0.00,C,A
77,4,13.25,98.97,7.47,8.69,98.96,11.39,1,1,1.00,2,0,0.00,2,1,0.50,8,0,0.00,C,A
78,4,36.04,220.28,6.11,20.84,220.27,10.57,1,1,1.00,5,0,0.00,5,1,0.20,27,0,0.00,C,A
79,4,26.56,188.92,7.11,16.50,188.91,11.45,1,1,1.00,4,0,0.00,4,1,0.25,19,0,0.00,C,A
80,4,16.54,203.33,12.29,11.89,203.32,17.10,1,1,1.00,3,0,0.00,3,1,0.33,9,0,0.00,C,A
81,4,39.37,33.75,0.86,23.82,33.74,1.42,1,1,1.00,6,0,0.00,6,1,0.17,29,0,0.00,C,A
82,4,28.33,33.48,1.18,17.24,33.47,1.94,1,1,1.00,4,0,0.00,5,1,0.20,21,0,0.00,C,A
83,4,45.87,33.99,0.74,26.72,33.98,1.27,1,1,1.00,7,0,0.00,7,1,0.14,35,0,0.00,C,A
84,4,35.38,33.24,0.94,20.46,33.22,1.62,1,1,1.00,5,0,0.00,6,1,0.17,27,0,0.00,C,A
85,4,14.84,195.55,13.18,9.29,195.54,21.04,1,1,1.00,1,0,0.00,1,0,0.00,10,0,0.00,C,A
86,4,55.02,301.01,5.47,31.52,3.80,0.12,1,1,1.00,7,0,0.00,10,0,0.00,43,0,0.00,C,T
87,4,31.88,83.79,2.63,19.84,83.78,4.22,1,1,1.00,4,0,0.00,8,1,0.12,23,0,0.00,C,A
88,4,38.94,191.88,4.93,23.98,191.87,8.00,1,1,1.00,6,0,0.00,6,1,0.17,27,0,0.00,C,A
89,4,39.10,104.77,2.68,22.19,104.75,4.72,1,1,1.00,4,0,0.00,7,0,0.00,31,0,0.00,C,A
90,4,22.29,264.26,11.86,13.51,264.25,19.56,1,1,1.00,3,0,0.00,4,1,0.25,17,0,0.00,C,A
91,4,42.62,33.21,0.78,24.11,33.20,1.38,1,1,1.00,5,0,0.00,9,1,0.11,35,0,0.00,C,A
92,4,37.71,33.31,0.88,23.58,33.30,1.41,1,1,1.00,5,0,0.00,9,1,0.11,27,0,0.00,C,A
93,4,25.56,45.14,1.77,15.52,45.13,2.91,1,1,1.00,2,0,0.00,5,1,0.20,19,0,0.00,C,A
94,4,43.51,33.66,0.77,24.42,33.65,1.38,1,1,1.00,5,0,0.00,8,1,0.12,35,0,0.00,C,A
95,4,48.20,106.42,2.21,26.68,106.41,3.99,1,1,1.00,6,0,0.00,8,0,0.00,39,0,0.00,C,A
96,4,39.67,30.53,0.77,23.20,30.52,1.32,1,1,1.00,4,0,0.00,8,1,0.12,31,0,0.00,C,A
97,4,29.50,301.01,10.20,17.33,1.96,0.11,1,1,1.00,3,0,0.00,7,0,0.00,23,0,0.00,C,T
98,4,57.38,301.01,5.25,33.28,3.75,0.11,1,1,1.00,7,0,0.00,10,0,0.00,43,0,0.00,C,T
99,4,25.14,173.21,6.89,15.00,173.20,11.55,1,1,1.00,2,0,0.00,7,1,0.14,19,0,0.00,C,A
100,4,23.65,165.18,6.99,14.42,165.17,11.45,1,1,1.00,3,0,0.00,5,1,0.20,17,0,0.00,C,A
101,4,52.44,34.60,0.66,29.38,34.59,1.18,1,1,1.00,7,1,0.14,9,1,0.11,43,0,0.00,C,A
102,4,48.47,174.56,3.60,28.22,174.55,6.19,1,1,1.00,5,0,0.00,9,1,0.11,37,0,0.00,C,A
103,4,82.49,107.12,1.30,46.75,107.11,2.29,1,1,1.00,10,0,0.00,15,0,0.00,63,0,0.00,C,A
104,4,23.20,64.46,2.78,14.41,64.45,4.47,1,1,1.00,2,0,0.00,7,1,0.14,17,0,0.00,C,A
105,4,74.08,106.47,1.44,41.02,106.46,2.60,1,1,1.00,9,0,0.00,12,0,0.00,61,0,0.00,C,A
106,4,18.61,103.73,5.57,10.86,103.72,9.55,1,1,1.00,2,0,0.00,2,0,0.00,14,0,0.00,C,A
107,4,35.99,33.75,0.94,21.32,33.74,1.58,1,1,1.00,5,0,0.00,6,1,0.17,27,0,0.00,C,A
108,4,57.89,34.53,0.60,31.72,34.51,1.09,1,1,1.00,7,0,0.00,10,1,0.10,47,0,0.00,C,A
109,4,36.88,32.85,0.89,21.36,32.84,1.54,1,1,1.00,4,0,0.00,9,1,0.11,29,0,0.00,C,A
110,4,43.89,33.61,0.77,24.72,33.60,1.36,1,1,1.00,5,0,0.00,8,1,0.12,35,0,0.00,C,A
111,4,40.45,104.35,2.58,23.29,104.33,4.48,1,1,1.00,4,0,0.00,9,1,0.11,31,0,0.00,C,A
112,4,72.94,106.40,1.46,40.32,106.39,2.64,1,1,1.00,8,0,0.00,12,0,0.00,59,0,0.00,C,A
113,4,34.72,33.38,0.96,19.69,33.37,1.69,1,1,1.00,5,0,0.00,6,1,0.17,27,0,0.00,C,A
114,4,27.35,301.01,11.01,17.09,1.84,0.11,1,1,1.00,3,0,0.00,8,0,0.00,19,0,0.00,C,T
115,4,19.86,232.46,11.70,12.10,232.44,19.21,1,1,1.00,3,0,0.00,3,1,0.33,14,0,0.00,C,A
116,4,14.54,245.15,16.86,9.96,245.13,24.62,1,1,1.00,2,0,0.00,3,1,0.33,9,0,0.00,C,A
117,4,19.52,145.43,7.45,12.40,145.42,11.72,1,1,1.00,3,0,0.00,4,1,0.25,13,0,0.00,C,A
118,4,44.48,301.01,6.77,27.44,3.85,0.14,1,1,1.00,7,0,0.00,7,0,0.00,31,0,0.00,C,T
119,4,19.29,61.85,3.21,11.20,61.84,5.52,1,1,1.00,2,0,0.00,5,1,0.20,15,0,0.00,C,A
120,4,22.57,301.01,13.33,14.92,1.85,0.12,1,1,1.00,3,0,0.00,4,0,0.00,15,0,0.00,C,T
121,4,37.27,301.01,8.08,22.60,3.03,0.13,1,1,1.00,5,0,0.00,7,0,0.00,27,0,0.00,C,T
122,4,32.40,301.01,9.29,19.55,3.03,0.15,1,1,1.00,5,0,0.00,6,0,0.00,23,0,0.00,C,T
123,4,36.28,108.58,2.99,21.15,108.56,5.13,1,1,1.00,4,0,0.00,8,1,0.12,27,0,0.00,C,A
124,4,20.17,151.17,7.49,13.13,151.16,11.51,1,1,1.00,3,0,0.00,4,1,0.25,13,0,0.00,C,A
125,4,25.48,29.30,1.15,15.18,29.29,1.93,1,1,1.00,3,0,0.00,4,1,0.25,19,0,0.00,C,A
