Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,1,6.37,6.13,0.96,5.68,5.44,0.96,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
2,1,8.60,8.68,1.01,7.48,7.64,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
3,1,6.29,6.26,1.00,5.56,5.56,1.00,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
4,1,6.40,6.27,0.98,5.68,5.57,0.98,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
5,1,3.99,3.82,0.96,3.64,3.46,0.95,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
6,1,6.43,6.37,0.99,5.69,5.65,0.99,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
7,1,3.93,3.92,1.00,3.58,3.56,0.99,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
8,1,6.31,6.28,0.99,5.59,5.57,1.00,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
9,1,6.32,6.44,1.02,5.58,5.77,1.03,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
10,1,6.38,6.30,0.99,5.62,5.60,1.00,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
11,1,8.81,9.96,1.13,7.70,8.54,1.11,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
12,1,9.80,7.86,0.80,8.78,7.02,0.80,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
13,1,3.98,3.91,0.98,3.60,3.57,0.99,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
14,1,8.53,8.56,1.00,7.49,7.53,1.01,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
15,1,4.27,4.04,0.94,3.91,3.69,0.94,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
16,1,9.13,8.62,0.94,8.01,7.54,0.94,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
17,1,3.92,4.03,1.03,3.57,3.69,1.03,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
18,1,4.44,3.91,0.88,4.03,3.54,0.88,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
19,1,9.04,8.79,0.97,7.94,7.70,0.97,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
20,1,6.72,6.36,0.95,5.89,5.64,0.96,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
21,1,6.87,6.87,1.00,6.13,6.01,0.98,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
22,1,6.44,8.11,1.26,5.72,7.03,1.23,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
23,1,8.85,8.78,0.99,7.72,7.74,1.00,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
24,1,6.28,6.48,1.03,5.59,5.75,1.03,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
25,1,8.72,8.94,1.02,7.58,7.85,1.04,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
26,1,6.75,7.88,1.17,6.04,7.13,1.18,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
27,1,8.95,9.40,1.05,7.87,8.18,1.04,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
28,1,8.94,9.17,1.03,7.85,8.03,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
29,1,8.91,8.99,1.01,7.79,7.95,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
30,1,6.84,7.04,1.03,6.11,6.30,1.03,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
31,1,6.63,6.67,1.01,5.54,5.93,1.07,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
32,1,9.22,8.98,0.97,8.11,7.83,0.97,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
33,1,6.52,7.24,1.11,5.77,6.50,1.13,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
34,1,9.43,9.03,0.96,8.22,7.88,0.96,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
35,1,8.98,9.70,1.08,7.93,8.57,1.08,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
36,1,9.95,9.33,0.94,8.84,8.25,0.93,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
37,1,4.03,4.01,0.99,3.67,3.65,0.99,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
