Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,5,53.30,69.31,1.30,30.77,69.30,2.25,1,1,1.00,5,0,0.00,10,1,0.10,29,0,0.00,C,A
2,5,57.59,301.01,5.23,30.82,2.95,0.10,1,1,1.00,4,0,0.00,12,0,0.00,35,0,0.00,C,T
3,5,54.39,301.01,5.53,30.87,3.40,0.11,1,1,1.00,5,0,0.00,11,0,0.00,31,0,0.00,C,T
4,5,51.84,301.01,5.81,26.39,2.92,0.11,1,1,1.00,4,0,0.00,10,0,0.00,33,0,0.00,C,T
5,5,33.19,301.01,9.07,18.78,2.05,0.11,1,1,1.00,3,0,0.00,8,0,0.00,19,0,0.00,C,T
6,5,51.61,301.01,5.83,29.78,3.34,0.11,1,1,1.00,5,0,0.00,7,0,0.00,29,0,0.00,C,T
7,5,73.49,70.82,0.96,46.58,70.81,1.52,1,1,1.00,9,0,0.00,9,1,0.11,35,0,0.00,C,A
8,5,57.57,68.77,1.19,34.05,68.75,2.02,1,1,1.00,5,0,0.00,11,1,0.09,31,0,0.00,C,A
9,5,59.69,70.31,1.18,32.52,70.30,2.16,1,1,1.00,5,0,0.00,13,1,0.08,35,0,0.00,C,A
10,5,52.81,69.50,1.32,32.29,69.49,2.15,1,1,1.00,5,0,0.00,13,1,0.08,27,0,0.00,C,A
11,5,68.09,301.01,4.42,36.47,3.81,0.10,1,1,1.00,6,0,0.00,10,0,0.00,41,0,0.00,C,T
12,5,42.21,80.09,1.90,24.78,80.08,3.23,1,1,1.00,5,0,0.00,5,1,0.20,23,0,0.00,C,A
13,5,21.86,301.01,13.77,13.77,2.06,0.15,1,1,1.00,3,0,0.00,3,0,0.00,11,0,0.00,C,T
14,5,61.03,70.33,1.15,34.12,70.32,2.06,1,1,1.00,7,0,0.00,9,1,0.11,35,0,0.00,C,A
15,5,45.14,69.28,1.53,27.80,69.26,2.49,1,1,1.00,5,0,0.00,5,1,0.20,23,0,0.00,C,A
16,5,56.41,98.48,1.75,30.48,98.47,3.23,1,1,1.00,6,0,0.00,8,1,0.12,33,0,0.00,C,A
17,5,52.94,301.01,5.69,32.09,3.85,0.12,1,1,1.00,6,0,0.00,10,0,0.00,27,0,0.00,C,T
18,5,93.76,76.69,0.82,50.78,76.68,1.51,1,1,1.00,6,0,0.00,13,1,0.08,43,0,0.00,C,A
19,5,34.38,83.16,2.42,20.26,83.15,4.11,1,1,1.00,4,0,0.00,6,1,0.17,19,0,0.00,C,A
20,5,65.67,69.21,1.05,35.37,69.20,1.96,1,1,1.00,5,0,0.00,12,1,0.08,39,0,0.00,C,A
21,5,37.33,68.54,1.84,22.83,68.53,3.00,1,1,1.00,5,0,0.00,5,1,0.20,19,0,0.00,C,A
22,5,69.57,94.29,1.36,38.52,94.28,2.45,1,1,1.00,5,0,0.00,12,1,0.08,41,0,0.00,C,A
23,5,14.84,301.01,20.28,9.95,1.99,0.20,1,1,1.00,2,0,0.00,2,0,0.00,7,0,0.00,C,T
24,5,40.08,68.71,1.71,26.05,68.70,2.64,1,1,1.00,5,0,0.00,9,1,0.11,19,0,0.00,C,A
25,5,44.12,301.01,6.82,25.05,2.83,0.11,1,1,1.00,4,0,0.00,10,0,0.00,25,0,0.00,C,T
26,5,63.61,301.01,4.73,34.34,3.67,0.11,1,1,1.00,6,0,0.00,12,0,0.00,39,0,0.00,C,T
27,5,52.58,69.48,1.32,29.47,69.46,2.36,1,1,1.00,5,0,0.00,10,1,0.10,29,0,0.00,C,A
28,5,48.42,133.00,2.75,30.56,132.98,4.35,1,1,1.00,5,0,0.00,7,1,0.14,23,0,0.00,C,A
29,5,55.93,301.01,5.38,29.82,3.01,0.10,1,1,1.00,4,0,0.00,10,0,0.00,33,0,0.00,C,T
30,5,66.46,301.01,4.53,33.95,3.27,0.10,1,1,1.00,5,0,0.00,13,0,0.00,41,0,0.00,C,T
31,5,65.65,301.01,4.59,36.10,3.66,0.10,1,1,1.00,6,0,0.00,10,0,0.00,37,0,0.00,C,T
32,5,112.46,301.01,2.68,92.75,3.67,0.04,1,1,1.00,6,0,0.00,7,0,0.00,25,0,0.00,C,T
33,5,30.89,228.09,7.38,19.24,228.08,11.86,1,1,1.00,4,0,0.00,4,1,0.25,15,0,0.00,C,A
34,5,31.77,301.01,9.47,20.21,2.88,0.14,1,1,1.00,4,0,0.00,5,0,0.00,15,0,0.00,C,T
35,5,12.88,64.34,4.99,9.31,64.33,6.91,1,1,1.00,2,0,0.00,2,1,0.50,5,0,0.00,C,A
36,5,52.13,301.01,5.77,29.19,2.93,0.10,1,1,1.00,4,0,0.00,12,0,0.00,29,0,0.00,C,T
37,5,31.18,85.78,2.75,16.28,85.77,5.27,1,1,1.00,3,0,0.00,5,1,0.20,19,0,0.00,C,A
38,5,41.52,291.79,7.03,25.20,291.78,11.58,1,1,1.00,5,0,0.00,8,1,0.12,21,0,0.00,C,A
39,5,37.23,301.01,8.09,20.96,2.11,0.10,1,1,1.00,3,0,0.00,9,0,0.00,21,0,0.00,C,T
40,5,43.57,69.41,1.59,25.99,69.40,2.67,1,1,1.00,4,0,0.00,11,1,0.09,23,0,0.00,C,A
41,5,42.05,103.97,2.47,24.43,103.96,4.25,1,1,1.00,4,0,0.00,9,1,0.11,23,0,0.00,C,A
42,5,37.18,301.01,8.10,19.02,2.05,0.11,1,1,1.00,3,0,0.00,5,0,0.00,23,0,0.00,C,T
43,5,78.01,301.01,3.86,43.58,4.73,0.11,1,1,1.00,8,0,0.00,11,0,0.00,43,0,0.00,C,T
44,5,38.21,301.01,7.88,23.43,2.89,0.12,1,1,1.00,4,0,0.00,8,0,0.00,19,0,0.00,C,T
45,5,42.40,301.01,7.10,25.47,2.04,0.08,1,1,1.00,2,0,0.00,9,0,0.00,23,0,0.00,C,T
46,5,36.52,301.01,8.24,18.99,2.10,0.11,1,1,1.00,3,0,0.00,7,0,0.00,23,0,0.00,C,T
47,5,57.44,301.01,5.24,31.62,3.31,0.10,1,1,1.00,5,0,0.00,11,0,0.00,33,0,0.00,C,T
48,5,50.82,301.01,5.92,26.39,3.32,0.13,1,1,1.00,5,0,0.00,7,0,0.00,31,0,0.00,C,T
49,5,48.54,301.01,6.20,25.63,2.90,0.11,1,1,1.00,4,0,0.00,10,0,0.00,29,0,0.00,C,T
50,5,38.11,301.01,7.90,20.31,2.05,0.10,1,1,1.00,2,0,0.00,10,0,0.00,23,0,0.00,C,T
51,5,44.51,67.71,1.52,26.35,67.69,2.57,1,1,1.00,4,0,0.00,7,1,0.14,23,0,0.00,C,A
52,5,60.19,301.01,5.00,33.74,3.77,0.11,1,1,1.00,6,0,0.00,12,0,0.00,33,0,0.00,C,T
53,5,60.99,301.01,4.94,30.30,2.89,0.10,1,1,1.00,4,0,0.00,12,0,0.00,39,0,0.00,C,T
54,5,24.82,301.01,12.13,15.06,2.04,0.14,1,1,1.00,3,0,0.00,5,0,0.00,13,0,0.00,C,T
55,5,46.55,301.01,6.47,23.20,2.08,0.09,1,1,1.00,3,0,0.00,8,0,0.00,29,0,0.00,C,T
56,5,45.44,70.10,1.54,26.46,70.09,2.65,1,1,1.00,4,0,0.00,9,1,0.11,25,0,0.00,C,A
57,5,41.42,301.01,7.27,24.88,3.25,0.13,1,1,1.00,5,0,0.00,7,0,0.00,21,0,0.00,C,T
58,5,24.65,301.01,12.21,15.05,2.07,0.14,1,1,1.00,3,0,0.00,4,0,0.00,13,0,0.00,C,T
59,5,33.80,110.25,3.26,19.34,110.24,5.70,1,1,1.00,3,0,0.00,8,1,0.12,19,0,0.00,C,A
60,5,75.57,301.01,3.98,41.82,4.10,0.10,1,1,1.00,7,0,0.00,11,0,0.00,43,0,0.00,C,T
61,5,32.03,301.01,9.40,17.36,2.02,0.12,1,1,1.00,3,0,0.00,4,0,0.00,19,0,0.00,C,T
62,5,70.58,70.10,0.99,38.28,70.09,1.83,1,1,1.00,5,0,0.00,13,1,0.08,41,0,0.00,C,A
63,5,52.36,301.01,5.75,29.65,2.86,0.10,1,1,1.00,4,0,0.00,10,0,0.00,29,0,0.00,C,T
64,5,46.60,301.01,6.46,28.11,3.68,0.13,1,1,1.00,6,0,0.00,7,0,0.00,23,0,0.00,C,T
65,5,52.16,301.01,5.77,26.47,2.06,0.08,1,1,1.00,3,0,0.00,11,0,0.00,33,0,0.00,C,T
66,5,37.69,69.39,1.84,22.86,69.38,3.03,1,1,1.00,4,0,0.00,4,1,0.25,19,0,0.00,C,A
67,5,42.91,301.01,7.02,24.87,3.28,0.13,1,1,1.00,5,0,0.00,6,0,0.00,23,0,0.00,C,T
68,5,50.21,301.01,5.99,27.26,2.93,0.11,1,1,1.00,4,0,0.00,10,0,0.00,29,0,0.00,C,T
69,5,64.87,301.01,4.64,36.10,3.79,0.10,1,1,1.00,6,0,0.00,9,0,0.00,37,0,0.00,C,T
70,5,49.92,301.01,6.03,28.75,3.70,0.13,1,1,1.00,6,0,0.00,6,0,0.00,27,0,0.00,C,T
71,5,43.83,69.70,1.59,24.26,69.69,2.87,1,1,1.00,3,0,0.00,10,1,0.10,25,0,0.00,C,A
72,5,41.13,160.13,3.89,23.67,160.11,6.76,1,1,1.00,4,0,0.00,8,1,0.12,23,0,0.00,C,A
73,5,52.66,301.01,5.72,29.95,3.34,0.11,1,1,1.00,5,0,0.00,8,0,0.00,29,0,0.00,C,T
74,5,55.74,72.45,1.30,34.14,72.44,2.12,1,1,1.00,7,0,0.00,9,1,0.11,27,0,0.00,C,A
75,5,26.19,301.01,11.49,15.12,2.19,0.14,1,1,1.00,2,0,0.00,7,0,0.00,15,0,0.00,C,T
76,5,29.71,301.01,10.13,16.50,2.10,0.13,1,1,1.00,2,0,0.00,8,0,0.00,17,0,0.00,C,T
77,5,31.16,69.02,2.22,18.08,69.01,3.82,1,1,1.00,3,0,0.00,7,1,0.14,17,0,0.00,C,A
78,5,21.95,69.24,3.15,13.79,69.23,5.02,1,1,1.00,3,0,0.00,3,1,0.33,11,0,0.00,C,A
79,5,44.04,68.57,1.56,24.34,68.56,2.82,1,1,1.00,4,0,0.00,10,1,0.10,25,0,0.00,C,A
80,5,31.36,280.85,8.96,19.73,280.84,14.24,1,1,1.00,4,1,0.25,5,1,0.20,15,0,0.00,C,A
81,5,29.73,301.01,10.12,18.10,2.06,0.11,1,1,1.00,3,0,0.00,7,0,0.00,15,0,0.00,C,T
82,5,31.75,69.36,2.18,18.85,69.35,3.68,1,1,1.00,3,0,0.00,8,1,0.12,17,0,0.00,C,A
83,5,29.67,301.01,10.15,18.41,2.13,0.12,1,1,1.00,3,0,0.00,6,0,0.00,15,0,0.00,C,T
84,5,52.31,70.88,1.35,30.41,70.87,2.33,1,1,1.00,5,0,0.00,11,1,0.09,27,0,0.00,C,A
85,5,76.52,301.01,3.93,43.48,4.57,0.10,1,1,1.00,8,0,0.00,12,0,0.00,41,0,0.00,C,T
86,5,36.51,301.01,8.25,21.07,2.89,0.14,1,1,1.00,4,0,0.00,5,0,0.00,19,0,0.00,C,T
87,5,52.43,70.63,1.35,29.40,70.62,2.40,1,1,1.00,5,0,0.00,11,1,0.09,29,0,0.00,C,A
88,5,57.21,75.39,1.32,31.16,75.38,2.42,1,1,1.00,5,0,0.00,10,1,0.10,33,0,0.00,C,A
89,5,39.76,301.01,7.57,21.89,2.86,0.13,1,1,1.00,4,0,0.00,7,0,0.00,23,0,0.00,C,T
90,5,51.83,301.01,5.81,29.01,3.23,0.11,1,1,1.00,5,0,0.00,10,0,0.00,29,0,0.00,C,T
91,5,24.13,301.01,12.48,15.62,2.02,0.13,1,1,1.00,3,0,0.00,5,0,0.00,11,0,0.00,C,T
92,5,80.65,71.08,0.88,43.16,71.07,1.65,1,1,1.00,7,0,0.00,15,1,0.07,47,0,0.00,C,A
93,5,62.74,301.01,4.80,33.47,3.75,0.11,1,1,1.00,6,0,0.00,9,0,0.00,37,0,0.00,C,T
94,5,30.10,301.01,10.00,16.93,2.11,0.12,1,1,1.00,3,0,0.00,4,0,0.00,17,0,0.00,C,T
95,5,25.97,68.91,2.65,15.97,68.89,4.31,1,1,1.00,3,0,0.00,5,1,0.20,13,0,0.00,C,A
96,5,67.24,301.01,4.48,41.61,4.59,0.11,1,1,1.00,8,0,0.00,9,0,0.00,33,0,0.00,C,T
97,5,44.85,301.01,6.71,26.54,3.28,0.12,1,1,1.00,5,0,0.00,6,0,0.00,23,0,0.00,C,T
98,5,67.79,70.90,1.05,40.34,70.88,1.76,1,1,1.00,7,0,0.00,12,1,0.08,35,0,0.00,C,A
99,5,33.78,120.05,3.55,20.82,120.04,5.77,1,1,1.00,4,0,0.00,4,1,0.25,17,0,0.00,C,A
100,5,70.57,79.98,1.13,41.28,79.97,1.94,1,1,1.00,6,0,0.00,14,1,0.07,37,0,0.00,C,A
101,5,39.43,301.01,7.63,24.64,2.83,0.11,1,1,1.00,4,0,0.00,5,0,0.00,19,0,0.00,C,T
102,5,35.05,69.44,1.98,21.75,69.43,3.19,1,1,1.00,4,0,0.00,8,1,0.12,17,0,0.00,C,A
103,5,53.10,301.01,5.67,29.46,2.82,0.10,1,1,1.00,4,0,0.00,9,0,0.00,31,0,0.00,C,T
104,5,50.91,301.01,5.91,28.42,3.23,0.11,1,1,1.00,5,0,0.00,10,0,0.00,29,0,0.00,C,T
105,5,42.38,301.01,7.10,26.15,3.33,0.13,1,1,1.00,5,0,0.00,7,0,0.00,21,0,0.00,C,T
106,5,30.64,70.98,2.32,21.96,70.97,3.23,1,1,1.00,5,0,0.00,5,1,0.20,11,0,0.00,C,A
107,5,45.95,70.04,1.52,26.62,70.03,2.63,1,1,1.00,5,0,0.00,6,1,0.17,25,0,0.00,C,A
108,5,25.42,301.01,11.84,15.37,2.08,0.14,1,1,1.00,3,0,0.00,5,0,0.00,13,0,0.00,C,T
109,5,26.18,301.01,11.50,17.89,2.87,0.16,1,1,1.00,4,0,0.00,4,0,0.00,11,0,0.00,C,T
110,5,44.57,301.01,6.75,25.39,2.87,0.11,1,1,1.00,4,0,0.00,7,0,0.00,23,0,0.00,C,T
111,5,49.39,76.87,1.56,30.43,76.86,2.53,1,1,1.00,5,0,0.00,10,1,0.10,21,0,0.00,C,A
112,5,33.47,301.01,8.99,19.57,2.30,0.12,1,1,1.00,3,0,0.00,7,0,0.00,17,0,0.00,C,T
113,5,72.17,301.01,4.17,37.97,3.67,0.10,1,1,1.00,6,0,0.00,9,0,0.00,43,0,0.00,C,T
114,5,23.68,301.01,12.71,14.02,2.04,0.15,1,1,1.00,2,0,0.00,5,0,0.00,13,0,0.00,C,T
115,5,58.35,75.00,1.29,31.30,74.99,2.40,1,1,1.00,5,1,0.20,12,1,0.08,35,0,0.00,C,A
116,5,58.09,301.01,5.18,31.01,3.15,0.10,1,1,1.00,5,0,0.00,10,0,0.00,35,0,0.00,C,T
117,5,62.38,301.01,4.83,35.91,3.66,0.10,1,1,1.00,6,0,0.00,13,0,0.00,35,0,0.00,C,T
118,5,54.25,69.87,1.29,33.60,69.85,2.08,1,1,1.00,7,0,0.00,9,1,0.11,27,0,0.00,C,A
119,5,72.49,69.34,0.96,40.94,69.32,1.69,1,1,1.00,6,0,0.00,14,1,0.07,41,0,0.00,C,A
120,5,52.27,301.01,5.76,27.11,2.87,0.11,1,1,1.00,4,0,0.00,11,0,0.00,33,0,0.00,C,T
121,5,43.53,70.00,1.61,24.20,69.99,2.89,1,1,1.00,4,0,0.00,9,1,0.11,25,0,0.00,C,A
122,5,44.81,63.27,1.41,24.08,63.26,2.63,1,1,1.00,3,0,0.00,10,1,0.10,27,0,0.00,C,A
123,5,31.50,301.01,9.55,18.72,2.01,0.11,1,1,1.00,3,0,0.00,4,0,0.00,17,0,0.00,C,T
124,5,54.82,301.01,5.49,29.53,3.35,0.11,1,1,1.00,5,0,0.00,11,0,0.00,33,0,0.00,C,T
125,5,83.65,80.61,0.96,46.20,80.59,1.74,1,1,1.00,7,0,0.00,13,1,0.08,43,0,0.00,C,A
126,5,37.90,301.01,7.94,20.26,2.20,0.11,1,1,1.00,2,0,0.00,9,0,0.00,21,0,0.00,C,T
127,5,80.28,84.70,1.05,46.21,84.68,1.83,1,1,1.00,5,0,0.00,12,1,0.08,37,0,0.00,C,A
128,5,55.59,301.02,5.41,30.37,3.43,0.11,1,1,1.00,4,0,0.00,10,0,0.00,29,0,0.00,C,T
129,5,61.02,73.06,1.20,34.66,73.05,2.11,1,1,1.00,5,0,0.00,12,1,0.08,31,0,0.00,C,A
130,5,44.67,301.01,6.74,22.73,2.06,0.09,1,1,1.00,3,0,0.00,9,0,0.00,29,0,0.00,C,T
131,5,32.97,301.01,9.13,17.04,1.94,0.11,1,1,1.00,2,0,0.00,7,0,0.00,21,0,0.00,C,T
132,5,36.68,301.01,8.21,22.07,2.83,0.13,1,1,1.00,4,0,0.00,8,0,0.00,19,0,0.00,C,T
133,5,40.08,69.45,1.73,25.78,69.44,2.69,1,1,1.00,5,0,0.00,8,1,0.12,19,0,0.00,C,A
134,5,20.35,95.01,4.67,13.67,95.00,6.95,1,1,1.00,3,0,0.00,4,1,0.25,9,0,0.00,C,A
135,5,64.29,80.89,1.26,37.75,80.88,2.14,1,1,1.00,7,0,0.00,13,1,0.08,35,0,0.00,C,A
136,5,12.62,127.97,10.14,9.41,127.96,13.60,1,1,1.00,2,0,0.00,2,1,0.50,4,0,0.00,C,A
137,5,25.51,69.36,2.72,17.40,69.35,3.98,1,1,1.00,4,0,0.00,4,1,0.25,11,0,0.00,C,A
138,5,50.74,301.01,5.93,29.97,3.66,0.12,1,1,1.00,6,0,0.00,10,0,0.00,27,0,0.00,C,T
139,5,66.29,69.86,1.05,39.03,69.85,1.79,1,1,1.00,7,0,0.00,11,1,0.09,35,0,0.00,C,A
140,5,55.70,301.01,5.40,28.41,2.71,0.10,1,1,1.00,4,0,0.00,12,0,0.00,37,0,0.00,C,T
141,5,40.90,69.03,1.69,28.04,69.02,2.46,1,1,1.00,6,0,0.00,8,1,0.12,17,0,0.00,C,A
142,5,20.88,76.21,3.65,12.72,76.20,5.99,1,1,1.00,3,0,0.00,3,1,0.33,11,0,0.00,C,A
143,5,26.72,301.01,11.26,15.50,2.00,0.13,1,1,1.00,3,0,0.00,5,0,0.00,15,0,0.00,C,T
144,5,43.51,72.16,1.66,24.78,72.15,2.91,1,1,1.00,4,0,0.00,10,1,0.10,25,0,0.00,C,A
145,5,17.10,301.01,17.61,11.11,1.97,0.18,1,1,1.00,2,0,0.00,4,0,0.00,9,0,0.00,C,T
146,5,58.75,301.01,5.12,32.79,3.26,0.10,1,1,1.00,5,0,0.00,9,0,0.00,33,0,0.00,C,T
147,5,45.13,67.59,1.50,25.10,67.58,2.69,1,1,1.00,3,0,0.00,11,1,0.09,27,0,0.00,C,A
148,5,38.50,301.01,7.82,23.87,3.15,0.13,1,1,1.00,5,0,0.00,6,0,0.00,19,0,0.00,C,T
149,5,52.42,68.79,1.31,31.61,68.78,2.18,1,1,1.00,5,0,0.00,13,1,0.08,27,0,0.00,C,A
150,5,39.48,301.01,7.62,25.00,3.20,0.13,1,1,1.00,5,0,0.00,8,0,0.00,19,0,0.00,C,T
151,5,62.26,70.26,1.13,40.29,70.25,1.74,1,1,1.00,8,0,0.00,8,1,0.12,29,0,0.00,C,A
152,5,42.53,68.42,1.61,23.93,68.40,2.86,1,1,1.00,4,0,0.00,9,1,0.11,25,0,0.00,C,A
153,5,22.90,301.01,13.14,15.21,1.99,0.13,1,1,1.00,3,0,0.00,5,0,0.00,11,0,0.00,C,T
154,5,49.81,301.01,6.04,26.06,2.74,0.11,1,1,1.00,4,0,0.00,11,0,0.00,31,0,0.00,C,T
155,5,51.00,301.01,5.90,25.91,2.83,0.11,1,1,1.00,4,0,0.00,10,0,0.00,33,0,0.00,C,T
156,5,66.96,301.01,4.50,40.10,4.44,0.11,1,1,1.00,8,0,0.00,12,0,0.00,35,0,0.00,C,T
157,5,92.51,86.35,0.93,52.62,86.33,1.64,1,1,1.00,8,0,0.00,16,1,0.06,49,0,0.00,C,A
158,5,67.04,301.01,4.49,38.11,4.14,0.11,1,1,1.00,6,0,0.00,12,0,0.00,35,0,0.00,C,T
159,5,61.46,141.94,2.31,36.85,141.92,3.85,1,1,1.00,5,0,0.00,12,1,0.08,25,0,0.00,C,A
160,5,49.72,301.01,6.05,29.87,3.34,0.11,1,1,1.00,4,0,0.00,6,0,0.00,21,0,0.00,C,T
161,5,50.58,301.01,5.95,27.21,3.17,0.12,1,1,1.00,4,0,0.00,5,0,0.00,25,0,0.00,C,T
162,5,57.70,301.01,5.22,34.06,4.20,0.12,1,1,1.00,5,0,0.00,10,0,0.00,25,0,0.00,C,T
163,5,30.68,301.01,9.81,17.14,2.50,0.15,1,1,1.00,2,0,0.00,6,0,0.00,15,0,0.00,C,T
164,5,64.18,97.66,1.52,39.21,97.64,2.49,1,1,1.00,6,0,0.00,11,1,0.09,27,0,0.00,C,A
165,5,55.55,301.01,5.42,30.05,3.40,0.11,1,1,1.00,4,0,0.00,10,0,0.00,27,0,0.00,C,T
166,5,38.71,301.01,7.78,22.67,3.43,0.15,1,1,1.00,4,0,0.00,5,0,0.00,17,0,0.00,C,T
167,5,11.66,301.01,25.82,7.64,2.55,0.33,1,1,1.00,1,0,0.00,1,0,0.00,4,0,0.00,C,T
168,5,70.69,301.01,4.26,40.14,3.86,0.10,1,1,1.00,5,0,0.00,10,0,0.00,33,0,0.00,C,T
169,5,79.48,84.60,1.06,44.96,84.59,1.88,1,1,1.00,6,0,0.00,12,1,0.08,37,0,0.00,C,A
170,5,76.08,87.31,1.15,45.46,87.29,1.92,1,1,1.00,8,0,0.00,9,1,0.11,33,0,0.00,C,A
171,5,43.52,301.01,6.92,22.67,2.47,0.11,1,1,1.00,3,0,0.00,6,0,0.00,23,0,0.00,C,T
172,5,88.44,301.01,3.40,47.64,4.86,0.10,1,1,1.00,7,0,0.00,13,0,0.00,45,0,0.00,C,T
173,5,33.26,87.48,2.63,21.94,87.47,3.99,1,1,1.00,4,0,0.00,4,1,0.25,13,0,0.00,C,A
174,5,83.90,84.83,1.01,51.86,84.81,1.64,1,1,1.00,8,0,0.00,11,1,0.09,35,0,0.00,C,A
175,5,94.47,85.58,0.91,53.00,85.56,1.61,1,1,1.00,8,0,0.00,15,1,0.07,45,0,0.00,C,A
176,5,49.78,301.01,6.05,27.44,2.18,0.08,1,1,1.00,3,0,0.00,11,0,0.00,25,0,0.00,C,T
