Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
54,8,208.00,,,41.56,,,10.29,,,4.39,,,2.73,,,1,,,5,,,17,,,55,,,C,
55,8,268.15,,,62.81,,,9.82,,,4.66,,,2.84,,,1,,,5,,,20,,,69,,,C,
56,8,256.57,,,56.25,,,10.05,,,4.50,,,2.90,,,1,,,5,,,18,,,67,,,C,
57,8,145.37,,,15.69,,,10.42,,,4.62,,,2.28,,,1,,,5,,,15,,,41,,,C,
58,8,190.08,,,32.67,,,10.11,,,4.65,,,2.86,,,1,,,5,,,12,,,51,,,C,
59,8,229.71,,,25.82,,,14.88,,,6.17,,,3.47,,,1,,,7,,,12,,,65,,,C,
60,8,75.81,,,6.21,,,7.92,,,3.65,,,1.77,,,1,,,4,,,4,,,21,,,C,
61,8,225.36,,,29.29,,,10.14,,,4.56,,,2.44,,,1,,,5,,,19,,,65,,,C,
62,8,106.17,,,9.37,,,10.23,,,4.63,,,2.32,,,1,,,5,,,5,,,29,,,C,
63,8,159.01,,,35.69,,,5.41,,,2.95,,,1.65,,,1,,,3,,,16,,,41,,,C,
64,8,222.52,,,41.40,,,10.08,,,4.46,,,2.82,,,1,,,5,,,18,,,59,,,C,
65,8,161.47,,,27.91,,,5.41,,,2.91,,,1.47,,,1,,,3,,,16,,,45,,,C,
66,8,117.10,,,14.08,,,7.97,,,3.85,,,1.93,,,1,,,4,,,6,,,33,,,C,
67,8,121.79,,,9.58,,,9.84,,,4.48,,,2.25,,,1,,,5,,,7,,,35,,,C,
68,8,112.97,,,24.88,,,5.19,,,3.03,,,1.66,,,1,,,3,,,6,,,29,,,C,
69,8,154.68,,,17.15,,,7.79,,,3.99,,,1.94,,,1,,,4,,,10,,,45,,,C,
70,8,242.01,,,54.22,,,8.03,,,3.76,,,2.32,,,1,,,4,,,19,,,63,,,C,
71,8,146.00,,,17.02,,,12.34,,,5.26,,,3.10,,,1,,,6,,,6,,,39,,,C,
72,8,182.00,,,33.81,,,7.82,,,3.82,,,2.29,,,1,,,4,,,14,,,49,,,C,
73,8,107.95,,,15.09,,,7.88,,,3.81,,,2.11,,,1,,,4,,,7,,,29,,,C,
74,8,167.82,,,44.01,,,3.99,,,2.34,,,1.20,,,1,,,2,,,17,,,43,,,C,
75,8,152.46,,,64.09,,,5.11,,,2.98,,,1.51,,,1,,,3,,,9,,,29,,,C,
76,8,108.46,,,22.32,,,3.89,,,2.26,,,1.15,,,1,,,2,,,9,,,29,,,C,
77,8,127.82,,,19.39,,,3.88,,,2.32,,,1.03,,,1,,,2,,,15,,,37,,,C,
78,8,87.08,,,9.89,,,5.08,,,2.91,,,1.56,,,1,,,3,,,4,,,25,,,C,
79,8,206.54,,,27.95,,,12.43,,,5.37,,,3.33,,,1,,,6,,,11,,,57,,,C,
80,8,196.02,,,21.17,,,10.17,,,4.51,,,2.46,,,1,,,5,,,14,,,57,,,C,
81,8,140.52,,,18.53,,,5.25,,,2.84,,,1.49,,,1,,,3,,,14,,,41,,,C,
82,8,75.11,,,9.25,,,5.41,,,2.95,,,1.56,,,1,,,3,,,5,,,21,,,C,
83,8,115.14,,,11.89,,,7.92,,,3.75,,,1.89,,,1,,,4,,,4,,,32,,,C,
84,8,182.13,,,19.65,,,10.07,,,4.63,,,2.45,,,1,,,5,,,15,,,53,,,C,
85,8,112.01,,,18.02,,,5.30,,,2.96,,,1.66,,,1,,,3,,,9,,,31,,,C,
86,8,138.23,,,27.49,,,5.15,,,2.91,,,1.65,,,1,,,3,,,11,,,37,,,C,
87,8,114.65,,,16.62,,,7.91,,,3.77,,,2.13,,,1,,,4,,,7,,,31,,,C,
88,8,153.40,,,21.81,,,7.96,,,3.72,,,1.94,,,1,,,4,,,10,,,43,,,C,
89,8,41.98,,,9.31,,,2.53,,,1.78,,,0.59,,,1,,,1,,,1,,,10,,,C,
90,8,229.11,,,35.36,,,12.34,,,5.31,,,3.34,,,1,,,6,,,14,,,63,,,C,
91,8,153.75,,,23.69,,,10.21,,,4.60,,,2.38,,,1,,,5,,,9,,,41,,,C,
92,8,213.09,,,19.29,,,14.76,,,6.15,,,3.30,,,1,,,7,,,11,,,61,,,C,
93,8,200.70,,,32.19,,,10.14,,,4.42,,,2.75,,,1,,,5,,,11,,,55,,,C,
94,8,154.35,,,17.26,,,7.90,,,3.76,,,1.89,,,1,,,4,,,13,,,45,,,C,
95,8,122.67,,,20.21,,,10.35,,,4.56,,,2.59,,,1,,,5,,,5,,,31,,,C,
96,8,60.28,,,4.96,,,5.14,,,2.88,,,1.53,,,1,,,3,,,5,,,17,,,C,
97,8,124.74,,,15.31,,,7.97,,,3.71,,,1.82,,,1,,,4,,,14,,,35,,,C,
98,8,155.16,,,23.35,,,7.85,,,3.63,,,2.23,,,1,,,4,,,9,,,43,,,C,
99,8,301.25,,,66.06,,,12.58,,,5.35,,,3.49,,,1,,,6,,,21,,,77,,,C,
100,8,153.13,,,39.11,,,3.98,,,2.41,,,1.22,,,1,,,2,,,12,,,39,,,C,
101,8,302.22,,,61.48,,,12.39,,,5.47,,,3.48,,,1,,,6,,,19,,,79,,,C,
102,8,112.51,,,10.49,,,10.25,,,4.49,,,2.21,,,1,,,5,,,6,,,31,,,C,
103,8,79.41,,,7.26,,,5.34,,,2.89,,,1.57,,,1,,,3,,,6,,,23,,,C,
104,8,115.65,,,8.54,,,10.13,,,4.53,,,2.59,,,1,,,5,,,6,,,33,,,C,
105,8,278.37,,,45.21,,,14.70,,,6.24,,,3.94,,,1,,,7,,,20,,,75,,,C,
106,8,199.36,,,49.30,,,5.30,,,2.91,,,1.83,,,1,,,3,,,17,,,51,,,C,
107,8,208.44,,,47.00,,,5.13,,,2.82,,,1.75,,,1,,,3,,,17,,,55,,,C,
108,8,172.47,,,34.78,,,7.88,,,3.83,,,2.23,,,1,,,4,,,15,,,45,,,C,
109,8,101.03,,,8.22,,,7.95,,,3.76,,,1.93,,,1,,,4,,,7,,,29,,,C,
110,8,225.11,,,48.89,,,7.98,,,3.63,,,2.26,,,1,,,4,,,18,,,59,,,C,
111,8,53.02,,,3.76,,,5.20,,,2.91,,,1.45,,,1,,,3,,,4,,,15,,,C,
112,8,168.59,,,24.88,,,5.20,,,2.99,,,1.50,,,1,,,3,,,18,,,49,,,C,
113,8,238.59,,,40.48,,,10.12,,,4.59,,,2.90,,,1,,,5,,,15,,,65,,,C,
114,8,126.26,,,12.75,,,10.27,,,4.72,,,2.63,,,1,,,5,,,7,,,35,,,C,
115,8,108.63,,,14.59,,,5.34,,,2.96,,,1.63,,,1,,,3,,,9,,,31,,,C,
116,8,157.95,,,26.06,,,7.92,,,3.71,,,2.24,,,1,,,4,,,11,,,43,,,C,
117,8,275.72,,,50.57,,,17.37,,,7.17,,,4.36,,,1,,,8,,,14,,,71,,,C,
118,8,128.12,,,14.79,,,10.26,,,4.38,,,2.55,,,1,,,5,,,6,,,35,,,C,
119,8,122.40,,,9.71,,,10.32,,,4.61,,,2.40,,,1,,,5,,,8,,,35,,,C,
120,8,100.11,,,7.21,,,8.17,,,3.73,,,1.80,,,1,,,4,,,5,,,29,,,C,
121,8,74.98,,,11.72,,,3.89,,,2.36,,,1.07,,,1,,,2,,,7,,,21,,,C,
