Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,7,170.32,,,36.10,,,11.67,,,4.69,,,3.35,,,1,,,7,,,21,,,83,,,C,
2,7,127.22,,,50.57,,,4.37,,,2.44,,,1.65,,,1,,,3,,,15,,,51,,,C,
3,7,108.56,,,25.24,,,8.30,,,3.52,,,2.34,,,1,,,5,,,11,,,51,,,C,
4,7,154.52,,,45.06,,,9.90,,,4.08,,,3.26,,,1,,,6,,,18,,,67,,,C,
5,7,66.96,,,17.11,,,4.21,,,2.30,,,1.50,,,1,,,3,,,7,,,31,,,C,
6,7,127.18,,,16.61,,,15.00,,,5.69,,,4.00,,,1,,,9,,,10,,,63,,,C,
7,7,79.74,,,18.11,,,6.51,,,2.85,,,2.10,,,1,,,4,,,7,,,37,,,C,
8,7,111.14,,,25.13,,,8.25,,,3.43,,,2.41,,,1,,,5,,,11,,,53,,,C,
9,7,20.32,,,4.92,,,2.07,,,1.37,,,0.59,,,1,,,1,,,1,,,8,,,C,
10,7,116.74,,,30.42,,,7.99,,,3.41,,,2.62,,,1,,,5,,,14,,,53,,,C,
11,7,84.26,,,14.10,,,6.46,,,2.99,,,1.80,,,1,,,4,,,13,,,43,,,C,
12,7,91.10,,,18.18,,,9.74,,,4.02,,,3.09,,,1,,,6,,,8,,,41,,,C,
13,7,76.78,,,16.59,,,4.19,,,2.23,,,1.46,,,1,,,3,,,10,,,39,,,C,
14,7,85.68,,,24.14,,,4.29,,,2.40,,,1.61,,,1,,,3,,,15,,,39,,,C,
15,7,147.00,,,46.22,,,9.76,,,4.03,,,3.24,,,1,,,6,,,18,,,61,,,C,
16,7,89.72,,,15.35,,,8.05,,,3.47,,,2.28,,,1,,,5,,,7,,,43,,,C,
17,7,83.31,,,18.62,,,4.42,,,2.54,,,1.45,,,1,,,3,,,15,,,39,,,C,
18,7,62.91,,,19.95,,,3.19,,,1.87,,,1.07,,,1,,,2,,,9,,,27,,,C,
19,7,142.51,,,45.53,,,8.55,,,3.67,,,2.74,,,1,,,5,,,17,,,59,,,C,
20,7,138.62,,,22.10,,,14.13,,,5.66,,,4.69,,,1,,,8,,,10,,,61,,,C,
21,7,198.85,,,49.47,,,13.24,,,5.29,,,4.40,,,1,,,7,,,20,,,79,,,C,
22,7,86.72,,,27.98,,,5.03,,,2.65,,,1.85,,,1,,,3,,,10,,,31,,,C,
23,7,144.78,,,29.11,,,12.28,,,4.96,,,3.86,,,1,,,7,,,12,,,67,,,C,
24,7,76.76,,,19.14,,,3.28,,,1.91,,,0.96,,,1,,,2,,,15,,,37,,,C,
25,7,71.57,,,13.87,,,9.89,,,4.31,,,2.99,,,1,,,5,,,5,,,25,,,C,
26,7,126.93,,,22.85,,,11.31,,,4.79,,,3.17,,,1,,,6,,,11,,,53,,,C,
27,7,133.26,,,37.85,,,7.39,,,3.43,,,2.55,,,1,,,4,,,14,,,51,,,C,
28,7,146.91,,,31.90,,,12.82,,,5.40,,,3.52,,,1,,,6,,,15,,,51,,,C,
29,7,209.38,,,33.98,,,21.20,,,8.69,,,6.78,,,1,,,9,,,11,,,69,,,C,
30,7,155.30,,,41.98,,,9.10,,,4.26,,,3.02,,,1,,,4,,,12,,,49,,,C,
31,7,192.67,,,55.46,,,11.88,,,5.14,,,3.91,,,1,,,5,,,16,,,57,,,C,
