Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,1,8.79,9.05,1.03,1.13,1.14,1.01,3.66,3.78,1.03,1.92,1.97,1.02,0.94,0.98,1.04,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
2,1,6.32,6.40,1.01,0.75,0.76,1.02,2.65,2.62,0.99,1.58,1.60,1.01,0.64,0.65,1.02,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
3,1,8.81,8.89,1.01,1.07,1.16,1.08,3.73,3.66,0.98,1.93,1.98,1.03,0.99,1.00,1.01,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
4,1,8.74,8.91,1.02,1.09,1.22,1.12,3.67,3.63,0.99,1.89,1.97,1.04,0.96,0.98,1.01,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
5,1,9.07,9.04,1.00,1.16,1.15,0.99,3.71,3.78,1.02,2.07,2.00,0.96,0.99,0.99,1.00,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
6,1,6.44,6.43,1.00,0.79,0.73,0.93,2.67,2.72,1.02,1.54,1.60,1.04,0.65,0.64,0.98,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
7,1,8.88,9.01,1.02,1.11,1.18,1.06,3.61,3.69,1.02,2.02,2.08,1.03,0.98,1.00,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
8,1,6.44,6.33,0.98,0.76,0.75,0.99,2.69,2.69,1.00,1.57,1.57,1.00,0.65,0.61,0.94,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
9,1,6.25,6.68,1.07,0.74,0.77,1.04,2.68,2.76,1.03,1.48,1.69,1.14,0.63,0.68,1.08,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
10,1,4.04,3.92,0.97,0.40,0.38,0.95,1.70,1.67,0.98,1.24,1.19,0.95,0.32,0.33,1.03,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
11,1,6.57,6.55,1.00,0.80,0.74,0.92,2.75,2.81,1.02,1.63,1.59,0.98,0.64,0.69,1.08,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
12,1,8.84,8.95,1.01,1.06,1.16,1.09,3.66,3.70,1.01,2.00,2.00,1.00,0.96,1.01,1.06,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
13,1,8.75,8.90,1.02,1.10,1.15,1.05,3.59,3.67,1.02,1.97,1.97,1.00,0.98,1.02,1.04,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
14,1,8.80,8.96,1.02,1.10,1.20,1.09,3.64,3.65,1.00,1.95,1.99,1.02,0.99,1.02,1.04,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
15,1,4.08,4.00,0.98,0.41,0.37,0.91,1.76,1.69,0.96,1.26,1.23,0.98,0.31,0.34,1.11,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
16,1,6.54,6.87,1.05,0.75,0.75,1.00,2.70,3.00,1.11,1.68,1.70,1.01,0.63,0.68,1.07,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
17,1,8.77,7.09,0.81,0.74,0.85,1.15,3.98,2.99,0.75,2.57,1.73,0.67,0.72,0.74,1.03,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
18,1,4.02,4.03,1.00,0.37,0.36,0.99,1.75,1.76,1.00,1.17,1.18,1.01,0.36,0.34,0.94,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
19,1,8.67,8.91,1.03,1.07,1.13,1.05,3.65,3.66,1.00,1.90,1.98,1.05,0.96,0.97,1.01,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
20,1,8.79,8.90,1.01,1.08,1.18,1.10,3.63,3.60,0.99,2.03,2.02,0.99,0.94,0.98,1.04,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
21,1,6.21,6.46,1.04,0.72,0.79,1.10,2.66,2.68,1.01,1.51,1.58,1.05,0.64,0.66,1.05,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
22,1,4.05,3.98,0.98,0.38,0.38,1.00,1.78,1.75,0.98,1.20,1.16,0.97,0.33,0.32,0.97,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
23,1,6.40,6.54,1.02,0.74,0.77,1.03,2.72,2.78,1.02,1.57,1.59,1.01,0.63,0.66,1.04,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
24,1,8.95,9.05,1.01,1.12,1.19,1.06,3.77,3.64,0.96,1.94,2.06,1.06,0.97,1.01,1.05,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
25,1,3.99,4.03,1.01,0.39,0.38,0.98,1.75,1.76,1.00,1.17,1.21,1.04,0.32,0.32,0.98,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
26,1,8.75,8.84,1.01,1.07,1.21,1.13,3.65,3.64,1.00,2.00,1.98,0.99,0.90,0.96,1.06,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
27,1,6.49,6.54,1.01,0.76,0.78,1.02,2.77,2.70,0.97,1.51,1.62,1.07,0.71,0.70,0.99,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
28,1,9.10,8.99,0.99,1.11,1.14,1.03,3.77,3.74,0.99,2.02,2.01,1.00,1.00,0.98,0.98,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
29,1,8.91,8.90,1.00,1.14,1.17,1.03,3.73,3.71,0.99,1.96,1.96,1.00,0.93,0.94,1.01,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
30,1,6.38,6.47,1.01,0.72,0.76,1.06,2.68,2.77,1.03,1.55,1.56,1.00,0.69,0.64,0.94,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
31,1,4.15,4.00,0.96,0.38,0.39,1.03,1.82,1.75,0.96,1.24,1.16,0.93,0.33,0.32,0.97,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
32,1,6.47,6.58,1.02,0.76,0.73,0.97,2.72,2.82,1.04,1.61,1.62,1.01,0.63,0.65,1.02,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
33,1,6.42,6.52,1.01,0.71,0.81,1.14,2.73,2.73,1.00,1.63,1.58,0.97,0.67,0.65,0.98,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
