Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,4,64.08,57.91,,7.97,52.82,,13.27,4.01,,5.39,1.04,,4.22,0.00,,1,1,,8,0,,10,0,,49,0,,C,A
2,4,32.22,192.68,,5.83,189.47,,6.37,2.26,,2.96,0.93,,1.98,0.00,,1,1,,4,0,,7,0,,23,0,,C,A
3,4,14.22,85.96,,2.61,83.71,,3.31,1.28,,1.93,0.96,,0.99,0.00,,1,1,,2,0,,2,0,,9,0,,C,A
4,4,25.79,399.41,,4.43,397.13,,4.51,1.28,,2.48,0.98,,1.52,0.00,,1,1,,3,0,,5,0,,19,0,,C,A
5,4,30.24,210.68,,8.55,208.46,,4.28,1.26,,2.41,0.94,,1.47,0.00,,1,1,,3,0,,8,0,,21,0,,C,A
6,4,52.13,599.05,,5.49,593.89,,13.14,4.19,,5.04,0.96,,4.02,0.00,,1,1,,8,0,,8,0,,37,0,,C,A
7,4,17.96,35.04,,3.17,32.85,,4.24,1.29,,2.31,0.88,,1.45,0.00,,1,1,,3,0,,3,0,,11,0,,C,A
8,4,49.97,37.61,,9.53,33.64,,9.57,3.04,,3.89,0.91,,3.01,0.00,,1,1,,6,0,,9,0,,37,0,,C,A
9,4,38.57,169.32,,6.58,165.66,,8.15,2.70,,3.50,0.95,,2.48,0.00,,1,1,,5,0,,7,0,,27,0,,C,A
10,4,46.53,226.83,,8.58,223.16,,8.89,2.76,,3.63,0.90,,2.77,0.00,,1,1,,6,0,,10,0,,39,0,,C,A
11,4,21.73,117.14,,7.00,115.19,,2.84,1.13,,1.65,0.80,,0.88,0.00,,1,1,,2,0,,7,0,,17,0,,C,A
12,4,64.78,34.67,,13.07,30.26,,11.99,3.55,,4.50,0.85,,3.68,0.00,,1,1,,8,0,,12,0,,55,0,,C,A
13,4,58.32,151.69,,8.91,147.32,,11.65,3.49,,4.47,0.87,,3.63,0.00,,1,1,,8,0,,12,0,,51,0,,C,A
14,4,28.70,30.06,,4.78,27.24,,5.71,1.97,,2.55,0.83,,1.79,0.00,,1,1,,4,0,,5,0,,23,0,,C,A
15,4,32.30,541.25,,7.98,538.51,,5.76,1.89,,2.54,0.83,,1.78,0.00,,1,1,,4,0,,7,0,,25,0,,C,A
16,4,26.07,31.99,,5.92,30.01,,3.85,1.08,,2.10,0.89,,1.39,0.00,,1,1,,3,0,,7,0,,23,0,,C,A
17,4,30.15,88.78,,8.19,86.86,,4.00,1.10,,2.03,0.80,,1.39,0.00,,1,1,,3,0,,7,0,,25,0,,C,A
18,4,33.98,95.69,,4.89,92.58,,7.37,2.20,,3.08,0.89,,2.27,0.00,,1,1,,5,0,,7,0,,29,0,,C,A
19,4,65.68,196.81,,9.34,191.96,,13.34,4.01,,5.10,0.83,,4.20,0.00,,1,1,,9,0,,11,0,,59,0,,C,A
20,4,34.97,194.28,,5.53,191.19,,7.29,2.25,,3.07,0.82,,2.19,0.00,,1,1,,5,0,,5,0,,31,0,,C,A
21,4,36.80,106.81,,5.87,103.62,,7.01,2.31,,2.95,0.87,,2.31,0.00,,1,1,,5,0,,7,0,,33,0,,C,A
22,4,38.17,104.99,,9.43,101.12,,7.20,2.85,,3.05,1.02,,2.18,0.00,,1,1,,5,0,,9,0,,29,0,,C,A
23,4,34.88,33.41,,3.95,29.93,,8.46,2.66,,3.51,0.81,,2.73,0.00,,1,1,,6,0,,6,0,,29,0,,C,A
24,4,46.88,384.17,,6.95,380.26,,10.15,3.08,,4.03,0.81,,3.24,0.00,,1,1,,7,0,,9,0,,39,0,,C,A
25,4,36.58,103.92,,9.28,101.25,,5.72,1.85,,2.65,0.81,,1.83,0.00,,1,1,,4,0,,9,0,,31,0,,C,A
26,4,34.45,33.02,,5.01,29.93,,7.18,2.25,,3.03,0.84,,2.18,0.00,,1,1,,5,0,,7,0,,31,0,,C,A
27,4,28.29,251.52,,5.15,248.82,,5.86,1.88,,2.55,0.81,,1.80,0.00,,1,1,,4,0,,6,0,,23,0,,C,A
28,4,34.08,32.57,,7.40,29.86,,5.73,1.91,,2.54,0.79,,1.84,0.00,,1,1,,4,0,,8,0,,29,0,,C,A
29,4,37.48,2676.56,,7.46,2673.36,,7.16,2.31,,3.04,0.87,,2.31,0.00,,1,1,,5,0,,9,0,,31,0,,C,A
30,4,39.05,167.21,,7.82,164.09,,7.23,2.24,,3.00,0.86,,2.25,0.00,,1,1,,5,0,,8,0,,33,0,,C,A
31,4,32.94,194.97,,6.71,192.18,,5.71,1.89,,2.51,0.88,,1.83,0.00,,1,1,,4,0,,6,0,,29,0,,C,A
32,4,44.77,122.59,,8.31,119.06,,8.72,2.68,,3.48,0.83,,2.75,0.00,,1,1,,6,0,,9,0,,39,0,,C,A
33,4,39.62,58.84,,4.47,55.36,,8.81,2.61,,3.59,0.85,,2.72,0.00,,1,1,,6,0,,8,0,,35,0,,C,A
34,4,53.18,33.94,,8.54,29.89,,10.19,3.08,,4.03,0.95,,3.16,0.00,,1,1,,7,0,,11,0,,47,0,,C,A
35,4,42.43,29.29,,9.29,26.14,,7.04,2.27,,2.94,0.87,,2.28,0.00,,1,1,,5,0,,10,0,,37,0,,C,A
36,4,55.28,638.84,,10.90,634.87,,10.26,3.10,,3.94,0.87,,3.18,0.00,,1,1,,7,0,,11,0,,47,0,,C,A
37,4,38.12,1181.26,,6.93,1177.62,,8.60,2.80,,3.51,0.83,,2.64,0.00,,1,1,,6,0,,8,0,,29,0,,C,A
38,4,41.02,194.32,,8.21,191.13,,7.04,2.28,,3.05,0.89,,2.32,0.00,,1,1,,5,0,,6,0,,35,0,,C,A
39,4,35.72,166.78,,4.32,163.29,,8.49,2.66,,3.48,0.82,,2.60,0.00,,1,1,,6,0,,7,0,,31,0,,C,A
40,4,13.75,98.48,,1.86,96.46,,2.97,1.18,,1.68,0.82,,0.90,0.00,,1,1,,2,0,,2,0,,10,0,,C,A
41,4,31.97,169.26,,6.51,166.45,,5.88,1.93,,2.63,0.86,,1.76,0.00,,1,1,,4,0,,8,0,,27,0,,C,A
42,4,50.25,99.39,,17.51,96.58,,5.74,1.91,,2.59,0.89,,1.86,0.00,,1,1,,4,0,,9,0,,41,0,,C,A
43,4,29.11,32.79,,3.90,29.74,,7.11,2.21,,2.94,0.82,,2.17,0.00,,1,1,,5,0,,5,0,,23,0,,C,A
44,4,30.96,3398.57,,6.78,3395.91,,5.74,1.87,,2.59,0.77,,1.78,0.00,,1,1,,4,0,,7,0,,25,0,,C,A
45,4,29.20,103.01,,7.98,101.03,,3.88,1.15,,2.16,0.82,,1.38,0.00,,1,1,,3,0,,6,0,,25,0,,C,A
46,4,39.25,33.23,,8.00,30.04,,6.95,2.28,,2.98,0.89,,2.21,0.00,,1,1,,5,0,,9,0,,35,0,,C,A
47,4,21.25,165.78,,4.92,163.84,,3.93,1.12,,2.06,0.81,,1.32,0.00,,1,1,,3,0,,5,0,,17,0,,C,A
48,4,33.43,154.15,,7.25,150.90,,7.04,2.32,,2.92,0.91,,2.23,0.00,,1,1,,5,0,,9,0,,25,0,,C,A
49,4,21.42,31.81,,4.08,29.83,,3.92,1.10,,2.02,0.87,,1.32,0.00,,1,1,,3,0,,5,0,,19,0,,C,A
50,4,23.55,102.64,,5.01,100.66,,3.91,1.17,,2.05,0.80,,1.28,0.00,,1,1,,3,0,,5,0,,21,0,,C,A
51,4,29.21,81.72,,5.74,78.93,,5.75,1.93,,2.51,0.85,,1.71,0.00,,1,1,,4,0,,5,0,,25,0,,C,A
