Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,3,14.21,401.85,28.28,3.05,390.99,128.00,3.93,3.80,0.97,1.97,1.97,1.00,1.16,1.10,0.95,1,1,1.00,3,3,1.00,5,5,1.00,13,13,1.00,C,C
2,3,26.76,232.02,8.67,4.11,209.65,51.02,8.29,8.35,1.01,3.36,3.36,1.00,2.36,2.35,0.99,1,1,1.00,6,6,1.00,8,8,1.00,27,27,1.00,C,C
3,3,10.63,22.28,,2.24,19.72,,2.86,1.11,,1.58,0.80,,0.74,0.00,,1,1,,2,0,,4,2,,11,2,,C,A
4,3,12.34,211.77,17.16,2.94,202.79,68.99,2.80,2.83,1.01,1.57,1.60,1.02,0.84,0.77,0.91,1,1,1.00,2,2,1.00,5,5,1.00,13,13,1.00,C,C
5,3,22.11,7.43,,2.89,4.29,,6.97,2.33,,2.87,0.80,,1.93,0.00,,1,1,,5,0,,6,0,,23,0,,C,A
6,3,9.22,19.07,2.07,1.28,11.31,8.80,2.85,2.85,1.00,1.63,1.68,1.03,0.77,0.75,0.97,1,1,1.00,2,2,1.00,2,2,1.00,9,9,1.00,C,C
7,3,11.59,336.16,,2.30,333.64,,2.85,1.15,,1.67,0.76,,0.83,0.00,,1,1,,2,0,,4,2,,13,2,,C,A
8,3,11.37,37.13,3.27,3.02,29.81,9.88,2.69,2.88,1.07,1.56,1.60,1.03,0.75,0.78,1.04,1,1,1.00,2,2,1.00,5,3,0.60,11,7,0.64,C,C
9,3,15.16,424.90,,2.86,419.20,,3.78,2.10,,1.99,1.23,,1.16,0.38,,1,1,,3,1,,5,3,,17,6,,C,A
10,3,11.28,39.55,3.51,1.52,30.01,19.78,3.71,3.78,1.02,2.03,2.03,1.00,1.17,1.10,0.95,1,1,1.00,3,3,1.00,3,3,1.00,9,9,1.00,C,C
11,3,29.14,321.18,11.02,4.22,296.68,70.30,8.66,8.58,0.99,3.50,3.57,1.02,2.36,2.34,0.99,1,1,1.00,6,6,1.00,8,8,1.00,31,31,1.00,C,C
12,3,18.80,140.95,7.50,3.35,124.64,37.17,5.58,5.72,1.03,2.51,2.45,0.98,1.59,1.61,1.02,1,1,1.00,4,4,1.00,6,7,1.17,19,21,1.11,C,C
13,3,10.94,377.88,34.54,2.42,369.38,152.89,2.75,2.78,1.01,1.64,1.59,0.97,0.85,0.77,0.90,1,1,1.00,2,2,1.00,4,4,1.00,11,11,1.00,C,C
14,3,7.94,396.90,49.99,1.16,390.47,337.60,2.95,2.84,0.96,1.69,1.60,0.95,0.76,0.71,0.95,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
15,3,16.64,401.76,24.14,1.99,387.42,195.10,5.73,5.61,0.98,2.56,2.51,0.98,1.60,1.56,0.97,1,1,1.00,4,4,1.00,4,4,1.00,15,15,1.00,C,C
16,3,27.22,8.52,,3.75,4.89,,8.69,2.72,,3.45,0.90,,2.45,0.00,,1,1,,6,0,,7,0,,27,0,,C,A
