Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,2,12.77,14.65,1.15,1.62,3.73,2.31,5.51,5.39,0.98,2.39,2.40,1.00,1.39,1.35,0.98,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
2,2,9.37,10.77,1.15,1.19,2.52,2.11,3.73,3.79,1.02,2.04,2.07,1.02,1.05,1.05,0.99,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
3,2,12.95,13.81,1.07,1.70,2.83,1.66,5.53,5.49,0.99,2.50,2.38,0.95,1.42,1.33,0.94,1,1,1.00,4,4,1.00,4,4,1.00,9,9,1.00,C,C
4,2,4.77,4.89,1.02,0.43,0.66,1.55,1.81,1.85,1.02,1.21,1.14,0.95,0.37,0.36,0.97,1,1,1.00,1,1,1.00,1,1,1.00,4,4,1.00,C,C
5,2,7.53,8.60,1.14,1.20,2.05,1.72,2.75,2.85,1.04,1.55,1.59,1.02,0.68,0.70,1.03,1,1,1.00,2,2,1.00,3,3,1.00,7,7,1.00,C,C
6,2,9.47,10.80,1.14,1.28,2.84,2.21,3.75,3.67,0.98,2.10,1.94,0.92,1.02,1.01,0.99,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
7,2,10.54,16.52,1.57,1.56,7.60,4.89,3.66,3.69,1.01,2.00,1.99,1.00,1.00,1.06,1.06,1,1,1.00,3,3,1.00,4,4,1.00,11,11,1.00,C,C
8,2,6.82,7.80,1.14,0.83,1.78,2.14,2.76,2.83,1.03,1.64,1.60,0.97,0.69,0.71,1.04,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
9,2,4.28,4.37,1.02,0.41,0.69,1.68,1.83,1.74,0.95,1.20,1.14,0.95,0.39,0.33,0.85,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
10,2,9.49,10.80,1.14,1.24,2.50,2.02,3.76,3.75,1.00,2.05,2.05,1.00,1.02,1.05,1.03,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
11,2,9.37,10.04,1.07,1.19,2.13,1.79,3.70,3.60,0.97,2.06,1.99,0.97,1.05,0.96,0.92,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
