Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,8,163.06,,,29.42,,,12.13,,,5.21,,,3.01,,,1,,,6,,,9,,,43,,,C,
2,8,240.14,,,34.50,,,13.76,,,6.00,,,3.73,,,1,,,7,,,18,,,69,,,C,
3,8,203.61,,,23.16,,,11.82,,,5.12,,,2.74,,,1,,,6,,,18,,,61,,,C,
4,8,246.92,,,40.62,,,14.34,,,5.80,,,3.60,,,1,,,7,,,19,,,69,,,C,
5,8,205.91,,,51.39,,,5.09,,,2.67,,,1.75,,,1,,,3,,,18,,,55,,,C,
6,8,231.25,,,25.76,,,14.19,,,5.83,,,3.20,,,1,,,7,,,14,,,69,,,C,
7,8,169.60,,,17.10,,,16.25,,,6.74,,,4.01,,,1,,,8,,,8,,,47,,,C,
8,8,183.14,,,27.70,,,4.95,,,2.75,,,1.53,,,1,,,3,,,18,,,55,,,C,
9,8,232.62,,,35.19,,,14.11,,,5.98,,,3.66,,,1,,,7,,,16,,,65,,,C,
10,8,230.53,,,25.94,,,12.04,,,5.23,,,2.87,,,1,,,6,,,19,,,69,,,C,
11,8,138.24,,,14.32,,,11.90,,,5.25,,,2.96,,,1,,,6,,,8,,,39,,,C,
12,8,96.61,,,10.93,,,5.00,,,2.87,,,1.37,,,1,,,3,,,11,,,29,,,C,
13,8,142.15,,,32.25,,,3.62,,,2.22,,,1.13,,,1,,,2,,,16,,,39,,,C,
14,8,179.00,,,24.48,,,7.41,,,3.78,,,1.98,,,1,,,4,,,12,,,53,,,C,
15,8,208.11,,,24.10,,,12.01,,,5.25,,,2.79,,,1,,,6,,,13,,,61,,,C,
16,8,280.05,,,28.29,,,16.42,,,6.91,,,3.73,,,1,,,8,,,20,,,83,,,C,
17,8,175.99,,,36.84,,,7.54,,,3.69,,,2.15,,,1,,,4,,,13,,,47,,,C,
18,8,178.94,,,19.40,,,9.93,,,4.45,,,2.33,,,1,,,5,,,16,,,53,,,C,
19,8,215.23,,,54.18,,,7.63,,,3.73,,,2.26,,,1,,,4,,,17,,,55,,,C,
