Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,7,80.19,,,11.15,,,8.27,,,3.61,,,2.30,,,1,,,5,,,8,,,39,,,C,
2,7,122.22,,,24.56,,,8.29,,,3.53,,,2.48,,,1,,,5,,,18,,,59,,,C,
3,7,150.30,,,43.21,,,8.37,,,3.59,,,2.86,,,1,,,5,,,19,,,65,,,C,
4,7,113.35,,,27.85,,,6.59,,,2.99,,,1.95,,,1,,,4,,,19,,,53,,,C,
5,7,45.58,,,5.00,,,6.46,,,3.05,,,1.76,,,1,,,4,,,4,,,21,,,C,
6,7,95.31,,,23.20,,,8.36,,,3.51,,,2.66,,,1,,,5,,,9,,,41,,,C,
7,7,121.93,,,35.09,,,8.45,,,3.62,,,2.69,,,1,,,5,,,15,,,51,,,C,
8,7,157.09,,,52.87,,,8.58,,,3.67,,,2.68,,,1,,,5,,,19,,,63,,,C,
9,7,109.11,,,22.62,,,6.69,,,3.10,,,2.08,,,1,,,4,,,16,,,53,,,C,
10,7,63.66,,,12.82,,,4.45,,,2.52,,,1.39,,,1,,,3,,,8,,,31,,,C,
11,7,226.73,,,57.82,,,17.85,,,6.85,,,5.52,,,1,,,10,,,24,,,97,,,C,
12,7,137.63,,,27.17,,,13.90,,,5.40,,,4.39,,,1,,,8,,,11,,,61,,,C,
13,7,57.12,,,14.10,,,4.47,,,2.44,,,1.65,,,1,,,3,,,3,,,24,,,C,
14,7,89.45,,,17.15,,,8.55,,,3.60,,,2.36,,,1,,,5,,,13,,,41,,,C,
15,7,100.20,,,16.72,,,8.24,,,3.55,,,2.27,,,1,,,5,,,15,,,49,,,C,
16,7,139.63,,,25.08,,,11.86,,,4.81,,,3.43,,,1,,,7,,,11,,,67,,,C,
